,Date,Cases
0,2020-03-14,1
1,2020-03-15,1
2,2020-03-16,5
3,2020-03-17,7
4,2020-03-18,8
5,2020-03-19,8
6,2020-03-20,17
7,2020-03-21,17
8,2020-03-22,19
9,2020-03-23,36
10,2020-03-24,40
11,2020-03-25,41
12,2020-03-26,50
13,2020-03-27,54
14,2020-03-28,60
15,2020-03-29,70
16,2020-03-30,70
17,2020-03-31,75
18,2020-04-01,82
19,2020-04-02,84
20,2020-04-03,89
21,2020-04-04,102
22,2020-04-05,104
23,2020-04-06,105
24,2020-04-07,105
25,2020-04-08,110
26,2020-04-09,110
27,2020-04-10,118
28,2020-04-11,120
29,2020-04-12,126
30,2020-04-13,127
31,2020-04-14,134
32,2020-04-15,136
33,2020-04-16,138
34,2020-04-17,143
35,2020-04-18,144
36,2020-04-19,147
37,2020-04-20,147
38,2020-04-21,150
39,2020-04-22,153
40,2020-04-23,154
41,2020-04-24,176
42,2020-04-25,183
43,2020-04-26,191
44,2020-04-27,207
45,2020-04-28,212
46,2020-04-29,225
47,2020-04-30,243
48,2020-05-01,249
49,2020-05-02,255
50,2020-05-03,259
51,2020-05-04,261
52,2020-05-05,261
53,2020-05-06,268
54,2020-05-07,271
55,2020-05-08,273
56,2020-05-09,280
57,2020-05-10,284
58,2020-05-11,285
59,2020-05-12,286
60,2020-05-13,287
61,2020-05-14,287
62,2020-05-15,287
63,2020-05-16,289
64,2020-05-17,292
65,2020-05-18,297
66,2020-05-19,308
67,2020-05-20,314
68,2020-05-21,320
69,2020-05-22,321
70,2020-05-23,325
71,2020-05-24,327
72,2020-05-25,336
73,2020-05-26,339
74,2020-05-27,346
75,2020-05-28,349
76,2020-05-29,355
77,2020-05-30,359
78,2020-05-31,370
79,2020-06-01,377
80,2020-06-02,384
81,2020-06-03,397
82,2020-06-04,410
83,2020-06-05,420
84,2020-06-06,431
85,2020-06-07,439
86,2020-06-08,451
87,2020-06-09,463
88,2020-06-10,476
89,2020-06-11,494
90,2020-06-12,510
91,2020-06-13,541
92,2020-06-14,582
93,2020-06-15,612
94,2020-06-16,636
95,2020-06-17,639
96,2020-06-18,646
97,2020-06-19,661
98,2020-06-20,702
99,2020-06-21,728
100,2020-06-22,787
101,2020-06-23,798
102,2020-06-24,830
103,2020-06-25,850
104,2020-06-26,858
105,2020-06-27,878
106,2020-06-28,900
107,2020-06-29,1001
108,2020-06-30,1025
109,2020-07-01,1042
110,2020-07-02,1063
111,2020-07-03,1081
112,2020-07-04,1092
113,2020-07-05,1105
114,2020-07-06,1113
115,2020-07-07,1172
116,2020-07-08,1194
117,2020-07-09,1210
118,2020-07-10,1252
119,2020-07-11,1299
120,2020-07-12,1337
121,2020-07-13,1378
122,2020-07-14,1416
123,2020-07-15,1435
124,2020-07-16,1473
125,2020-07-17,1485
126,2020-07-18,1539
127,2020-07-19,1582
128,2020-07-20,1629
129,2020-07-21,1655
130,2020-07-22,1689
131,2020-07-23,1710
132,2020-07-24,1729
133,2020-07-25,1752
134,2020-07-26,1821
135,2020-07-27,1879
136,2020-07-28,1926
137,2020-07-29,1963
138,2020-07-30,1994
139,2020-07-31,2022
140,2020-08-01,2042
141,2020-08-02,2062
142,2020-08-03,2092
143,2020-08-04,2099
144,2020-08-05,2104
145,2020-08-06,2111
146,2020-08-07,2128
147,2020-08-08,2134
