,Date,Cases
0,2020-03-25,2
1,2020-03-26,2
2,2020-03-27,2
3,2020-03-28,2
4,2020-03-29,2
5,2020-03-30,7
6,2020-03-31,8
7,2020-04-01,8
8,2020-04-02,9
9,2020-04-03,9
10,2020-04-04,9
11,2020-04-05,10
12,2020-04-06,10
13,2020-04-07,11
14,2020-04-08,11
15,2020-04-09,11
16,2020-04-10,12
17,2020-04-11,12
18,2020-04-12,12
19,2020-04-13,12
20,2020-04-14,14
21,2020-04-15,14
22,2020-04-16,14
23,2020-04-17,14
24,2020-04-18,14
25,2020-04-19,14
26,2020-04-20,15
27,2020-04-21,15
28,2020-04-22,15
29,2020-04-23,15
30,2020-04-24,15
31,2020-04-25,15
32,2020-04-26,15
33,2020-04-27,15
34,2020-04-28,15
35,2020-04-29,15
36,2020-04-30,15
37,2020-05-01,15
38,2020-05-02,15
39,2020-05-03,15
40,2020-05-04,15
41,2020-05-05,15
42,2020-05-06,15
43,2020-05-07,15
44,2020-05-08,15
45,2020-05-09,15
46,2020-05-10,15
47,2020-05-11,15
48,2020-05-12,15
49,2020-05-13,15
50,2020-05-14,15
51,2020-05-15,15
52,2020-05-16,15
53,2020-05-17,15
54,2020-05-18,15
55,2020-05-19,15
56,2020-05-20,15
57,2020-05-21,15
58,2020-05-22,15
59,2020-05-23,15
60,2020-05-24,15
61,2020-05-25,15
62,2020-05-26,15
63,2020-05-27,15
64,2020-05-28,15
65,2020-05-29,15
66,2020-05-30,15
67,2020-05-31,15
68,2020-06-01,15
69,2020-06-02,15
70,2020-06-03,15
71,2020-06-04,15
72,2020-06-05,15
73,2020-06-06,15
74,2020-06-07,15
75,2020-06-08,15
76,2020-06-09,15
77,2020-06-10,15
78,2020-06-11,15
79,2020-06-12,15
80,2020-06-13,15
81,2020-06-14,15
82,2020-06-15,15
83,2020-06-16,15
84,2020-06-17,15
85,2020-06-18,15
86,2020-06-19,15
87,2020-06-20,15
88,2020-06-21,15
89,2020-06-22,15
90,2020-06-23,15
91,2020-06-24,15
92,2020-06-25,15
93,2020-06-26,15
94,2020-06-27,15
95,2020-06-28,15
96,2020-06-29,15
97,2020-06-30,15
98,2020-07-01,15
99,2020-07-02,15
100,2020-07-03,15
101,2020-07-04,16
102,2020-07-05,16
103,2020-07-06,16
104,2020-07-07,16
105,2020-07-08,16
106,2020-07-09,16
107,2020-07-10,17
108,2020-07-11,17
109,2020-07-12,17
110,2020-07-13,17
111,2020-07-14,17
112,2020-07-15,17
113,2020-07-16,17
114,2020-07-17,17
115,2020-07-18,17
116,2020-07-19,17
117,2020-07-20,17
118,2020-07-21,17
119,2020-07-22,17
120,2020-07-23,17
121,2020-07-24,17
122,2020-07-25,17
123,2020-07-26,17
124,2020-07-27,17
125,2020-07-28,17
126,2020-07-29,17
127,2020-07-30,17
128,2020-07-31,17
129,2020-08-01,17
130,2020-08-02,17
131,2020-08-03,17
132,2020-08-04,17
133,2020-08-05,17
134,2020-08-06,17
135,2020-08-07,17
136,2020-08-08,17
137,2020-08-09,17
138,2020-08-10,17
139,2020-08-11,17
140,2020-08-12,17
141,2020-08-13,17
142,2020-08-14,17
143,2020-08-15,17
144,2020-08-16,17
145,2020-08-17,17
146,2020-08-18,17
147,2020-08-19,17
148,2020-08-20,17
149,2020-08-21,17
150,2020-08-22,17
151,2020-08-23,17
152,2020-08-24,17
153,2020-08-25,17
154,2020-08-26,17
155,2020-08-27,17
156,2020-08-28,17
157,2020-08-29,17
158,2020-08-30,17
159,2020-08-31,17
160,2020-09-01,17
161,2020-09-02,17
162,2020-09-03,17
163,2020-09-04,17
164,2020-09-05,17
165,2020-09-06,17
166,2020-09-07,17
167,2020-09-08,17
168,2020-09-09,17
169,2020-09-10,17
170,2020-09-11,17
171,2020-09-12,17
172,2020-09-13,17
173,2020-09-14,17
174,2020-09-15,17
175,2020-09-16,17
176,2020-09-17,17
177,2020-09-18,17
178,2020-09-19,17
179,2020-09-20,17
180,2020-09-21,19
181,2020-09-22,19
182,2020-09-23,19
183,2020-09-24,19
184,2020-09-25,19
185,2020-09-26,19
186,2020-09-27,19
187,2020-09-28,19
188,2020-09-29,19
189,2020-09-30,19
190,2020-10-01,19
191,2020-10-02,19
192,2020-10-03,19
193,2020-10-04,19
194,2020-10-05,19
195,2020-10-06,19
196,2020-10-07,19
197,2020-10-08,19
198,2020-10-09,19
199,2020-10-10,19
200,2020-10-11,19
201,2020-10-12,19
202,2020-10-13,19
203,2020-10-14,19
204,2020-10-15,19
205,2020-10-16,19
206,2020-10-17,19
207,2020-10-18,19
208,2020-10-19,19
209,2020-10-20,19
210,2020-10-21,19
211,2020-10-22,19
212,2020-10-23,19
213,2020-10-24,19
214,2020-10-25,19
215,2020-10-26,19
216,2020-10-27,19
217,2020-10-28,19
218,2020-10-29,19
219,2020-10-30,19
220,2020-10-31,19
221,2020-11-01,19
222,2020-11-02,19
223,2020-11-03,19
224,2020-11-04,19
225,2020-11-05,19
226,2020-11-06,19
227,2020-11-07,19
228,2020-11-08,19
229,2020-11-09,19
230,2020-11-10,19
231,2020-11-11,19
232,2020-11-12,19
233,2020-11-13,19
234,2020-11-14,19
235,2020-11-15,19
236,2020-11-16,19
237,2020-11-17,19
238,2020-11-18,19
239,2020-11-19,19
240,2020-11-20,19
241,2020-11-21,19
242,2020-11-22,20
243,2020-11-23,20
244,2020-11-24,22
245,2020-11-25,22
246,2020-11-26,22
247,2020-11-27,22
248,2020-11-28,22
249,2020-11-29,22
250,2020-11-30,22
251,2020-12-01,22
252,2020-12-02,22
253,2020-12-03,22
254,2020-12-04,22
255,2020-12-05,25
256,2020-12-06,25
257,2020-12-07,25
258,2020-12-08,25
259,2020-12-09,25
260,2020-12-10,26
261,2020-12-11,27
262,2020-12-12,27
263,2020-12-13,27
264,2020-12-14,28
265,2020-12-15,28
266,2020-12-16,28
267,2020-12-17,28
268,2020-12-18,30
269,2020-12-19,30
270,2020-12-20,30
271,2020-12-21,30
272,2020-12-22,30
273,2020-12-23,30
274,2020-12-24,30
275,2020-12-25,30
276,2020-12-26,30
277,2020-12-27,32
278,2020-12-28,32
279,2020-12-29,32
280,2020-12-30,32
281,2020-12-31,32
282,2021-01-01,32
283,2021-01-02,33
284,2021-01-03,33
285,2021-01-04,33
286,2021-01-05,33
287,2021-01-06,33
288,2021-01-07,33
289,2021-01-08,34
290,2021-01-09,34
291,2021-01-10,34
292,2021-01-11,34
293,2021-01-12,34
294,2021-01-13,34
295,2021-01-14,34
296,2021-01-15,34
297,2021-01-16,34
298,2021-01-17,34
299,2021-01-18,35
300,2021-01-19,35
301,2021-01-20,35
302,2021-01-21,35
303,2021-01-22,35
304,2021-01-23,35
305,2021-01-24,35
306,2021-01-25,35
307,2021-01-26,37
308,2021-01-27,37
309,2021-01-28,37
