,Date,Cases
0,2020-03-14,1
1,2020-03-15,2
2,2020-03-16,2
3,2020-03-17,2
4,2020-03-18,2
5,2020-03-19,2
6,2020-03-20,2
7,2020-03-21,2
8,2020-03-22,2
9,2020-03-23,3
10,2020-03-24,3
11,2020-03-25,3
12,2020-03-26,3
13,2020-03-27,3
14,2020-03-28,3
15,2020-03-29,9
16,2020-03-30,9
17,2020-03-31,13
18,2020-04-01,13
19,2020-04-02,13
20,2020-04-03,13
21,2020-04-04,14
22,2020-04-05,14
23,2020-04-06,14
24,2020-04-07,14
25,2020-04-08,14
26,2020-04-09,14
27,2020-04-10,15
28,2020-04-11,15
29,2020-04-12,15
30,2020-04-13,15
31,2020-04-14,15
32,2020-04-15,15
33,2020-04-16,15
34,2020-04-17,15
35,2020-04-18,15
36,2020-04-19,15
37,2020-04-20,15
38,2020-04-21,15
39,2020-04-22,15
40,2020-04-23,15
41,2020-04-24,15
42,2020-04-25,15
43,2020-04-26,15
44,2020-04-27,15
45,2020-04-28,15
46,2020-04-29,17
47,2020-04-30,17
48,2020-05-01,17
49,2020-05-02,17
50,2020-05-03,18
51,2020-05-04,18
52,2020-05-05,18
53,2020-05-06,18
54,2020-05-07,18
55,2020-05-08,18
56,2020-05-09,18
57,2020-05-10,18
58,2020-05-11,18
59,2020-05-12,18
60,2020-05-13,18
61,2020-05-14,18
62,2020-05-15,18
63,2020-05-16,18
64,2020-05-17,18
65,2020-05-18,18
66,2020-05-19,18
67,2020-05-20,18
68,2020-05-21,18
69,2020-05-22,18
70,2020-05-23,18
71,2020-05-24,18
72,2020-05-25,18
73,2020-05-26,18
74,2020-05-27,18
75,2020-05-28,18
76,2020-05-29,18
77,2020-05-30,18
78,2020-05-31,18
79,2020-06-01,18
80,2020-06-02,18
81,2020-06-03,18
82,2020-06-04,19
83,2020-06-05,19
84,2020-06-06,19
85,2020-06-07,19
86,2020-06-08,19
87,2020-06-09,19
88,2020-06-10,19
89,2020-06-11,19
90,2020-06-12,19
91,2020-06-13,19
92,2020-06-14,19
93,2020-06-15,19
94,2020-06-16,19
95,2020-06-17,19
96,2020-06-18,19
97,2020-06-19,19
98,2020-06-20,19
99,2020-06-21,19
100,2020-06-22,19
101,2020-06-23,19
102,2020-06-24,19
103,2020-06-25,19
104,2020-06-26,19
105,2020-06-27,19
106,2020-06-28,19
107,2020-06-29,19
108,2020-06-30,19
109,2020-07-01,19
110,2020-07-02,19
111,2020-07-03,22
112,2020-07-04,22
113,2020-07-05,22
114,2020-07-06,22
115,2020-07-07,22
116,2020-07-08,22
117,2020-07-09,22
118,2020-07-10,22
119,2020-07-11,22
120,2020-07-12,22
121,2020-07-13,22
122,2020-07-14,22
123,2020-07-15,22
124,2020-07-16,23
125,2020-07-17,23
126,2020-07-18,23
127,2020-07-19,23
128,2020-07-20,23
129,2020-07-21,23
130,2020-07-22,23
131,2020-07-23,24
132,2020-07-24,24
133,2020-07-25,24
134,2020-07-26,24
135,2020-07-27,24
136,2020-07-28,24
137,2020-07-29,24
138,2020-07-30,25
139,2020-07-31,25
140,2020-08-01,25
141,2020-08-02,25
142,2020-08-03,25
143,2020-08-04,25
144,2020-08-05,25
145,2020-08-06,25
146,2020-08-07,25
147,2020-08-08,25
148,2020-08-09,25
149,2020-08-10,25
150,2020-08-11,25
151,2020-08-12,25
152,2020-08-13,25
153,2020-08-14,25
154,2020-08-15,25
155,2020-08-16,25
156,2020-08-17,25
157,2020-08-18,26
158,2020-08-19,26
159,2020-08-20,26
160,2020-08-21,26
161,2020-08-22,26
162,2020-08-23,26
163,2020-08-24,26
164,2020-08-25,26
165,2020-08-26,26
166,2020-08-27,26
167,2020-08-28,26
168,2020-08-29,26
169,2020-08-30,26
170,2020-08-31,26
171,2020-09-01,26
172,2020-09-02,26
173,2020-09-03,26
174,2020-09-04,26
