,Date,Cases
0,2020-03-14,1
1,2020-03-15,1
2,2020-03-16,1
3,2020-03-17,1
4,2020-03-18,1
5,2020-03-19,1
6,2020-03-20,1
7,2020-03-21,1
8,2020-03-22,1
9,2020-03-23,1
10,2020-03-24,1
11,2020-03-25,1
12,2020-03-26,1
13,2020-03-27,1
14,2020-03-28,1
15,2020-03-29,1
16,2020-03-30,1
17,2020-03-31,1
18,2020-04-01,1
19,2020-04-02,2
20,2020-04-03,3
21,2020-04-04,7
22,2020-04-05,7
23,2020-04-06,7
24,2020-04-07,8
25,2020-04-08,8
26,2020-04-09,12
27,2020-04-10,12
28,2020-04-11,12
29,2020-04-12,12
30,2020-04-13,12
31,2020-04-14,12
32,2020-04-15,12
33,2020-04-16,12
34,2020-04-17,12
35,2020-04-18,12
36,2020-04-19,12
37,2020-04-20,12
38,2020-04-21,12
39,2020-04-22,13
40,2020-04-23,13
41,2020-04-24,14
42,2020-04-25,14
43,2020-04-26,14
44,2020-04-27,15
45,2020-04-28,15
46,2020-04-29,16
47,2020-04-30,16
48,2020-05-01,16
49,2020-05-02,16
50,2020-05-03,16
51,2020-05-04,17
52,2020-05-05,17
53,2020-05-06,17
54,2020-05-07,17
55,2020-05-08,17
56,2020-05-09,17
57,2020-05-10,17
58,2020-05-11,17
59,2020-05-12,17
60,2020-05-13,17
61,2020-05-14,17
62,2020-05-15,17
63,2020-05-16,17
64,2020-05-17,17
65,2020-05-18,17
66,2020-05-19,17
67,2020-05-20,18
68,2020-05-21,18
69,2020-05-22,18
70,2020-05-23,18
71,2020-05-24,18
72,2020-05-25,18
73,2020-05-26,18
74,2020-05-27,18
75,2020-05-28,25
76,2020-05-29,26
77,2020-05-30,26
78,2020-05-31,26
79,2020-06-01,26
80,2020-06-02,26
81,2020-06-03,26
82,2020-06-04,26
83,2020-06-05,26
84,2020-06-06,26
85,2020-06-07,27
86,2020-06-08,27
87,2020-06-09,27
88,2020-06-10,27
89,2020-06-11,27
90,2020-06-12,27
91,2020-06-13,27
92,2020-06-14,27
93,2020-06-15,27
94,2020-06-16,29
95,2020-06-17,29
96,2020-06-18,29
97,2020-06-19,29
98,2020-06-20,29
99,2020-06-21,29
100,2020-06-22,29
101,2020-06-23,29
102,2020-06-24,29
103,2020-06-25,29
104,2020-06-26,29
105,2020-06-27,29
106,2020-06-28,29
107,2020-06-29,29
108,2020-06-30,29
109,2020-07-01,29
110,2020-07-02,29
111,2020-07-03,29
112,2020-07-04,29
113,2020-07-05,29
114,2020-07-06,29
115,2020-07-07,29
116,2020-07-08,29
117,2020-07-09,29
118,2020-07-10,29
119,2020-07-11,29
120,2020-07-12,35
121,2020-07-13,35
122,2020-07-14,35
123,2020-07-15,35
124,2020-07-16,35
125,2020-07-17,35
126,2020-07-18,38
127,2020-07-19,44
128,2020-07-20,50
129,2020-07-21,50
130,2020-07-22,52
131,2020-07-23,52
132,2020-07-24,52
133,2020-07-25,52
134,2020-07-26,52
135,2020-07-27,52
136,2020-07-28,52
137,2020-07-29,52
138,2020-07-30,52
139,2020-07-31,54
140,2020-08-01,54
141,2020-08-02,55
142,2020-08-03,55
143,2020-08-04,55
144,2020-08-05,56
145,2020-08-06,56
146,2020-08-07,56
147,2020-08-08,56
148,2020-08-09,57
149,2020-08-10,57
150,2020-08-11,57
151,2020-08-12,57
