,Date,Cases
0,2020-02-27,1
1,2020-02-28,1
2,2020-02-29,1
3,2020-03-01,1
4,2020-03-02,8
5,2020-03-03,10
6,2020-03-04,16
7,2020-03-05,21
8,2020-03-06,21
9,2020-03-07,23
10,2020-03-08,36
11,2020-03-09,36
12,2020-03-10,51
13,2020-03-11,62
14,2020-03-12,69
15,2020-03-13,80
16,2020-03-14,80
17,2020-03-15,101
18,2020-03-16,109
19,2020-03-17,109
20,2020-03-18,119
21,2020-03-19,119
22,2020-03-20,144
23,2020-03-21,144
24,2020-03-22,175
25,2020-03-23,187
26,2020-03-24,187
27,2020-03-25,208
28,2020-03-26,208
29,2020-03-27,223
30,2020-03-28,224
31,2020-03-29,224
32,2020-03-30,230
33,2020-03-31,236
34,2020-04-01,236
35,2020-04-02,245
36,2020-04-03,245
37,2020-04-04,259
38,2020-04-05,266
39,2020-04-06,266
40,2020-04-07,279
41,2020-04-08,279
42,2020-04-09,333
43,2020-04-10,344
44,2020-04-11,356
45,2020-04-12,356
46,2020-04-13,356
47,2020-04-14,371
48,2020-04-15,372
49,2020-04-16,426
50,2020-04-17,435
51,2020-04-18,455
52,2020-04-19,461
53,2020-04-20,462
54,2020-04-21,476
55,2020-04-22,488
56,2020-04-23,501
57,2020-04-24,513
58,2020-04-25,513
59,2020-04-26,538
60,2020-04-27,538
61,2020-04-28,553
62,2020-04-29,563
63,2020-04-30,569
64,2020-05-01,580
65,2020-05-02,580
66,2020-05-03,582
67,2020-05-04,582
68,2020-05-05,589
69,2020-05-06,608
70,2020-05-07,622
71,2020-05-08,623
72,2020-05-09,637
73,2020-05-10,628
74,2020-05-11,628
75,2020-05-12,638
76,2020-05-13,643
77,2020-05-14,648
78,2020-05-15,652
79,2020-05-16,653
80,2020-05-17,654
81,2020-05-18,654
82,2020-05-19,655
83,2020-05-20,656
84,2020-05-21,658
85,2020-05-22,661
86,2020-05-23,665
87,2020-05-24,665
88,2020-05-25,666
89,2020-05-26,666
90,2020-05-27,667
91,2020-05-28,670
92,2020-05-29,671
93,2020-05-30,671
94,2020-05-31,671
95,2020-06-01,671
96,2020-06-02,672
97,2020-06-03,674
98,2020-06-04,678
99,2020-06-05,680
100,2020-06-06,680
101,2020-06-07,680
102,2020-06-08,687
103,2020-06-09,688
104,2020-06-10,691
105,2020-06-11,691
106,2020-06-12,694
107,2020-06-13,694
108,2020-06-14,694
109,2020-06-15,694
110,2020-06-16,694
111,2020-06-17,696
112,2020-06-18,696
113,2020-06-19,696
114,2020-06-20,696
115,2020-06-21,696
116,2020-06-22,697
117,2020-06-23,698
118,2020-06-24,698
119,2020-06-25,698
120,2020-06-26,698
121,2020-06-27,698
122,2020-06-28,698
123,2020-06-29,698
124,2020-06-30,698
125,2020-07-01,698
126,2020-07-02,698
127,2020-07-03,698
128,2020-07-04,698
129,2020-07-05,698
130,2020-07-06,698
131,2020-07-07,698
132,2020-07-08,698
133,2020-07-09,699
134,2020-07-10,699
135,2020-07-11,699
136,2020-07-12,699
137,2020-07-13,699
138,2020-07-14,699
139,2020-07-15,699
140,2020-07-16,699
141,2020-07-17,699
142,2020-07-18,699
143,2020-07-19,699
144,2020-07-20,699
145,2020-07-21,699
146,2020-07-22,699
147,2020-07-23,699
148,2020-07-24,699
149,2020-07-25,699
150,2020-07-26,699
151,2020-07-27,699
152,2020-07-28,699
153,2020-07-29,699
154,2020-07-30,699
155,2020-07-31,699
156,2020-08-01,699
157,2020-08-02,699
158,2020-08-03,699
159,2020-08-04,699
160,2020-08-05,699
161,2020-08-06,699
162,2020-08-07,699
163,2020-08-08,699
164,2020-08-09,699
165,2020-08-10,699
166,2020-08-11,699
167,2020-08-12,699
168,2020-08-13,699
169,2020-08-14,699
170,2020-08-15,699
171,2020-08-16,699
172,2020-08-17,699
173,2020-08-18,702
174,2020-08-19,704
175,2020-08-20,704
176,2020-08-21,704
177,2020-08-22,704
178,2020-08-23,704
179,2020-08-24,704
180,2020-08-25,710
181,2020-08-26,710
182,2020-08-27,710
183,2020-08-28,710
184,2020-08-29,710
185,2020-08-30,710
186,2020-08-31,715
187,2020-09-01,715
188,2020-09-02,735
189,2020-09-03,735
190,2020-09-04,735
191,2020-09-05,716
192,2020-09-06,716
193,2020-09-07,716
194,2020-09-08,716
195,2020-09-09,722
196,2020-09-10,722
197,2020-09-11,722
198,2020-09-12,722
199,2020-09-13,722
200,2020-09-14,722
201,2020-09-15,723
202,2020-09-16,723
203,2020-09-17,723
204,2020-09-18,723
205,2020-09-19,723
206,2020-09-20,723
207,2020-09-21,723
208,2020-09-22,723
209,2020-09-23,723
210,2020-09-24,727
211,2020-09-25,727
212,2020-09-26,727
213,2020-09-27,727
214,2020-09-28,727
215,2020-09-29,727
216,2020-09-30,732
217,2020-10-01,732
218,2020-10-02,732
219,2020-10-03,732
220,2020-10-04,732
221,2020-10-05,732
222,2020-10-06,732
223,2020-10-07,732
224,2020-10-08,741
225,2020-10-09,741
226,2020-10-10,741
227,2020-10-11,741
228,2020-10-12,741
229,2020-10-13,741
230,2020-10-14,741
231,2020-10-15,759
232,2020-10-16,759
233,2020-10-17,759
234,2020-10-18,759
235,2020-10-19,766
236,2020-10-20,766
237,2020-10-21,774
238,2020-10-22,802
239,2020-10-23,819
240,2020-10-24,819
241,2020-10-25,819
242,2020-10-26,852
243,2020-10-27,852
244,2020-10-28,852
245,2020-10-29,928
246,2020-10-30,928
247,2020-10-31,928
248,2020-11-01,928
249,2020-11-02,928
250,2020-11-03,994
251,2020-11-04,994
252,2020-11-05,1043
253,2020-11-06,1043
254,2020-11-07,1043
255,2020-11-08,1043
256,2020-11-09,1114
257,2020-11-10,1114
258,2020-11-11,1190
259,2020-11-12,1190
260,2020-11-13,1253
261,2020-11-14,1253
262,2020-11-15,1253
263,2020-11-16,1290
264,2020-11-17,1290
265,2020-11-18,1358
266,2020-11-19,1358
267,2020-11-20,1395
268,2020-11-21,1395
269,2020-11-22,1395
270,2020-11-23,1428
271,2020-11-24,1428
272,2020-11-25,1492
273,2020-11-26,1514
274,2020-11-27,1554
275,2020-11-28,1586
276,2020-11-29,1586
277,2020-11-30,1612
278,2020-12-01,1650
279,2020-12-02,1687
280,2020-12-03,1714
281,2020-12-04,1756
282,2020-12-05,1789
283,2020-12-06,1789
284,2020-12-07,1800
285,2020-12-08,1800
286,2020-12-09,1834
287,2020-12-10,1868
288,2020-12-11,1908
289,2020-12-12,1932
290,2020-12-13,1932
291,2020-12-14,1934
292,2020-12-15,1982
293,2020-12-16,2025
294,2020-12-17,2049
295,2020-12-18,2072
296,2020-12-19,2107
297,2020-12-20,2107
298,2020-12-21,2135
299,2020-12-22,2176
300,2020-12-23,2205
301,2020-12-24,2231
302,2020-12-25,2231
303,2020-12-26,2231
304,2020-12-27,2231
305,2020-12-28,2275
306,2020-12-29,2333
307,2020-12-30,2384
308,2020-12-31,2428
309,2021-01-01,2428
310,2021-01-02,2428
311,2021-01-03,2428
312,2021-01-04,2493
313,2021-01-05,2549
314,2021-01-06,2549
315,2021-01-07,2583
316,2021-01-08,2628
317,2021-01-09,2628
318,2021-01-10,2628
319,2021-01-11,2667
320,2021-01-12,2706
321,2021-01-13,2723
322,2021-01-14,2737
323,2021-01-15,2767
324,2021-01-16,2778
325,2021-01-17,2778
326,2021-01-18,2787
327,2021-01-19,2803
328,2021-01-20,2815
329,2021-01-21,2833
330,2021-01-22,2861
331,2021-01-23,2874
332,2021-01-24,2874
333,2021-01-25,2889
334,2021-01-26,2915
335,2021-01-27,2941
336,2021-01-28,2969
