,Date,Cases
0,2020-04-06,4
1,2020-04-07,4
2,2020-04-08,4
3,2020-04-09,4
4,2020-04-10,4
5,2020-04-11,4
6,2020-04-12,4
7,2020-04-13,4
8,2020-04-14,4
9,2020-04-15,4
10,2020-04-16,4
11,2020-04-17,4
12,2020-04-18,4
13,2020-04-19,4
14,2020-04-20,4
15,2020-04-21,4
16,2020-04-22,4
17,2020-04-23,4
18,2020-04-24,4
19,2020-04-25,4
20,2020-04-26,4
21,2020-04-27,4
22,2020-04-28,8
23,2020-04-29,8
24,2020-04-30,14
25,2020-05-01,16
26,2020-05-02,16
27,2020-05-03,16
28,2020-05-04,23
29,2020-05-05,174
30,2020-05-06,174
31,2020-05-07,187
32,2020-05-08,208
33,2020-05-09,208
34,2020-05-10,208
35,2020-05-11,208
36,2020-05-12,208
37,2020-05-13,220
38,2020-05-14,235
39,2020-05-15,235
40,2020-05-16,235
41,2020-05-17,235
42,2020-05-18,246
43,2020-05-19,251
44,2020-05-20,251
45,2020-05-21,251
46,2020-05-22,251
47,2020-05-23,251
48,2020-05-24,251
49,2020-05-25,299
50,2020-05-26,441
51,2020-05-27,443
52,2020-05-28,458
53,2020-05-29,463
54,2020-05-30,479
55,2020-05-31,483
56,2020-06-01,484
57,2020-06-02,484
58,2020-06-03,484
59,2020-06-04,485
60,2020-06-05,499
61,2020-06-06,499
62,2020-06-07,513
63,2020-06-08,513
64,2020-06-09,514
65,2020-06-10,611
66,2020-06-11,632
67,2020-06-12,639
68,2020-06-13,659
69,2020-06-14,661
70,2020-06-15,662
71,2020-06-16,671
72,2020-06-17,683
73,2020-06-18,688
74,2020-06-19,693
75,2020-06-20,698
76,2020-06-21,698
77,2020-06-22,702
78,2020-06-23,707
79,2020-06-24,710
80,2020-06-25,711
81,2020-06-26,712
82,2020-06-27,713
83,2020-06-28,713
84,2020-06-29,713
85,2020-06-30,714
86,2020-07-01,715
87,2020-07-02,717
88,2020-07-03,719
89,2020-07-04,719
90,2020-07-05,720
91,2020-07-06,721
92,2020-07-07,724
93,2020-07-08,724
94,2020-07-09,726
95,2020-07-10,727
96,2020-07-11,727
97,2020-07-12,729
98,2020-07-13,732
99,2020-07-14,732
100,2020-07-15,737
101,2020-07-16,740
102,2020-07-17,741
103,2020-07-18,743
104,2020-07-19,746
105,2020-07-20,746
106,2020-07-21,746
107,2020-07-22,747
108,2020-07-23,749
109,2020-07-24,860
110,2020-07-25,862
111,2020-07-26,863
112,2020-07-27,865
113,2020-07-28,867
114,2020-07-29,868
115,2020-07-30,870
116,2020-07-31,871
117,2020-08-01,874
118,2020-08-02,874
119,2020-08-03,874
120,2020-08-04,875
121,2020-08-05,878
122,2020-08-06,878
123,2020-08-07,878
124,2020-08-08,878
125,2020-08-09,878
126,2020-08-10,878
127,2020-08-11,881
128,2020-08-12,882
129,2020-08-13,883
130,2020-08-14,885
131,2020-08-15,885
132,2020-08-16,885
133,2020-08-17,885
134,2020-08-18,885
135,2020-08-19,885
136,2020-08-20,888
137,2020-08-21,891
138,2020-08-22,892
139,2020-08-23,892
140,2020-08-24,892
141,2020-08-25,892
142,2020-08-26,892
143,2020-08-27,894
144,2020-08-28,895
145,2020-08-29,895
146,2020-08-30,896
147,2020-08-31,896
148,2020-09-01,896
149,2020-09-02,896
150,2020-09-03,897
151,2020-09-04,897
152,2020-09-05,898
153,2020-09-06,898
154,2020-09-07,898
155,2020-09-08,898
156,2020-09-09,898
157,2020-09-10,901
158,2020-09-11,906
159,2020-09-12,906
160,2020-09-13,906
161,2020-09-14,906
162,2020-09-15,907
163,2020-09-16,907
164,2020-09-17,907
165,2020-09-18,908
166,2020-09-19,908
167,2020-09-20,908
168,2020-09-21,908
169,2020-09-22,908
170,2020-09-23,908
171,2020-09-24,910
172,2020-09-25,911
173,2020-09-26,911
174,2020-09-27,911
175,2020-09-28,911
176,2020-09-29,911
177,2020-09-30,911
178,2020-10-01,911
179,2020-10-02,911
180,2020-10-03,913
181,2020-10-04,913
182,2020-10-05,913
183,2020-10-06,914
184,2020-10-07,914
185,2020-10-08,921
186,2020-10-09,922
187,2020-10-10,922
188,2020-10-11,929
189,2020-10-12,929
190,2020-10-13,929
191,2020-10-14,929
192,2020-10-15,929
193,2020-10-16,932
194,2020-10-17,932
195,2020-10-18,933
196,2020-10-19,933
197,2020-10-20,933
198,2020-10-21,935
199,2020-10-22,935
200,2020-10-23,938
201,2020-10-24,940
202,2020-10-25,940
203,2020-10-26,941
204,2020-10-27,941
205,2020-10-28,943
206,2020-10-29,944
207,2020-10-30,945
208,2020-10-31,945
209,2020-11-01,949
210,2020-11-02,949
211,2020-11-03,954
212,2020-11-04,958
213,2020-11-05,958
214,2020-11-06,960
215,2020-11-07,962
216,2020-11-08,962
217,2020-11-09,962
218,2020-11-10,962
219,2020-11-11,962
220,2020-11-12,963
