,Date,Cases
0,2020-03-02,1
1,2020-03-03,1
2,2020-03-04,1
3,2020-03-05,5
4,2020-03-06,5
5,2020-03-07,5
6,2020-03-08,11
7,2020-03-09,15
8,2020-03-10,20
9,2020-03-11,21
10,2020-03-12,45
11,2020-03-13,86
12,2020-03-14,103
13,2020-03-15,103
14,2020-03-16,118
15,2020-03-17,171
16,2020-03-18,171
17,2020-03-19,274
18,2020-03-20,344
19,2020-03-21,392
20,2020-03-22,511
21,2020-03-23,562
22,2020-03-24,767
23,2020-03-25,900
24,2020-03-26,1012
25,2020-03-27,1104
26,2020-03-28,1203
27,2020-03-29,1299
28,2020-03-30,1453
29,2020-03-31,1563
30,2020-04-01,1720
31,2020-04-02,1885
32,2020-04-03,2039
33,2020-04-04,2179
34,2020-04-05,2402
35,2020-04-06,2605
36,2020-04-07,2795
37,2020-04-08,2932
38,2020-04-09,3287
39,2020-04-10,3651
40,2020-04-11,4033
41,2020-04-12,4462
42,2020-04-13,4934
43,2020-04-14,5369
44,2020-04-15,5862
45,2020-04-16,6380
46,2020-04-17,7142
47,2020-04-18,8274
48,2020-04-19,9362
49,2020-04-20,10484
50,2020-04-21,11631
51,2020-04-22,12772
52,2020-04-23,13930
53,2020-04-24,15102
54,2020-04-25,16299
55,2020-04-26,17522
56,2020-04-27,18811
57,2020-04-28,20077
58,2020-04-29,21402
59,2020-04-30,22753
60,2020-05-01,24097
61,2020-05-02,25459
62,2020-05-03,27011
63,2020-05-04,28656
64,2020-05-05,30251
65,2020-05-06,31938
66,2020-05-07,33731
67,2020-05-08,35432
68,2020-05-09,37136
69,2020-05-10,39048
70,2020-05-11,41014
71,2020-05-12,42925
72,2020-05-13,44830
73,2020-05-14,46869
74,2020-05-15,49176
75,2020-05-16,52016
76,2020-05-17,54752
77,2020-05-18,57345
78,2020-05-19,59854
79,2020-05-20,62545
80,2020-05-21,65077
81,2020-05-22,67719
82,2020-05-23,70161
83,2020-05-24,72560
84,2020-05-25,74795
85,2020-05-26,76726
86,2020-05-27,78541
87,2020-05-28,80185
88,2020-05-29,81766
89,2020-05-30,83384
90,2020-05-31,85261
91,2020-06-01,87142
92,2020-06-02,89011
93,2020-06-03,91182
94,2020-06-04,93157
95,2020-06-05,95748
96,2020-06-06,98869
97,2020-06-07,101914
98,2020-06-08,105283
99,2020-06-09,108571
100,2020-06-10,112288
101,2020-06-11,116021
102,2020-06-12,119942
103,2020-06-13,123308
104,2020-06-14,127541
105,2020-06-15,132048
106,2020-06-16,136315
107,2020-06-17,141234
108,2020-06-18,145991
109,2020-06-19,150292
110,2020-06-20,154233
111,2020-06-21,157612
112,2020-06-22,161005
113,2020-06-23,164144
114,2020-06-24,167267
