,Date,Cases
0,2020-03-02,1
1,2020-03-03,2
2,2020-03-04,4
3,2020-03-05,4
4,2020-03-06,4
5,2020-03-07,4
6,2020-03-08,4
7,2020-03-09,4
8,2020-03-10,4
9,2020-03-11,4
10,2020-03-12,4
11,2020-03-13,10
12,2020-03-14,10
13,2020-03-15,24
14,2020-03-16,24
15,2020-03-17,26
16,2020-03-18,31
17,2020-03-19,31
18,2020-03-20,38
19,2020-03-21,47
20,2020-03-22,67
21,2020-03-23,79
22,2020-03-24,86
23,2020-03-25,99
24,2020-03-26,105
25,2020-03-27,119
26,2020-03-28,130
27,2020-03-29,142
28,2020-03-30,162
29,2020-03-31,175
30,2020-04-01,190
31,2020-04-02,195
32,2020-04-03,207
33,2020-04-04,219
34,2020-04-05,222
35,2020-04-06,226
36,2020-04-07,237
37,2020-04-08,244
38,2020-04-09,250
39,2020-04-10,265
40,2020-04-11,278
41,2020-04-12,280
42,2020-04-13,291
43,2020-04-14,299
44,2020-04-15,314
45,2020-04-16,335
46,2020-04-17,342
47,2020-04-18,350
48,2020-04-19,367
49,2020-04-20,377
50,2020-04-21,412
51,2020-04-22,442
52,2020-04-23,479
53,2020-04-24,545
54,2020-04-25,614
55,2020-04-26,671
56,2020-04-27,736
57,2020-04-28,823
58,2020-04-29,882
59,2020-04-30,933
60,2020-05-01,1024
61,2020-05-02,1115
62,2020-05-03,1182
63,2020-05-04,1271
64,2020-05-05,1329
65,2020-05-06,1433
66,2020-05-07,1492
67,2020-05-08,1551
68,2020-05-09,1634
69,2020-05-10,1709
70,2020-05-11,1886
71,2020-05-12,1995
72,2020-05-13,2105
73,2020-05-14,2189
74,2020-05-15,2310
75,2020-05-16,2429
76,2020-05-17,2480
77,2020-05-18,2544
78,2020-05-19,2617
79,2020-05-20,2714
80,2020-05-21,2812
81,2020-05-22,2909
82,2020-05-23,2976
83,2020-05-24,3047
84,2020-05-25,3130
85,2020-05-26,3161
86,2020-05-27,3253
87,2020-05-28,3348
88,2020-05-29,3429
89,2020-05-30,3535
90,2020-05-31,3645
91,2020-06-01,3739
92,2020-06-02,3836
93,2020-06-03,3932
94,2020-06-04,4021
95,2020-06-05,4155
96,2020-06-06,4249
97,2020-06-07,4328
98,2020-06-08,4427
99,2020-06-09,4516
100,2020-06-10,4640
101,2020-06-11,4759
102,2020-06-12,4851
103,2020-06-13,4996
104,2020-06-14,5090
105,2020-06-15,5173
106,2020-06-16,5247
107,2020-06-17,5369
108,2020-06-18,5475
109,2020-06-19,5639
110,2020-06-20,5783
111,2020-06-21,5888
112,2020-06-22,5970
113,2020-06-23,6034
114,2020-06-24,6129
115,2020-06-25,6233
116,2020-06-26,6354
117,2020-06-27,6459
118,2020-06-28,6586
119,2020-06-29,6698
120,2020-06-30,6793
121,2020-07-01,6925
122,2020-07-02,7054
123,2020-07-03,7164
124,2020-07-04,7272
125,2020-07-05,7400
126,2020-07-06,7478
127,2020-07-07,7547
128,2020-07-08,7657
129,2020-07-09,7784
130,2020-07-10,7882
131,2020-07-11,8014
132,2020-07-12,8135
133,2020-07-13,8198
134,2020-07-14,8243
135,2020-07-15,8369
136,2020-07-16,8481
137,2020-07-17,8544
138,2020-07-18,8669
139,2020-07-19,8810
140,2020-07-20,8948
141,2020-07-21,8985
142,2020-07-22,9121
143,2020-07-23,9266
144,2020-07-24,9422
145,2020-07-25,9552
146,2020-07-26,9681
147,2020-07-27,9764
148,2020-07-28,9805
149,2020-07-29,9961
150,2020-07-30,10106
151,2020-07-31,10232
152,2020-08-01,10284
153,2020-08-02,10344
154,2020-08-03,10386
155,2020-08-04,10432
156,2020-08-05,10538
157,2020-08-06,10715
158,2020-08-07,10887
159,2020-08-08,11003
160,2020-08-09,11175
161,2020-08-10,11312
162,2020-08-11,11380
163,2020-08-12,11587
164,2020-08-13,11740
165,2020-08-14,11872
166,2020-08-15,12032
167,2020-08-16,12162
168,2020-08-17,12237
169,2020-08-18,12305
170,2020-08-19,12446
171,2020-08-20,12559
172,2020-08-21,12689
173,2020-08-22,12850
174,2020-08-23,12949
175,2020-08-24,13013
176,2020-08-25,13056
177,2020-08-26,13186
178,2020-08-27,13294
179,2020-08-28,13384
180,2020-08-29,13456
181,2020-08-30,13556
182,2020-08-31,13611
183,2020-09-01,13655
184,2020-09-02,13743
185,2020-09-03,13826
186,2020-09-04,13881
187,2020-09-05,13948
188,2020-09-06,13987
189,2020-09-07,14014
190,2020-09-08,14044
191,2020-09-09,14102
192,2020-09-10,14150
193,2020-09-11,14193
194,2020-09-12,14237
195,2020-09-13,14280
196,2020-09-14,14306
197,2020-09-15,14529
198,2020-09-16,14568
199,2020-09-17,14618
200,2020-09-18,14645
201,2020-09-19,14688
202,2020-09-20,14714
203,2020-09-21,14738
204,2020-09-22,14759
205,2020-09-23,14795
206,2020-09-24,14816
207,2020-09-25,14839
208,2020-09-26,14869
209,2020-09-27,14909
210,2020-09-28,14919
211,2020-09-29,14945
212,2020-09-30,14982
213,2020-10-01,15019
214,2020-10-02,15051
215,2020-10-03,15068
216,2020-10-04,15094
217,2020-10-05,15122
218,2020-10-06,15141
219,2020-10-07,15174
220,2020-10-08,15190
221,2020-10-09,15213
222,2020-10-10,15244
223,2020-10-11,15268
224,2020-10-12,15292
225,2020-10-13,15307
226,2020-10-14,15331
227,2020-10-15,15348
228,2020-10-16,15368
229,2020-10-17,15392
230,2020-10-18,15418
231,2020-10-19,15432
232,2020-10-20,15459
233,2020-10-21,15484
234,2020-10-22,15508
235,2020-10-23,15525
236,2020-10-24,15543
237,2020-10-25,15551
238,2020-10-26,15565
239,2020-10-27,15571
240,2020-10-28,15582
241,2020-10-29,15593
242,2020-10-30,15605
