,Date,Cases
0,2020-03-06,1
1,2020-03-07,1
2,2020-03-08,1
3,2020-03-09,1
4,2020-03-10,5
5,2020-03-11,12
6,2020-03-12,19
7,2020-03-13,35
8,2020-03-14,46
9,2020-03-15,48
10,2020-03-16,55
11,2020-03-17,65
12,2020-03-18,83
13,2020-03-19,103
14,2020-03-20,135
15,2020-03-21,171
16,2020-03-22,222
17,2020-03-23,249
18,2020-03-24,303
19,2020-03-25,384
20,2020-03-26,384
21,2020-03-27,457
22,2020-03-28,659
23,2020-03-29,741
24,2020-03-30,785
25,2020-03-31,900
26,2020-04-01,1060
27,2020-04-02,1171
28,2020-04-03,1476
29,2020-04-04,1624
30,2020-04-05,1908
31,2020-04-06,2200
32,2020-04-07,2447
33,2020-04-08,2666
34,2020-04-09,2867
35,2020-04-10,3105
36,2020-04-11,3380
37,2020-04-12,3630
38,2020-04-13,4054
39,2020-04-14,4465
40,2020-04-15,4873
41,2020-04-16,5318
42,2020-04-17,5690
43,2020-04-18,5994
44,2020-04-19,6318
45,2020-04-20,6630
46,2020-04-21,6890
47,2020-04-22,7144
48,2020-04-23,7276
49,2020-04-24,7483
50,2020-04-25,7779
51,2020-04-26,8042
52,2020-04-27,8275
53,2020-04-28,8497
54,2020-04-29,8724
55,2020-04-30,9009
56,2020-05-01,9009
57,2020-05-02,9362
58,2020-05-03,9464
59,2020-05-04,9557
60,2020-05-05,9677
61,2020-05-06,9791
62,2020-05-07,9848
63,2020-05-08,9943
64,2020-05-09,10032
65,2020-05-10,10032
66,2020-05-11,10176
67,2020-05-12,10243
68,2020-05-13,10295
69,2020-05-14,10374
70,2020-05-15,10438
71,2020-05-16,10496
72,2020-05-17,10610
73,2020-05-18,10699
74,2020-05-19,10733
75,2020-05-20,10833
76,2020-05-21,10919
77,2020-05-22,11024
78,2020-05-23,11092
79,2020-05-24,11159
80,2020-05-25,11193
81,2020-05-26,11227
82,2020-05-27,11275
83,2020-05-28,11300
84,2020-05-29,11354
85,2020-05-30,11381
86,2020-05-31,11412
87,2020-06-01,11430
88,2020-06-02,11454
89,2020-06-03,11523
90,2020-06-04,11571
91,2020-06-05,11667
92,2020-06-06,11741
93,2020-06-07,11823
94,2020-06-08,11896
95,2020-06-09,11965
96,2020-06-10,12031
97,2020-06-11,12102
98,2020-06-12,12175
99,2020-06-13,12251
100,2020-06-14,12310
101,2020-06-15,12367
102,2020-06-16,12426
103,2020-06-17,12522
104,2020-06-18,12616
105,2020-06-19,12709
106,2020-06-20,12803
107,2020-06-21,12894
108,2020-06-22,12990
109,2020-06-23,13092
110,2020-06-24,13235
111,2020-06-25,13372
112,2020-06-26,13565
113,2020-06-27,13792
114,2020-06-28,14046
115,2020-06-29,14288
116,2020-06-30,14564
117,2020-07-01,14836
118,2020-07-02,15195
119,2020-07-03,15504
120,2020-07-04,15829
121,2020-07-05,16131
122,2020-07-06,16420
123,2020-07-07,16719
124,2020-07-08,17076
125,2020-07-09,17342
126,2020-07-10,17728
127,2020-07-11,18073
128,2020-07-12,18360
129,2020-07-13,18639
130,2020-07-14,18983
131,2020-07-15,19334
132,2020-07-16,19717
133,2020-07-17,20109
134,2020-07-18,20498
135,2020-07-19,20894
136,2020-07-20,21253
137,2020-07-21,21605
138,2020-07-22,22031
139,2020-07-23,22443
140,2020-07-24,22852
141,2020-07-25,22852
142,2020-07-26,23730
143,2020-07-27,24141
