,Date,Cases
0,2020-03-14,2
1,2020-03-15,2
2,2020-03-16,3
3,2020-03-17,4
4,2020-03-18,4
5,2020-03-19,6
6,2020-03-20,7
7,2020-03-21,7
8,2020-03-22,7
9,2020-03-23,7
10,2020-03-24,7
11,2020-03-25,7
12,2020-03-26,7
13,2020-03-27,7
14,2020-03-28,8
15,2020-03-29,8
16,2020-03-30,8
17,2020-03-31,10
18,2020-04-01,10
19,2020-04-02,10
20,2020-04-03,10
21,2020-04-04,10
22,2020-04-05,10
23,2020-04-06,11
24,2020-04-07,11
25,2020-04-08,11
26,2020-04-09,11
27,2020-04-10,11
28,2020-04-11,11
29,2020-04-12,11
30,2020-04-13,11
31,2020-04-14,11
32,2020-04-15,11
33,2020-04-16,11
34,2020-04-17,11
35,2020-04-18,11
36,2020-04-19,11
37,2020-04-20,11
38,2020-04-21,11
39,2020-04-22,11
40,2020-04-23,11
41,2020-04-24,11
42,2020-04-25,11
43,2020-04-26,11
44,2020-04-27,11
45,2020-04-28,11
46,2020-04-29,11
47,2020-04-30,11
48,2020-05-01,11
49,2020-05-02,11
50,2020-05-03,11
51,2020-05-04,11
52,2020-05-05,11
53,2020-05-06,11
54,2020-05-07,11
55,2020-05-08,11
56,2020-05-09,11
57,2020-05-10,11
58,2020-05-11,11
59,2020-05-12,11
60,2020-05-13,11
61,2020-05-14,11
62,2020-05-15,11
63,2020-05-16,11
64,2020-05-17,11
65,2020-05-18,11
66,2020-05-19,11
67,2020-05-20,11
68,2020-05-21,11
69,2020-05-22,11
70,2020-05-23,11
71,2020-05-24,11
72,2020-05-25,11
73,2020-05-26,11
74,2020-05-27,11
75,2020-05-28,11
76,2020-05-29,11
77,2020-05-30,11
78,2020-05-31,11
79,2020-06-01,11
80,2020-06-02,11
81,2020-06-03,11
82,2020-06-04,11
83,2020-06-05,11
84,2020-06-06,11
85,2020-06-07,11
86,2020-06-08,11
87,2020-06-09,11
88,2020-06-10,11
89,2020-06-11,11
90,2020-06-12,11
91,2020-06-13,11
92,2020-06-14,11
93,2020-06-15,11
94,2020-06-16,11
95,2020-06-17,11
96,2020-06-18,11
97,2020-06-19,11
98,2020-06-20,11
99,2020-06-21,11
100,2020-06-22,11
101,2020-06-23,11
102,2020-06-24,11
103,2020-06-25,11
104,2020-06-26,11
105,2020-06-27,20
106,2020-06-28,70
107,2020-06-29,77
108,2020-06-30,81
109,2020-07-01,81
110,2020-07-02,81
111,2020-07-03,81
112,2020-07-04,81
113,2020-07-05,81
114,2020-07-06,81
115,2020-07-07,81
116,2020-07-08,91
117,2020-07-09,94
118,2020-07-10,100
119,2020-07-11,100
120,2020-07-12,100
121,2020-07-13,100
122,2020-07-14,100
123,2020-07-15,100
124,2020-07-16,108
125,2020-07-17,108
126,2020-07-18,108
127,2020-07-19,108
128,2020-07-20,108
129,2020-07-21,108
130,2020-07-22,108
131,2020-07-23,108
132,2020-07-24,108
133,2020-07-25,114
134,2020-07-26,114
135,2020-07-27,114
136,2020-07-28,114
137,2020-07-29,114
138,2020-07-30,114
139,2020-07-31,114
140,2020-08-01,114
141,2020-08-02,114
142,2020-08-03,114
143,2020-08-04,114
144,2020-08-05,126
145,2020-08-06,126
146,2020-08-07,126
147,2020-08-08,126
148,2020-08-09,126
149,2020-08-10,126
150,2020-08-11,127
151,2020-08-12,127
152,2020-08-13,127
153,2020-08-14,127
154,2020-08-15,127
155,2020-08-16,127
156,2020-08-17,127
157,2020-08-18,127
158,2020-08-19,132
159,2020-08-20,132
160,2020-08-21,132
161,2020-08-22,132
162,2020-08-23,132
163,2020-08-24,132
164,2020-08-25,136
165,2020-08-26,136
166,2020-08-27,136
167,2020-08-28,136
168,2020-08-29,136
169,2020-08-30,136
170,2020-08-31,136
171,2020-09-01,136
172,2020-09-02,136
173,2020-09-03,136
174,2020-09-04,136
175,2020-09-05,136
176,2020-09-06,136
177,2020-09-07,137
178,2020-09-08,137
179,2020-09-09,137
180,2020-09-10,137
181,2020-09-11,138
182,2020-09-12,139
183,2020-09-13,139
184,2020-09-14,140
185,2020-09-15,140
186,2020-09-16,140
187,2020-09-17,141
188,2020-09-18,141
189,2020-09-19,141
190,2020-09-20,141
191,2020-09-21,143
192,2020-09-22,143
193,2020-09-23,143
194,2020-09-24,143
195,2020-09-25,143
196,2020-09-26,143
197,2020-09-27,143
198,2020-09-28,143
199,2020-09-29,143
200,2020-09-30,144
201,2020-10-01,144
202,2020-10-02,145
203,2020-10-03,146
204,2020-10-04,146
205,2020-10-05,146
206,2020-10-06,148
207,2020-10-07,148
208,2020-10-08,148
209,2020-10-09,148
210,2020-10-10,148
211,2020-10-11,148
212,2020-10-12,148
213,2020-10-13,148
214,2020-10-14,148
215,2020-10-15,148
216,2020-10-16,149
217,2020-10-17,149
218,2020-10-18,149
219,2020-10-19,149
220,2020-10-20,149
221,2020-10-21,151
222,2020-10-22,151
223,2020-10-23,153
224,2020-10-24,153
225,2020-10-25,153
226,2020-10-26,153
227,2020-10-27,153
228,2020-10-28,153
229,2020-10-29,153
230,2020-10-30,153
231,2020-10-31,153
232,2020-11-01,153
233,2020-11-02,153
234,2020-11-03,157
235,2020-11-04,157
236,2020-11-05,157
237,2020-11-06,158
238,2020-11-07,158
239,2020-11-08,158
240,2020-11-09,158
241,2020-11-10,158
242,2020-11-11,158
243,2020-11-12,160
244,2020-11-13,160
245,2020-11-14,160
246,2020-11-15,160
247,2020-11-16,160
248,2020-11-17,160
249,2020-11-18,160
250,2020-11-19,163
251,2020-11-20,163
252,2020-11-21,163
253,2020-11-22,163
254,2020-11-23,166
255,2020-11-24,166
256,2020-11-25,166
257,2020-11-26,166
258,2020-11-27,173
259,2020-11-28,173
260,2020-11-29,173
261,2020-11-30,183
262,2020-12-01,183
263,2020-12-02,183
264,2020-12-03,183
265,2020-12-04,184
266,2020-12-05,184
267,2020-12-06,184
268,2020-12-07,184
269,2020-12-08,184
270,2020-12-09,184
271,2020-12-10,184
272,2020-12-11,187
273,2020-12-12,187
274,2020-12-13,187
275,2020-12-14,187
276,2020-12-15,202
277,2020-12-16,202
278,2020-12-17,202
279,2020-12-18,202
280,2020-12-19,202
281,2020-12-20,202
282,2020-12-21,205
283,2020-12-22,205
284,2020-12-23,205
285,2020-12-24,205
286,2020-12-25,205
287,2020-12-26,205
288,2020-12-27,205
289,2020-12-28,217
290,2020-12-29,217
291,2020-12-30,256
292,2020-12-31,256
293,2021-01-01,256
294,2021-01-02,285
295,2021-01-03,297
296,2021-01-04,322
297,2021-01-05,354
298,2021-01-06,373
299,2021-01-07,373
300,2021-01-08,451
301,2021-01-09,508
302,2021-01-10,531
303,2021-01-11,583
304,2021-01-12,601
305,2021-01-13,612
306,2021-01-14,627
307,2021-01-15,656
308,2021-01-16,696
309,2021-01-17,705
310,2021-01-18,746
311,2021-01-19,746
312,2021-01-20,762
313,2021-01-21,762
314,2021-01-22,972
315,2021-01-23,1033
316,2021-01-24,1033
317,2021-01-25,1069
318,2021-01-26,1116
319,2021-01-27,1129
320,2021-01-28,1149
