,Date,Cases
0,2020-03-31,1
1,2020-04-01,2
2,2020-04-02,2
3,2020-04-03,2
4,2020-04-04,4
5,2020-04-05,6
6,2020-04-06,6
7,2020-04-07,6
8,2020-04-08,7
9,2020-04-09,7
10,2020-04-10,8
11,2020-04-11,8
12,2020-04-12,10
13,2020-04-13,10
14,2020-04-14,11
15,2020-04-15,13
16,2020-04-16,15
17,2020-04-17,26
18,2020-04-18,30
19,2020-04-19,35
20,2020-04-20,43
21,2020-04-21,50
22,2020-04-22,61
23,2020-04-23,64
24,2020-04-24,82
25,2020-04-25,82
26,2020-04-26,93
27,2020-04-27,93
28,2020-04-28,104
29,2020-04-29,104
30,2020-04-30,124
31,2020-05-01,136
32,2020-05-02,155
33,2020-05-03,166
34,2020-05-04,178
35,2020-05-05,199
36,2020-05-06,225
37,2020-05-07,231
38,2020-05-08,257
39,2020-05-09,291
40,2020-05-10,307
41,2020-05-11,338
42,2020-05-12,338
43,2020-05-13,387
44,2020-05-14,408
45,2020-05-15,447
46,2020-05-16,462
47,2020-05-17,505
48,2020-05-18,519
49,2020-05-19,534
50,2020-05-20,570
51,2020-05-21,585
52,2020-05-22,606
53,2020-05-23,621
54,2020-05-24,707
55,2020-05-25,735
56,2020-05-26,754
57,2020-05-27,782
58,2020-05-28,812
59,2020-05-29,829
60,2020-05-30,852
61,2020-05-31,861
62,2020-06-01,865
63,2020-06-02,896
64,2020-06-03,909
65,2020-06-04,914
66,2020-06-05,929
67,2020-06-06,946
68,2020-06-07,969
69,2020-06-08,1001
70,2020-06-09,1025
71,2020-06-10,1062
72,2020-06-11,1085
73,2020-06-12,1103
74,2020-06-13,1132
75,2020-06-14,1169
76,2020-06-15,1176
77,2020-06-16,1225
78,2020-06-17,1249
79,2020-06-18,1272
80,2020-06-19,1298
81,2020-06-20,1309
82,2020-06-21,1327
83,2020-06-22,1340
84,2020-06-23,1347
85,2020-06-24,1354
86,2020-06-25,1354
87,2020-06-26,1394
88,2020-06-27,1410
89,2020-06-28,1427
90,2020-06-29,1450
91,2020-06-30,1462
92,2020-07-01,1498
93,2020-07-02,1518
94,2020-07-03,1524
95,2020-07-04,1533
96,2020-07-05,1542
97,2020-07-06,1547
98,2020-07-07,1572
99,2020-07-08,1584
100,2020-07-09,1598
101,2020-07-10,1613
102,2020-07-11,1618
103,2020-07-12,1635
104,2020-07-13,1642
105,2020-07-14,1651
106,2020-07-15,1668
107,2020-07-16,1678
108,2020-07-17,1688
109,2020-07-18,1701
110,2020-07-19,1711
111,2020-07-20,1711
112,2020-07-21,1727
113,2020-07-22,1731
114,2020-07-23,1752
115,2020-07-24,1765
116,2020-07-25,1768
117,2020-07-26,1783
118,2020-07-27,1783
119,2020-07-28,1786
120,2020-07-29,1803
121,2020-07-30,1818
122,2020-07-31,1823
123,2020-08-01,1823
124,2020-08-02,1843
125,2020-08-03,1848
126,2020-08-04,1855
127,2020-08-05,1860
128,2020-08-06,1877
129,2020-08-07,1887
130,2020-08-08,1895
131,2020-08-09,1916
132,2020-08-10,1917
133,2020-08-11,1932
134,2020-08-12,1937
135,2020-08-13,1940
136,2020-08-14,1947
137,2020-08-15,1954
138,2020-08-16,1956
139,2020-08-17,1956
140,2020-08-18,1959
141,2020-08-19,1961
142,2020-08-20,1969
143,2020-08-21,1972
144,2020-08-22,1980
145,2020-08-23,1992
146,2020-08-24,1997
147,2020-08-25,2001
148,2020-08-26,2003
149,2020-08-27,2013
150,2020-08-28,2013
151,2020-08-29,2019
152,2020-08-30,2022
153,2020-08-31,2022
154,2020-09-01,2028
155,2020-09-02,2029
156,2020-09-03,2035
157,2020-09-04,2041
158,2020-09-05,2041
159,2020-09-06,2054
160,2020-09-07,2055
161,2020-09-08,2064
162,2020-09-09,2067
163,2020-09-10,2069
164,2020-09-11,2087
165,2020-09-12,2096
166,2020-09-13,2109
167,2020-09-14,2111
168,2020-09-15,2126
169,2020-09-16,2133
170,2020-09-17,2133
171,2020-09-18,2153
172,2020-09-19,2159
173,2020-09-20,2168
174,2020-09-21,2168
175,2020-09-22,2174
176,2020-09-23,2183
177,2020-09-24,2188
