,Date,Cases
0,2020-01-23,1
1,2020-01-24,3
2,2020-01-25,3
3,2020-01-26,4
4,2020-01-27,5
5,2020-01-28,7
6,2020-01-29,7
7,2020-01-30,10
8,2020-01-31,13
9,2020-02-01,16
10,2020-02-02,18
11,2020-02-03,18
12,2020-02-04,24
13,2020-02-05,28
14,2020-02-06,28
15,2020-02-07,30
16,2020-02-08,33
17,2020-02-09,40
18,2020-02-10,45
19,2020-02-11,47
20,2020-02-12,50
21,2020-02-13,58
22,2020-02-14,67
23,2020-02-15,72
24,2020-02-16,75
25,2020-02-17,77
26,2020-02-18,81
27,2020-02-19,84
28,2020-02-20,84
29,2020-02-21,85
30,2020-02-22,85
31,2020-02-23,89
32,2020-02-24,89
33,2020-02-25,91
34,2020-02-26,93
35,2020-02-27,93
36,2020-02-28,93
37,2020-02-29,102
38,2020-03-01,106
39,2020-03-02,108
40,2020-03-03,110
41,2020-03-04,110
42,2020-03-05,117
43,2020-03-06,130
44,2020-03-07,138
45,2020-03-08,150
46,2020-03-09,150
47,2020-03-10,160
48,2020-03-11,178
49,2020-03-12,178
50,2020-03-13,200
51,2020-03-14,212
52,2020-03-15,226
53,2020-03-16,243
54,2020-03-17,266
55,2020-03-18,313
56,2020-03-19,345
57,2020-03-20,385
58,2020-03-21,432
59,2020-03-22,455
60,2020-03-23,509
61,2020-03-24,558
62,2020-03-25,631
63,2020-03-26,683
64,2020-03-27,732
65,2020-03-28,802
66,2020-03-29,844
67,2020-03-30,879
68,2020-03-31,926
69,2020-04-01,1000
70,2020-04-02,1049
71,2020-04-03,1114
72,2020-04-04,1189
73,2020-04-05,1309
74,2020-04-06,1375
75,2020-04-07,1481
76,2020-04-08,1623
77,2020-04-09,1910
78,2020-04-10,2108
79,2020-04-11,2299
80,2020-04-12,2532
81,2020-04-13,2918
82,2020-04-14,3252
83,2020-04-15,3699
84,2020-04-16,4427
85,2020-04-17,5050
86,2020-04-18,5992
87,2020-04-19,6588
88,2020-04-20,8014
89,2020-04-21,9125
90,2020-04-22,10141
91,2020-04-23,11178
92,2020-04-24,12075
93,2020-04-25,12693
94,2020-04-26,13624
95,2020-04-27,14423
96,2020-04-28,14951
97,2020-04-29,15641
98,2020-04-30,16169
99,2020-05-01,17101
100,2020-05-02,17548
101,2020-05-03,18205
102,2020-05-04,18778
103,2020-05-05,19410
104,2020-05-06,20198
105,2020-05-07,20939
106,2020-05-08,21707
107,2020-05-09,22460
108,2020-05-10,23336
109,2020-05-11,23822
110,2020-05-12,24671
111,2020-05-13,25346
112,2020-05-14,26098
113,2020-05-15,26891
114,2020-05-16,27356
115,2020-05-17,28038
116,2020-05-18,28343
117,2020-05-19,28794
118,2020-05-20,29364
119,2020-05-21,29812
120,2020-05-22,30426
121,2020-05-23,31068
122,2020-05-24,31616
123,2020-05-25,31960
124,2020-05-26,32343
125,2020-05-27,32876
126,2020-05-28,33249
127,2020-05-29,33860
128,2020-05-30,34366
129,2020-05-31,34884
130,2020-06-01,35292
131,2020-06-02,35836
132,2020-06-03,36405
133,2020-06-04,36922
134,2020-06-05,37183
135,2020-06-06,37527
136,2020-06-07,37910
137,2020-06-08,38296
138,2020-06-09,38514
139,2020-06-10,38965
140,2020-06-11,39387
141,2020-06-12,39850
142,2020-06-13,40197
143,2020-06-14,40604
144,2020-06-15,40818
145,2020-06-16,40969
146,2020-06-17,41216
147,2020-06-18,41473
148,2020-06-19,41615
149,2020-06-20,41833
150,2020-06-21,42095
151,2020-06-22,42313
152,2020-06-23,42432
153,2020-06-24,42623
154,2020-06-25,42736
155,2020-06-26,42955
156,2020-06-27,43246
157,2020-06-28,43459
158,2020-06-29,43661
159,2020-06-30,43907
160,2020-07-01,44122
161,2020-07-02,44310
162,2020-07-03,44479
163,2020-07-04,44664
164,2020-07-05,44800
165,2020-07-06,44983
166,2020-07-07,45140
167,2020-07-08,45298
168,2020-07-09,45423
169,2020-07-10,45614
170,2020-07-11,45783
171,2020-07-12,45961
172,2020-07-13,46283
173,2020-07-14,46630
174,2020-07-15,46878
175,2020-07-16,47126
176,2020-07-17,47453
177,2020-07-18,47655
178,2020-07-19,47912
179,2020-07-20,48035
180,2020-07-21,48434
181,2020-07-22,48744
182,2020-07-23,49098
183,2020-07-24,49375
184,2020-07-25,49888
185,2020-07-26,50369
186,2020-07-27,50838
187,2020-07-28,51197
188,2020-07-29,51531
189,2020-07-30,51809
190,2020-07-31,52205
191,2020-08-01,52512
192,2020-08-02,52825
193,2020-08-03,53051
194,2020-08-04,53346
195,2020-08-05,54254
196,2020-08-06,54555
197,2020-08-07,54797
198,2020-08-08,54929
199,2020-08-09,55104
200,2020-08-10,55292
201,2020-08-11,55353
202,2020-08-12,55395
203,2020-08-13,55497
204,2020-08-14,55580
205,2020-08-15,55661
206,2020-08-16,55747
207,2020-08-17,55838
208,2020-08-18,55938
209,2020-08-19,56031
210,2020-08-20,56099
211,2020-08-21,56216
212,2020-08-22,56266
213,2020-08-23,56353
214,2020-08-24,56404
215,2020-08-25,56435
216,2020-08-26,56495
217,2020-08-27,56572
218,2020-08-28,56666
219,2020-08-29,56717
220,2020-08-30,56771
221,2020-08-31,56812
222,2020-09-01,56852
223,2020-09-02,56860
224,2020-09-03,56908
225,2020-09-04,56948
226,2020-09-05,56982
227,2020-09-06,57022
228,2020-09-07,57044
229,2020-09-08,57091
230,2020-09-09,57166
231,2020-09-10,57229
232,2020-09-11,57315
233,2020-09-12,57357
234,2020-09-13,57406
235,2020-09-14,57454
236,2020-09-15,57488
237,2020-09-16,57514
238,2020-09-17,57532
239,2020-09-18,57543
240,2020-09-19,57558
241,2020-09-20,57576
242,2020-09-21,57606
243,2020-09-22,57627
244,2020-09-23,57639
245,2020-09-24,57654
246,2020-09-25,57665
247,2020-09-26,57685
248,2020-09-27,57700
249,2020-09-28,57715
250,2020-09-29,57742
251,2020-09-30,57765
252,2020-10-01,57784
253,2020-10-02,57794
254,2020-10-03,57800
255,2020-10-04,57812
256,2020-10-05,57819
257,2020-10-06,57830
258,2020-10-07,57840
259,2020-10-08,57849
260,2020-10-09,57859
261,2020-10-10,57866
262,2020-10-11,57876
263,2020-10-12,57880
264,2020-10-13,57884
265,2020-10-14,57889
266,2020-10-15,57892
267,2020-10-16,57901
268,2020-10-17,57904
269,2020-10-18,57911
270,2020-10-19,57915
271,2020-10-20,57921
272,2020-10-21,57933
273,2020-10-22,57941
274,2020-10-23,57951
275,2020-10-24,57965
276,2020-10-25,57970
277,2020-10-26,57973
278,2020-10-27,57980
279,2020-10-28,57987
280,2020-10-29,57994
281,2020-10-30,58003
282,2020-10-31,58015
283,2020-11-01,58019
284,2020-11-02,58020
285,2020-11-03,58029
286,2020-11-04,58036
287,2020-11-05,58043
288,2020-11-06,58047
289,2020-11-07,58054
290,2020-11-08,58056
291,2020-11-09,58064
292,2020-11-10,58073
293,2020-11-11,58091
294,2020-11-12,58102
295,2020-11-13,58114
296,2020-11-14,58116
297,2020-11-15,58119
298,2020-11-16,58124
299,2020-11-17,58130
300,2020-11-18,58135
301,2020-11-19,58139
302,2020-11-20,58143
303,2020-11-21,58148
304,2020-11-22,58160
305,2020-11-23,58165
306,2020-11-24,58183
307,2020-11-25,58190
308,2020-11-26,58195
309,2020-11-27,58199
310,2020-11-28,58205
311,2020-11-29,58213
312,2020-11-30,58218
313,2020-12-01,58228
314,2020-12-02,58230
315,2020-12-03,58239
316,2020-12-04,58242
317,2020-12-05,58255
318,2020-12-06,58260
319,2020-12-07,58273
320,2020-12-08,58285
321,2020-12-09,58291
322,2020-12-10,58297
323,2020-12-11,58305
324,2020-12-12,58313
325,2020-12-13,58320
326,2020-12-14,58325
327,2020-12-15,58341
328,2020-12-16,58353
