,Date,Cases
0,2020-03-05,2
1,2020-03-06,7
2,2020-03-07,7
3,2020-03-08,16
4,2020-03-09,16
5,2020-03-10,31
6,2020-03-11,57
7,2020-03-12,89
8,2020-03-13,141
9,2020-03-14,181
10,2020-03-15,219
11,2020-03-16,253
12,2020-03-17,275
13,2020-03-18,275
14,2020-03-19,286
15,2020-03-20,341
16,2020-03-21,383
17,2020-03-22,414
18,2020-03-23,442
19,2020-03-24,480
20,2020-03-25,528
21,2020-03-26,562
22,2020-03-27,632
23,2020-03-28,684
24,2020-03-29,730
25,2020-03-30,756
26,2020-03-31,802
27,2020-04-01,841
28,2020-04-02,897
29,2020-04-03,934
30,2020-04-04,977
31,2020-04-05,997
32,2020-04-06,1021
33,2020-04-07,1059
34,2020-04-08,1091
35,2020-04-09,1124
36,2020-04-10,1160
37,2020-04-11,1188
38,2020-04-12,1205
39,2020-04-13,1212
40,2020-04-14,1220
41,2020-04-15,1248
42,2020-04-16,1268
43,2020-04-17,1304
44,2020-04-18,1317
45,2020-04-19,1330
46,2020-04-20,1335
47,2020-04-21,1344
48,2020-04-22,1353
49,2020-04-23,1366
50,2020-04-24,1373
51,2020-04-25,1388
52,2020-04-26,1396
53,2020-04-27,1402
54,2020-04-28,1408
55,2020-04-29,1418
56,2020-04-30,1429
57,2020-05-01,1434
58,2020-05-02,1439
59,2020-05-03,1439
60,2020-05-04,1439
61,2020-05-05,1445
62,2020-05-06,1448
63,2020-05-07,1449
64,2020-05-08,1450
65,2020-05-09,1454
66,2020-05-10,1457
67,2020-05-11,1460
68,2020-05-12,1461
69,2020-05-13,1463
70,2020-05-14,1464
71,2020-05-15,1465
72,2020-05-16,1465
73,2020-05-17,1466
74,2020-05-18,1466
75,2020-05-19,1467
76,2020-05-20,1468
77,2020-05-21,1468
78,2020-05-22,1468
79,2020-05-23,1468
80,2020-05-24,1468
81,2020-05-25,1469
82,2020-05-26,1469
83,2020-05-27,1471
84,2020-05-28,1473
85,2020-05-29,1473
86,2020-05-30,1473
87,2020-05-31,1473
88,2020-06-01,1473
89,2020-06-02,1475
90,2020-06-03,1477
91,2020-06-04,1477
92,2020-06-05,1479
93,2020-06-06,1484
94,2020-06-07,1485
95,2020-06-08,1485
96,2020-06-09,1486
97,2020-06-10,1488
98,2020-06-11,1488
99,2020-06-12,1490
100,2020-06-13,1492
