,Date,Cases
0,2020-03-16,1
1,2020-03-17,1
2,2020-03-18,1
3,2020-03-19,1
4,2020-03-20,1
5,2020-03-21,1
6,2020-03-22,1
7,2020-03-23,1
8,2020-03-24,1
9,2020-03-25,1
10,2020-03-26,2
11,2020-03-27,3
12,2020-03-28,3
13,2020-03-29,3
14,2020-03-30,3
15,2020-03-31,5
16,2020-04-01,5
17,2020-04-02,5
18,2020-04-03,7
19,2020-04-04,7
20,2020-04-05,7
21,2020-04-06,7
22,2020-04-07,8
23,2020-04-08,12
24,2020-04-09,12
25,2020-04-10,21
26,2020-04-11,21
27,2020-04-12,25
28,2020-04-13,60
29,2020-04-14,60
30,2020-04-15,80
31,2020-04-16,80
32,2020-04-17,116
33,2020-04-18,135
34,2020-04-19,164
35,2020-04-20,237
36,2020-04-21,286
37,2020-04-22,286
38,2020-04-23,328
39,2020-04-24,328
40,2020-04-25,390
41,2020-04-26,436
42,2020-04-27,480
43,2020-04-28,528
44,2020-04-29,582
45,2020-04-30,601
46,2020-05-01,601
47,2020-05-02,671
48,2020-05-03,722
49,2020-05-04,756
50,2020-05-05,835
51,2020-05-06,873
52,2020-05-07,928
53,2020-05-08,928
54,2020-05-09,997
55,2020-05-10,1054
56,2020-05-11,1089
57,2020-05-12,1170
58,2020-05-13,1219
59,2020-05-14,1284
60,2020-05-15,1284
61,2020-05-16,1357
62,2020-05-17,1421
63,2020-05-18,1455
64,2020-05-19,1502
65,2020-05-20,1573
66,2020-05-21,1594
67,2020-05-22,1594
68,2020-05-23,1594
69,2020-05-24,1594
70,2020-05-25,1689
71,2020-05-26,1711
72,2020-05-27,1731
73,2020-05-28,1828
74,2020-05-29,1828
75,2020-05-30,1916
76,2020-05-31,1976
77,2020-06-01,2023
78,2020-06-02,2089
79,2020-06-03,2146
80,2020-06-04,2204
81,2020-06-05,2204
82,2020-06-06,2289
83,2020-06-07,2334
84,2020-06-08,2368
85,2020-06-09,2416
86,2020-06-10,2452
87,2020-06-11,2513
88,2020-06-12,2513
89,2020-06-13,2579
90,2020-06-14,2618
91,2020-06-15,2642
92,2020-06-16,2658
93,2020-06-17,2696
94,2020-06-18,2719
95,2020-06-19,2719
96,2020-06-20,2755
97,2020-06-21,2779
98,2020-06-22,2812
99,2020-06-23,2812
100,2020-06-24,2835
101,2020-06-25,2878
102,2020-06-26,2878
103,2020-06-27,2878
104,2020-06-28,2894
105,2020-06-29,2904
106,2020-06-30,2924
107,2020-07-01,2924
108,2020-07-02,2944
109,2020-07-03,2944
110,2020-07-04,2961
111,2020-07-05,2997
112,2020-07-06,3006
113,2020-07-07,3015
114,2020-07-08,3028
115,2020-07-09,3038
116,2020-07-10,3038
117,2020-07-11,3051
118,2020-07-12,3059
119,2020-07-13,3072
120,2020-07-14,3076
121,2020-07-15,3083
122,2020-07-16,3106
123,2020-07-17,3106
124,2020-07-18,3111
125,2020-07-19,3119
126,2020-07-20,3130
127,2020-07-21,3135
128,2020-07-22,3161
129,2020-07-23,3171
130,2020-07-24,3171
131,2020-07-25,3178
132,2020-07-26,3178
133,2020-07-27,3196
134,2020-07-28,3212
135,2020-07-29,3212
136,2020-07-30,3212
137,2020-07-31,3212
138,2020-08-01,3212
139,2020-08-02,3220
140,2020-08-03,3220
141,2020-08-04,3220
142,2020-08-05,3227
143,2020-08-06,3227
144,2020-08-07,3227
145,2020-08-08,3227
146,2020-08-09,3227
147,2020-08-10,3227
148,2020-08-11,3227
149,2020-08-12,3227
150,2020-08-13,3227
151,2020-08-14,3250
152,2020-08-15,3250
153,2020-08-16,3256
154,2020-08-17,3257
155,2020-08-18,3257
156,2020-08-19,3265
157,2020-08-20,3265
158,2020-08-21,3265
159,2020-08-22,3269
160,2020-08-23,3269
161,2020-08-24,3269
162,2020-08-25,3275
163,2020-08-26,3275
164,2020-08-27,3275
165,2020-08-28,3275
166,2020-08-29,3310
167,2020-08-30,3310
168,2020-08-31,3310
169,2020-09-01,3310
170,2020-09-02,3310
171,2020-09-03,3310
172,2020-09-04,3332
173,2020-09-05,3332
174,2020-09-06,3362
175,2020-09-07,3362
176,2020-09-08,3371
177,2020-09-09,3371
178,2020-09-10,3371
179,2020-09-11,3376
180,2020-09-12,3376
181,2020-09-13,3389
182,2020-09-14,3389
183,2020-09-15,3390
184,2020-09-16,3390
185,2020-09-17,3390
186,2020-09-18,3390
187,2020-09-19,3401
188,2020-09-20,3442
189,2020-09-21,3465
190,2020-09-22,3465
191,2020-09-23,3465
192,2020-09-24,3465
193,2020-09-25,3465
194,2020-09-26,3588
195,2020-09-27,3588
196,2020-09-28,3588
197,2020-09-29,3588
198,2020-09-30,3588
199,2020-10-01,3593
200,2020-10-02,3593
201,2020-10-03,3593
202,2020-10-04,3745
203,2020-10-05,3745
204,2020-10-06,3745
205,2020-10-07,3745
206,2020-10-08,3745
207,2020-10-09,3745
208,2020-10-10,3847
209,2020-10-11,3864
210,2020-10-12,3864
211,2020-10-13,3864
212,2020-10-14,3864
213,2020-10-15,3864
