,Date,Cases
0,2020-03-05,1
1,2020-03-06,1
2,2020-03-07,1
3,2020-03-08,3
4,2020-03-09,3
5,2020-03-10,7
6,2020-03-11,13
7,2020-03-12,17
8,2020-03-13,24
9,2020-03-14,38
10,2020-03-15,51
11,2020-03-16,62
12,2020-03-17,62
13,2020-03-18,116
14,2020-03-19,150
15,2020-03-20,202
16,2020-03-21,240
17,2020-03-22,274
18,2020-03-23,402
19,2020-03-24,554
20,2020-03-25,709
21,2020-03-26,927
22,2020-03-27,1170
23,2020-03-28,1187
24,2020-03-29,1280
25,2020-03-30,1326
26,2020-03-31,1353
27,2020-04-01,1380
28,2020-04-02,1462
29,2020-04-03,1505
30,2020-04-04,1585
31,2020-04-05,1655
32,2020-04-06,1686
33,2020-04-07,1749
34,2020-04-08,1845
35,2020-04-09,1934
36,2020-04-10,2003
37,2020-04-11,2028
38,2020-04-12,2173
39,2020-04-13,2272
40,2020-04-14,2415
41,2020-04-15,2506
42,2020-04-16,2605
43,2020-04-17,2783
44,2020-04-18,3034
45,2020-04-19,3158
46,2020-04-20,3300
47,2020-04-21,3465
48,2020-04-22,3635
49,2020-04-23,3953
50,2020-04-24,4220
51,2020-04-25,4361
52,2020-04-26,4546
53,2020-04-27,4793
54,2020-04-28,4996
55,2020-04-29,5350
56,2020-04-30,5647
57,2020-05-01,5951
58,2020-05-02,6336
59,2020-05-03,6783
60,2020-05-04,7220
61,2020-05-05,7572
62,2020-05-06,7808
63,2020-05-07,8232
64,2020-05-08,8895
65,2020-05-09,9420
66,2020-05-10,10015
67,2020-05-11,10652
68,2020-05-12,11350
69,2020-05-13,12074
70,2020-05-14,12739
71,2020-05-15,13524
72,2020-05-16,14355
73,2020-05-17,15515
74,2020-05-18,16433
75,2020-05-19,17200
76,2020-05-20,18003
77,2020-05-21,19137
78,2020-05-22,20125
79,2020-05-23,21343
80,2020-05-24,22583
81,2020-05-25,23615
82,2020-05-26,24264
83,2020-05-27,25937
84,2020-05-28,27403
85,2020-05-29,29240
86,2020-05-30,30967
87,2020-05-31,32683
88,2020-06-01,34357
89,2020-06-02,35812
90,2020-06-03,37525
91,2020-06-04,40792
92,2020-06-05,43434
93,2020-06-06,45973
94,2020-06-07,48285
95,2020-06-08,50879
96,2020-06-09,52991
97,2020-06-10,55421
98,2020-06-11,58568
99,2020-06-12,61927
100,2020-06-13,65736
101,2020-06-14,70038
102,2020-06-15,73533
103,2020-06-16,76334
104,2020-06-17,80412
105,2020-06-18,83890
106,2020-06-19,87715
107,2020-06-20,92681
108,2020-06-21,97302
109,2020-06-22,101590
