,Date,Cases
0,2020-04-05,1
1,2020-04-06,1
2,2020-04-07,2
3,2020-04-08,2
4,2020-04-09,3
5,2020-04-10,4
6,2020-04-11,4
7,2020-04-12,4
8,2020-04-13,4
9,2020-04-14,4
10,2020-04-15,4
11,2020-04-16,4
12,2020-04-17,4
13,2020-04-18,4
14,2020-04-19,4
15,2020-04-20,4
16,2020-04-21,4
17,2020-04-22,4
18,2020-04-23,5
19,2020-04-24,5
20,2020-04-25,5
21,2020-04-26,6
22,2020-04-27,6
23,2020-04-28,34
24,2020-04-29,34
25,2020-04-30,35
26,2020-05-01,45
27,2020-05-02,45
28,2020-05-03,46
29,2020-05-04,46
30,2020-05-05,52
31,2020-05-06,58
32,2020-05-07,74
33,2020-05-08,120
34,2020-05-09,120
35,2020-05-10,120
36,2020-05-11,156
37,2020-05-12,194
38,2020-05-13,203
39,2020-05-14,203
40,2020-05-15,236
41,2020-05-16,236
42,2020-05-17,290
43,2020-05-18,290
44,2020-05-19,290
45,2020-05-20,290
46,2020-05-21,481
47,2020-05-22,563
48,2020-05-23,655
49,2020-05-24,655
50,2020-05-25,806
51,2020-05-26,806
52,2020-05-27,994
53,2020-05-28,994
54,2020-05-29,994
55,2020-05-30,994
56,2020-05-31,994
57,2020-06-01,994
58,2020-06-02,994
59,2020-06-03,994
60,2020-06-04,994
61,2020-06-05,994
62,2020-06-06,994
63,2020-06-07,1317
64,2020-06-08,1604
65,2020-06-09,1604
66,2020-06-10,1604
67,2020-06-11,1670
68,2020-06-12,1670
69,2020-06-13,1693
70,2020-06-14,1693
71,2020-06-15,1693
72,2020-06-16,1776
73,2020-06-17,1813
74,2020-06-18,1830
75,2020-06-19,1864
76,2020-06-20,1882
77,2020-06-21,1892
78,2020-06-22,1916
79,2020-06-23,1930
80,2020-06-24,1942
81,2020-06-25,1942
82,2020-06-26,1942
83,2020-06-27,1942
84,2020-06-28,1989
85,2020-06-29,1989
86,2020-06-30,2007
87,2020-07-01,2021
88,2020-07-02,2021
89,2020-07-03,2021
90,2020-07-04,2021
91,2020-07-05,2021
92,2020-07-06,2021
93,2020-07-07,2021
94,2020-07-08,2021
95,2020-07-09,2021
96,2020-07-10,2021
97,2020-07-11,2021
98,2020-07-12,2021
99,2020-07-13,2148
100,2020-07-14,2148
101,2020-07-15,2153
102,2020-07-16,2171
103,2020-07-17,2191
104,2020-07-18,2191
105,2020-07-19,2200
106,2020-07-20,2211
107,2020-07-21,2211
108,2020-07-22,2211
109,2020-07-23,2239
110,2020-07-24,2258
111,2020-07-25,2258
112,2020-07-26,2262
113,2020-07-27,2305
114,2020-07-28,2305
115,2020-07-29,2322
116,2020-07-30,2322
117,2020-07-31,2322
118,2020-08-01,2352
119,2020-08-02,2429
120,2020-08-03,2429
121,2020-08-04,2437
122,2020-08-05,2437
123,2020-08-06,2450
124,2020-08-07,2450
125,2020-08-08,2463
126,2020-08-09,2470
127,2020-08-10,2470
128,2020-08-11,2472
129,2020-08-12,2477
130,2020-08-13,2478
131,2020-08-14,2482
132,2020-08-15,2488
133,2020-08-16,2489
