,Date,Cases
0,2020-02-01,1
1,2020-02-02,1
2,2020-02-03,1
3,2020-02-04,1
4,2020-02-05,1
5,2020-02-06,1
6,2020-02-07,1
7,2020-02-08,1
8,2020-02-09,2
9,2020-02-10,2
10,2020-02-11,2
11,2020-02-12,2
12,2020-02-13,2
13,2020-02-14,2
14,2020-02-15,2
15,2020-02-16,2
16,2020-02-17,2
17,2020-02-18,2
18,2020-02-19,2
19,2020-02-20,2
20,2020-02-21,2
21,2020-02-22,2
22,2020-02-23,2
23,2020-02-24,2
24,2020-02-25,6
25,2020-02-26,13
26,2020-02-27,15
27,2020-02-28,32
28,2020-02-29,45
29,2020-03-01,84
30,2020-03-02,120
31,2020-03-03,165
32,2020-03-04,222
33,2020-03-05,259
34,2020-03-06,400
35,2020-03-07,500
36,2020-03-08,673
37,2020-03-09,1073
38,2020-03-10,1695
39,2020-03-11,2277
40,2020-03-12,2277
41,2020-03-13,5232
42,2020-03-14,6391
43,2020-03-15,7798
44,2020-03-16,9942
45,2020-03-17,11748
46,2020-03-18,13910
47,2020-03-19,17963
48,2020-03-20,20410
49,2020-03-21,25374
50,2020-03-22,28768
51,2020-03-23,35136
52,2020-03-24,39885
53,2020-03-25,49515
54,2020-03-26,57786
55,2020-03-27,65719
56,2020-03-28,73235
57,2020-03-29,80110
58,2020-03-30,87956
59,2020-03-31,95923
60,2020-04-01,104118
61,2020-04-02,112065
62,2020-04-03,119199
63,2020-04-04,126168
64,2020-04-05,131646
65,2020-04-06,136675
66,2020-04-07,141942
67,2020-04-08,148220
68,2020-04-09,153222
69,2020-04-10,158273
70,2020-04-11,163027
71,2020-04-12,166831
72,2020-04-13,170099
73,2020-04-14,172541
74,2020-04-15,177644
75,2020-04-16,184948
76,2020-04-17,190839
77,2020-04-18,191726
78,2020-04-19,198674
79,2020-04-20,200210
80,2020-04-21,204178
81,2020-04-22,208389
82,2020-04-23,213024
83,2020-04-24,202990
84,2020-04-25,205905
85,2020-04-26,207634
86,2020-04-27,209465
87,2020-04-28,210773
88,2020-04-29,212917
89,2020-04-30,213435
90,2020-05-01,215216
91,2020-05-02,216582
92,2020-05-03,217466
93,2020-05-04,218011
94,2020-05-05,219329
95,2020-05-06,220325
96,2020-05-07,221447
97,2020-05-08,222857
98,2020-05-09,223578
99,2020-05-10,224350
100,2020-05-11,227436
101,2020-05-12,228030
102,2020-05-13,228691
103,2020-05-14,229540
104,2020-05-15,230183
105,2020-05-16,230698
106,2020-05-17,230698
107,2020-05-18,231606
108,2020-05-19,232037
109,2020-05-20,232555
110,2020-05-21,233037
111,2020-05-22,234824
112,2020-05-23,235290
113,2020-05-24,235772
114,2020-05-25,235400
115,2020-05-26,236259
116,2020-05-27,236259
117,2020-05-28,237906
118,2020-05-29,238564
119,2020-05-30,239228
120,2020-05-31,239479
121,2020-06-01,239638
122,2020-06-02,239932
123,2020-06-03,240326
124,2020-06-04,240660
125,2020-06-05,240978
126,2020-06-06,241310
127,2020-06-07,241550
128,2020-06-08,241717
129,2020-06-09,241966
130,2020-06-10,242280
131,2020-06-11,242707
132,2020-06-12,243209
133,2020-06-13,243605
134,2020-06-14,243928
135,2020-06-15,244109
136,2020-06-16,244328
137,2020-06-17,244683
138,2020-06-18,245268
139,2020-06-19,245575
140,2020-06-20,245938
141,2020-06-21,246272
142,2020-06-22,246504
143,2020-06-23,246752
144,2020-06-24,247086
145,2020-06-25,247486
146,2020-06-26,247905
147,2020-06-27,248469
148,2020-06-28,248770
