,Date,Cases
0,2020-01-27,1
1,2020-01-28,1
2,2020-01-29,1
3,2020-01-30,1
4,2020-01-31,1
5,2020-02-01,1
6,2020-02-02,1
7,2020-02-03,1
8,2020-02-04,1
9,2020-02-05,1
10,2020-02-06,1
11,2020-02-07,1
12,2020-02-08,1
13,2020-02-09,1
14,2020-02-10,1
15,2020-02-11,1
16,2020-02-12,1
17,2020-02-13,1
18,2020-02-14,1
19,2020-02-15,1
20,2020-02-16,1
21,2020-02-17,1
22,2020-02-18,1
23,2020-02-19,1
24,2020-02-20,1
25,2020-02-21,1
26,2020-02-22,1
27,2020-02-23,1
28,2020-02-24,1
29,2020-02-25,1
30,2020-02-26,1
31,2020-02-27,1
32,2020-02-28,1
33,2020-02-29,1
34,2020-03-01,1
35,2020-03-02,1
36,2020-03-03,1
37,2020-03-04,1
38,2020-03-05,1
39,2020-03-06,1
40,2020-03-07,1
41,2020-03-08,1
42,2020-03-09,1
43,2020-03-10,1
44,2020-03-11,2
45,2020-03-12,2
46,2020-03-13,6
47,2020-03-14,10
48,2020-03-15,18
49,2020-03-16,28
50,2020-03-17,44
51,2020-03-18,51
52,2020-03-19,60
53,2020-03-20,73
54,2020-03-21,77
55,2020-03-22,82
56,2020-03-23,97
57,2020-03-24,102
58,2020-03-25,102
59,2020-03-26,106
60,2020-03-27,106
61,2020-03-28,113
62,2020-03-29,117
63,2020-03-30,122
64,2020-03-31,143
65,2020-04-01,146
66,2020-04-02,151
67,2020-04-03,159
68,2020-04-04,166
69,2020-04-05,176
70,2020-04-06,178
71,2020-04-07,185
72,2020-04-08,189
73,2020-04-09,190
74,2020-04-10,190
75,2020-04-11,198
76,2020-04-12,210
77,2020-04-13,217
78,2020-04-14,233
79,2020-04-15,238
80,2020-04-16,238
81,2020-04-17,244
82,2020-04-18,254
83,2020-04-19,271
84,2020-04-20,304
85,2020-04-21,310
86,2020-04-22,330
87,2020-04-23,368
88,2020-04-24,420
89,2020-04-25,460
90,2020-04-26,523
91,2020-04-27,588
92,2020-04-28,619
93,2020-04-29,649
94,2020-04-30,663
95,2020-05-01,690
96,2020-05-02,705
97,2020-05-03,718
98,2020-05-04,751
99,2020-05-05,771
100,2020-05-06,797
101,2020-05-07,824
102,2020-05-08,835
103,2020-05-09,847
104,2020-05-10,863
105,2020-05-11,869
106,2020-05-12,889
107,2020-05-13,915
108,2020-05-14,925
109,2020-05-15,935
110,2020-05-16,960
111,2020-05-17,981
112,2020-05-18,992
113,2020-05-19,1027
114,2020-05-20,1028
115,2020-05-21,1055
116,2020-05-22,1068
117,2020-05-23,1089
118,2020-05-24,1141
119,2020-05-25,1182
120,2020-05-26,1319
121,2020-05-27,1469
122,2020-05-28,1530
123,2020-05-29,1558
124,2020-05-30,1620
125,2020-05-31,1633
126,2020-06-01,1643
127,2020-06-02,1683
128,2020-06-03,1749
129,2020-06-04,1797
130,2020-06-05,1801
131,2020-06-06,1814
132,2020-06-07,1835
133,2020-06-08,1857
134,2020-06-09,1859
135,2020-06-10,1869
136,2020-06-11,1877
137,2020-06-12,1880
138,2020-06-13,1884
139,2020-06-14,1889
140,2020-06-15,1905
141,2020-06-16,1915
142,2020-06-17,1924
143,2020-06-18,1947
