,Date,Cases
0,2020-03-14,1
1,2020-03-15,1
2,2020-03-16,1
3,2020-03-17,1
4,2020-03-18,1
5,2020-03-19,1
6,2020-03-20,1
7,2020-03-21,2
8,2020-03-22,2
9,2020-03-23,2
10,2020-03-24,3
11,2020-03-25,3
12,2020-03-26,3
13,2020-03-27,3
14,2020-03-28,5
15,2020-03-29,5
16,2020-03-30,6
17,2020-03-31,7
18,2020-04-01,7
19,2020-04-02,7
20,2020-04-03,10
21,2020-04-04,10
22,2020-04-05,12
23,2020-04-06,12
24,2020-04-07,14
25,2020-04-08,14
26,2020-04-09,14
27,2020-04-10,15
28,2020-04-11,19
29,2020-04-12,19
30,2020-04-13,19
31,2020-04-14,29
32,2020-04-15,32
33,2020-04-16,32
34,2020-04-17,32
35,2020-04-18,66
36,2020-04-19,66
37,2020-04-20,92
38,2020-04-21,107
39,2020-04-22,140
40,2020-04-23,162
41,2020-04-24,174
42,2020-04-25,213
43,2020-04-26,237
44,2020-04-27,275
45,2020-04-28,318
46,2020-04-29,375
47,2020-04-30,375
48,2020-05-01,442
49,2020-05-02,533
50,2020-05-03,592
51,2020-05-04,678
52,2020-05-05,778
53,2020-05-06,852
54,2020-05-07,930
55,2020-05-08,930
56,2020-05-09,1111
57,2020-05-10,1164
58,2020-05-11,1365
59,2020-05-12,1526
60,2020-05-13,1660
61,2020-05-14,1818
62,2020-05-15,1964
63,2020-05-16,1964
64,2020-05-17,2289
65,2020-05-18,2591
66,2020-05-19,2591
67,2020-05-20,2728
68,2020-05-21,3138
69,2020-05-22,3138
70,2020-05-23,3378
71,2020-05-24,3634
72,2020-05-25,3826
73,2020-05-26,3976
74,2020-05-27,4146
75,2020-05-28,4346
76,2020-05-29,4346
77,2020-05-30,4521
78,2020-05-31,4800
79,2020-06-01,5026
80,2020-06-02,5173
81,2020-06-03,5310
82,2020-06-04,5499
83,2020-06-05,5714
84,2020-06-06,5866
85,2020-06-07,6081
86,2020-06-08,6081
87,2020-06-09,6242
88,2020-06-10,6427
89,2020-06-11,6582
90,2020-06-12,6730
91,2020-06-13,6879
92,2020-06-14,7007
93,2020-06-15,7220
94,2020-06-16,7435
95,2020-06-17,7740
96,2020-06-18,8020
97,2020-06-19,8020
98,2020-06-20,8416
99,2020-06-21,8580
100,2020-06-22,8698
101,2020-06-23,8796
102,2020-06-24,8887
103,2020-06-25,8887
104,2020-06-26,8982
105,2020-06-27,9257
106,2020-06-28,9314
107,2020-06-29,9320
108,2020-06-30,9372
109,2020-07-01,9500
110,2020-07-02,9573
111,2020-07-03,9689
112,2020-07-04,9689
113,2020-07-05,9767
114,2020-07-06,9767
115,2020-07-07,9894
116,2020-07-08,9997
117,2020-07-09,10084
118,2020-07-10,10204
119,2020-07-11,10204
120,2020-07-12,10250
121,2020-07-13,10250
122,2020-07-14,10316
123,2020-07-15,10417
124,2020-07-16,10527
125,2020-07-17,10527
126,2020-07-18,10527
127,2020-07-19,10762
128,2020-07-20,10992
129,2020-07-21,10992
130,2020-07-22,11127
131,2020-07-23,11237
132,2020-07-24,11302
133,2020-07-25,11302
134,2020-07-26,11385
135,2020-07-27,11424
136,2020-07-28,11496
137,2020-07-29,11579
138,2020-07-30,11579
139,2020-07-31,11579
140,2020-08-01,11644
141,2020-08-02,11738
142,2020-08-03,11738
143,2020-08-04,11780
