,Date,Cases
0,2020-03-14,1
1,2020-03-15,1
2,2020-03-16,1
3,2020-03-17,1
4,2020-03-18,1
5,2020-03-19,1
6,2020-03-20,4
7,2020-03-21,4
8,2020-03-22,5
9,2020-03-23,5
10,2020-03-24,7
11,2020-03-25,8
12,2020-03-26,8
13,2020-03-27,8
14,2020-03-28,8
15,2020-03-29,8
16,2020-03-30,8
17,2020-03-31,9
18,2020-04-01,10
19,2020-04-02,10
20,2020-04-03,10
21,2020-04-04,10
22,2020-04-05,10
23,2020-04-06,10
24,2020-04-07,10
25,2020-04-08,10
26,2020-04-09,10
27,2020-04-10,10
28,2020-04-11,10
29,2020-04-12,10
30,2020-04-13,10
31,2020-04-14,10
32,2020-04-15,10
33,2020-04-16,10
34,2020-04-17,10
35,2020-04-18,10
36,2020-04-19,10
37,2020-04-20,10
38,2020-04-21,10
39,2020-04-22,10
40,2020-04-23,10
41,2020-04-24,10
42,2020-04-25,10
43,2020-04-26,10
44,2020-04-27,10
45,2020-04-28,10
46,2020-04-29,10
47,2020-04-30,10
48,2020-05-01,10
49,2020-05-02,10
50,2020-05-03,10
51,2020-05-04,10
52,2020-05-05,10
53,2020-05-06,10
54,2020-05-07,10
55,2020-05-08,10
56,2020-05-09,10
57,2020-05-10,10
58,2020-05-11,10
59,2020-05-12,10
60,2020-05-13,10
61,2020-05-14,10
62,2020-05-15,10
63,2020-05-16,10
64,2020-05-17,10
65,2020-05-18,11
66,2020-05-19,11
67,2020-05-20,11
68,2020-05-21,11
69,2020-05-22,11
70,2020-05-23,11
71,2020-05-24,11
72,2020-05-25,11
73,2020-05-26,11
74,2020-05-27,12
75,2020-05-28,12
76,2020-05-29,12
77,2020-05-30,14
78,2020-05-31,23
79,2020-06-01,44
80,2020-06-02,54
81,2020-06-03,74
82,2020-06-04,82
83,2020-06-05,90
84,2020-06-06,100
85,2020-06-07,122
86,2020-06-08,128
87,2020-06-09,137
88,2020-06-10,144
89,2020-06-11,168
90,2020-06-12,187
91,2020-06-13,196
92,2020-06-14,208
93,2020-06-15,229
94,2020-06-16,236
95,2020-06-17,261
96,2020-06-18,277
97,2020-06-19,293
98,2020-06-20,303
99,2020-06-21,314
100,2020-06-22,319
101,2020-06-23,319
102,2020-06-24,357
103,2020-06-25,373
104,2020-06-26,389
105,2020-06-27,467
106,2020-06-28,490
107,2020-06-29,501
108,2020-06-30,515
109,2020-07-01,535
110,2020-07-02,547
111,2020-07-03,561
112,2020-07-04,565
113,2020-07-05,594
114,2020-07-06,614
115,2020-07-07,634
116,2020-07-08,665
117,2020-07-09,694
118,2020-07-10,726
119,2020-07-11,741
120,2020-07-12,741
121,2020-07-13,780
122,2020-07-14,801
123,2020-07-15,837
124,2020-07-16,904
125,2020-07-17,943
126,2020-07-18,1001
127,2020-07-19,1029
128,2020-07-20,1079
129,2020-07-21,1131
130,2020-07-22,1176
131,2020-07-23,1234
132,2020-07-24,1305
133,2020-07-25,1381
134,2020-07-26,1439
135,2020-07-27,1483
136,2020-07-28,1510
137,2020-07-29,1607
138,2020-07-30,1607
139,2020-07-31,1650
140,2020-08-01,1760
141,2020-08-02,1849
142,2020-08-03,1893
143,2020-08-04,1981
144,2020-08-05,2050
145,2020-08-06,2096
146,2020-08-07,2203
147,2020-08-08,2306
148,2020-08-09,2391
149,2020-08-10,2489
