,Date,Cases
0,2020-03-14,1
1,2020-03-15,1
2,2020-03-16,1
3,2020-03-17,1
4,2020-03-18,1
5,2020-03-19,1
6,2020-03-20,1
7,2020-03-21,1
8,2020-03-22,4
9,2020-03-23,4
10,2020-03-24,4
11,2020-03-25,4
12,2020-03-26,6
13,2020-03-27,9
14,2020-03-28,9
15,2020-03-29,9
16,2020-03-30,9
17,2020-03-31,9
18,2020-04-01,9
19,2020-04-02,9
20,2020-04-03,9
21,2020-04-04,9
22,2020-04-05,9
23,2020-04-06,10
24,2020-04-07,10
25,2020-04-08,12
26,2020-04-09,12
27,2020-04-10,12
28,2020-04-11,12
29,2020-04-12,14
30,2020-04-13,15
31,2020-04-14,15
32,2020-04-15,15
33,2020-04-16,16
34,2020-04-17,16
35,2020-04-18,22
36,2020-04-19,22
37,2020-04-20,24
38,2020-04-21,31
39,2020-04-22,31
40,2020-04-23,31
41,2020-04-24,36
42,2020-04-25,56
43,2020-04-26,59
44,2020-04-27,65
45,2020-04-28,71
46,2020-04-29,91
47,2020-04-30,100
48,2020-05-01,106
49,2020-05-02,108
50,2020-05-03,112
51,2020-05-04,116
52,2020-05-05,119
53,2020-05-06,123
54,2020-05-07,153
55,2020-05-08,159
56,2020-05-09,163
57,2020-05-10,172
58,2020-05-11,175
59,2020-05-12,184
60,2020-05-13,187
61,2020-05-14,187
62,2020-05-15,190
63,2020-05-16,202
64,2020-05-17,203
65,2020-05-18,205
66,2020-05-19,208
67,2020-05-20,217
68,2020-05-21,220
69,2020-05-22,225
70,2020-05-23,238
71,2020-05-24,250
72,2020-05-25,256
73,2020-05-26,261
74,2020-05-27,272
75,2020-05-28,279
76,2020-05-29,279
77,2020-05-30,283
78,2020-05-31,285
79,2020-06-01,293
80,2020-06-02,294
81,2020-06-03,295
82,2020-06-04,300
83,2020-06-05,305
84,2020-06-06,322
85,2020-06-07,333
86,2020-06-08,340
87,2020-06-09,371
88,2020-06-10,398
89,2020-06-11,449
90,2020-06-12,472
91,2020-06-13,486
92,2020-06-14,490
93,2020-06-15,506
94,2020-06-16,520
95,2020-06-17,563
96,2020-06-18,586
97,2020-06-19,623
98,2020-06-20,627
99,2020-06-21,635
100,2020-06-22,643
101,2020-06-23,674
102,2020-06-24,690
103,2020-06-25,706
104,2020-06-26,728
105,2020-06-27,745
106,2020-06-28,781
107,2020-06-29,795
108,2020-06-30,812
109,2020-07-01,840
110,2020-07-02,873
111,2020-07-03,909
112,2020-07-04,954
113,2020-07-05,988
114,2020-07-06,1011
115,2020-07-07,1056
116,2020-07-08,1138
117,2020-07-09,1213
118,2020-07-10,1257
119,2020-07-11,1311
120,2020-07-12,1351
121,2020-07-13,1389
122,2020-07-14,1434
123,2020-07-15,1489
124,2020-07-16,1552
125,2020-07-17,1619
126,2020-07-18,1729
127,2020-07-19,1793
128,2020-07-20,1826
129,2020-07-21,1894
130,2020-07-22,1938
131,2020-07-23,2021
132,2020-07-24,2073
133,2020-07-25,2142
134,2020-07-26,2207
135,2020-07-27,2316
136,2020-07-28,2404
137,2020-07-29,2551
138,2020-07-30,2577
139,2020-07-31,2648
140,2020-08-01,2706
141,2020-08-02,2775
142,2020-08-03,2838
143,2020-08-04,2856
144,2020-08-05,2909
145,2020-08-06,2968
146,2020-08-07,3036
147,2020-08-08,3128
148,2020-08-09,3236
