,Date,Cases
0,2020-02-01,1
1,2020-02-02,1
2,2020-02-03,1
3,2020-02-04,1
4,2020-02-05,1
5,2020-02-06,1
6,2020-02-07,1
7,2020-02-08,1
8,2020-02-09,1
9,2020-02-10,1
10,2020-02-11,1
11,2020-02-12,1
12,2020-02-13,1
13,2020-02-14,1
14,2020-02-15,1
15,2020-02-16,1
16,2020-02-17,1
17,2020-02-18,1
18,2020-02-19,1
19,2020-02-20,1
20,2020-02-21,1
21,2020-02-22,1
22,2020-02-23,1
23,2020-02-24,1
24,2020-02-25,1
25,2020-02-26,2
26,2020-02-27,3
27,2020-02-28,11
28,2020-02-29,14
29,2020-03-01,14
30,2020-03-02,19
31,2020-03-03,32
32,2020-03-04,62
33,2020-03-05,87
34,2020-03-06,146
35,2020-03-07,179
36,2020-03-08,225
37,2020-03-09,326
38,2020-03-10,424
39,2020-03-11,620
40,2020-03-12,771
41,2020-03-13,923
42,2020-03-14,994
43,2020-03-15,1063
44,2020-03-16,1146
45,2020-03-17,1265
46,2020-03-18,1410
47,2020-03-19,1553
48,2020-03-20,1733
49,2020-03-21,1868
50,2020-03-22,1986
51,2020-03-23,2168
52,2020-03-24,2398
53,2020-03-25,2712
54,2020-03-26,2998
55,2020-03-27,3363
56,2020-03-28,3663
57,2020-03-29,3943
58,2020-03-30,4359
59,2020-03-31,4834
60,2020-04-01,5320
61,2020-04-02,5874
62,2020-04-03,6475
63,2020-04-04,6832
64,2020-04-05,7172
65,2020-04-06,7561
66,2020-04-07,8299
67,2020-04-08,8954
68,2020-04-09,9599
69,2020-04-10,10053
70,2020-04-11,10448
71,2020-04-12,10912
72,2020-04-13,11349
73,2020-04-14,11828
74,2020-04-15,12432
75,2020-04-16,13055
76,2020-04-17,13743
77,2020-04-18,14275
78,2020-04-19,14663
79,2020-04-20,15124
80,2020-04-21,15831
81,2020-04-22,16553
82,2020-04-23,17311
83,2020-04-24,18090
84,2020-04-25,18563
85,2020-04-26,18863
86,2020-04-27,19426
87,2020-04-28,20168
88,2020-04-29,20966
89,2020-04-30,21601
90,2020-05-01,22133
91,2020-05-02,22432
92,2020-05-03,22693
93,2020-05-04,23169
94,2020-05-05,23826
95,2020-05-06,24572
96,2020-05-07,25359
97,2020-05-08,26059
98,2020-05-09,26568
99,2020-05-10,26846
100,2020-05-11,27301
101,2020-05-12,28055
102,2020-05-13,28755
103,2020-05-14,29415
104,2020-05-15,30103
105,2020-05-16,30461
106,2020-05-17,30720
107,2020-05-18,31151
108,2020-05-19,31818
109,2020-05-20,32626
110,2020-05-21,33236
111,2020-05-22,33768
112,2020-05-23,34171
113,2020-05-24,34381
114,2020-05-25,34871
115,2020-05-26,35617
116,2020-05-27,36417
117,2020-05-28,37191
118,2020-05-29,37964
119,2020-05-30,38396
120,2020-05-31,38661
121,2020-06-01,39309
122,2020-06-02,40210
123,2020-06-03,41256
124,2020-06-04,42295
125,2020-06-05,43441
126,2020-06-06,44224
127,2020-06-07,44686
128,2020-06-08,45363
129,2020-06-09,46299
130,2020-06-10,47736
131,2020-06-11,49030
132,2020-06-12,50367
133,2020-06-13,51409
134,2020-06-14,51827
135,2020-06-15,52511
136,2020-06-16,53729
137,2020-06-17,55186
138,2020-06-18,56682
139,2020-06-19,57895
140,2020-06-20,58597
141,2020-06-21,58918
142,2020-06-22,59718
143,2020-06-23,61030
144,2020-06-24,62728
145,2020-06-25,64009
146,2020-06-26,65212
147,2020-06-27,65972
148,2020-06-28,66392
