,Date,Cases
0,2020-02-25,1
1,2020-02-26,1
2,2020-02-27,8
3,2020-02-28,8
4,2020-02-29,18
5,2020-03-01,27
6,2020-03-02,42
7,2020-03-03,56
8,2020-03-04,90
9,2020-03-05,114
10,2020-03-06,214
11,2020-03-07,268
12,2020-03-08,337
13,2020-03-09,374
14,2020-03-10,491
15,2020-03-11,652
16,2020-03-12,652
17,2020-03-13,1139
18,2020-03-14,1359
19,2020-03-15,2200
20,2020-03-16,2200
21,2020-03-17,2700
22,2020-03-18,3028
23,2020-03-19,4075
24,2020-03-20,5294
25,2020-03-21,6575
26,2020-03-22,7474
27,2020-03-23,8795
28,2020-03-24,9877
29,2020-03-25,10897
30,2020-03-26,11811
31,2020-03-27,12928
32,2020-03-28,14076
33,2020-03-29,14829
34,2020-03-30,15922
35,2020-03-31,16605
36,2020-04-01,17768
37,2020-04-02,18827
38,2020-04-03,19606
39,2020-04-04,20505
40,2020-04-05,21100
41,2020-04-06,21657
42,2020-04-07,22253
43,2020-04-08,23280
44,2020-04-09,24051
45,2020-04-10,24551
46,2020-04-11,25107
47,2020-04-12,25415
48,2020-04-13,25688
49,2020-04-14,25936
50,2020-04-15,26336
51,2020-04-16,26732
52,2020-04-17,27078
53,2020-04-18,27404
54,2020-04-19,27740
55,2020-04-20,27944
56,2020-04-21,28063
57,2020-04-22,28268
58,2020-04-23,28496
59,2020-04-24,28677
60,2020-04-25,28894
61,2020-04-26,29061
62,2020-04-27,29164
63,2020-04-28,29264
64,2020-04-29,29407
65,2020-04-30,29586
66,2020-05-01,29705
67,2020-05-02,29817
68,2020-05-03,29905
69,2020-05-04,29981
70,2020-05-05,30009
71,2020-05-06,30060
72,2020-05-07,30126
73,2020-05-08,30207
74,2020-05-09,30251
75,2020-05-10,30305
76,2020-05-11,30344
77,2020-05-12,30380
78,2020-05-13,30413
79,2020-05-14,30463
80,2020-05-15,30514
81,2020-05-16,30572
82,2020-05-17,30587
83,2020-05-18,30597
84,2020-05-19,30618
85,2020-05-20,30658
86,2020-05-21,30694
87,2020-05-22,30707
88,2020-05-23,30725
89,2020-05-24,30736
90,2020-05-25,30746
91,2020-05-26,30761
92,2020-05-27,30776
93,2020-05-28,30796
94,2020-05-29,30828
95,2020-05-30,30845
96,2020-05-31,30862
97,2020-06-01,30871
98,2020-06-02,30874
99,2020-06-03,30893
100,2020-06-04,30913
101,2020-06-05,30936
102,2020-06-06,30956
103,2020-06-07,30965
104,2020-06-08,30972
105,2020-06-09,30988
106,2020-06-10,31011
107,2020-06-11,31044
108,2020-06-12,31063
109,2020-06-13,31094
110,2020-06-14,31117
111,2020-06-15,31131
112,2020-06-16,31154
113,2020-06-17,31187
114,2020-06-18,31200
115,2020-06-19,31235
116,2020-06-20,31243
117,2020-06-21,31292
118,2020-06-22,31310
119,2020-06-23,31332
120,2020-06-24,31376
121,2020-06-25,31428
122,2020-06-26,31486
123,2020-06-27,31555
124,2020-06-28,31617
125,2020-06-29,31652
126,2020-06-30,31714
127,2020-07-01,31851
128,2020-07-02,31967
129,2020-07-03,32101
130,2020-07-04,32198
131,2020-07-05,32268
132,2020-07-06,32315
133,2020-07-07,32369
134,2020-07-08,32498
135,2020-07-09,32586
136,2020-07-10,32690
137,2020-07-11,32817
138,2020-07-12,32883
139,2020-07-13,32946
140,2020-07-14,33016
141,2020-07-15,33148
142,2020-07-16,33290
143,2020-07-17,33382
144,2020-07-18,33492
145,2020-07-19,33591
146,2020-07-20,33634
147,2020-07-21,33742
148,2020-07-22,33883
149,2020-07-23,34000
150,2020-07-24,34154
151,2020-07-25,34302
152,2020-07-26,34412
153,2020-07-27,34477
154,2020-07-28,34609
155,2020-07-29,34802
156,2020-07-30,35022
157,2020-07-31,35232
158,2020-08-01,35412
159,2020-08-02,35550
160,2020-08-03,35616
161,2020-08-04,35746
162,2020-08-05,35927
163,2020-08-06,36108
164,2020-08-07,36269
165,2020-08-08,36451
166,2020-08-09,36603
167,2020-08-10,36708
168,2020-08-11,36895
169,2020-08-12,37169
170,2020-08-13,37403
171,2020-08-14,37671
172,2020-08-15,37924
173,2020-08-16,38124
174,2020-08-17,38252
175,2020-08-18,38449
176,2020-08-19,38760
177,2020-08-20,39026
178,2020-08-21,39332
179,2020-08-22,39627
180,2020-08-23,39903
181,2020-08-24,40060
182,2020-08-25,40262
183,2020-08-26,40645
184,2020-08-27,41006
185,2020-08-28,41346
186,2020-08-29,41722
187,2020-08-30,42014
188,2020-08-31,42177
189,2020-09-01,42393
190,2020-09-02,42763
191,2020-09-03,43127
192,2020-09-04,43532
193,2020-09-05,43957
194,2020-09-06,44401
195,2020-09-07,44592
196,2020-09-08,44837
197,2020-09-09,45306
198,2020-09-10,45711
199,2020-09-11,46239
200,2020-09-12,46704
201,2020-09-13,47179
202,2020-09-14,47436
203,2020-09-15,47751
204,2020-09-16,48265
205,2020-09-17,48795
206,2020-09-18,49283
207,2020-09-19,49283
208,2020-09-20,49283
209,2020-09-21,50378
210,2020-09-22,50664
211,2020-09-23,51101
212,2020-09-24,51492
213,2020-09-25,51864
214,2020-09-26,51864
215,2020-09-27,51864
216,2020-09-28,52646
217,2020-09-29,52871
218,2020-09-30,53282
219,2020-10-01,53832
220,2020-10-02,54384
221,2020-10-03,54384
222,2020-10-04,54384
223,2020-10-05,55932
224,2020-10-06,56632
225,2020-10-07,57709
226,2020-10-08,58881
227,2020-10-09,60368
228,2020-10-10,60368
229,2020-10-11,60368
230,2020-10-12,64436
