,Date,Cases
0,2020-03-22,1
1,2020-03-23,1
2,2020-03-24,1
3,2020-03-25,5
4,2020-03-26,5
5,2020-03-27,5
6,2020-03-28,5
7,2020-03-29,9
8,2020-03-30,10
9,2020-03-31,10
10,2020-04-01,10
11,2020-04-02,16
12,2020-04-03,16
13,2020-04-04,16
14,2020-04-05,19
15,2020-04-06,19
16,2020-04-07,19
17,2020-04-08,19
18,2020-04-09,19
19,2020-04-10,19
20,2020-04-11,25
21,2020-04-12,25
22,2020-04-13,25
23,2020-04-14,29
24,2020-04-15,33
25,2020-04-16,33
26,2020-04-17,38
27,2020-04-18,38
28,2020-04-19,39
29,2020-04-20,39
30,2020-04-21,42
31,2020-04-22,42
32,2020-04-23,42
33,2020-04-24,42
34,2020-04-25,42
35,2020-04-26,43
36,2020-04-27,43
37,2020-04-28,43
38,2020-04-29,43
39,2020-04-30,43
40,2020-05-01,44
41,2020-05-02,44
42,2020-05-03,44
43,2020-05-04,44
44,2020-05-05,44
45,2020-05-06,45
46,2020-05-07,45
47,2020-05-08,47
48,2020-05-09,47
49,2020-05-10,47
50,2020-05-11,47
51,2020-05-12,47
52,2020-05-13,48
53,2020-05-14,48
54,2020-05-15,50
55,2020-05-16,51
56,2020-05-17,58
57,2020-05-18,58
58,2020-05-19,58
59,2020-05-20,58
60,2020-05-21,58
61,2020-05-22,59
62,2020-05-23,70
63,2020-05-24,86
64,2020-05-25,106
65,2020-05-26,121
66,2020-05-27,121
67,2020-05-28,122
68,2020-05-29,122
69,2020-05-30,122
70,2020-05-31,122
71,2020-06-01,123
72,2020-06-02,123
73,2020-06-03,123
74,2020-06-04,124
75,2020-06-05,124
76,2020-06-06,125
77,2020-06-07,141
78,2020-06-08,144
79,2020-06-09,146
80,2020-06-10,152
81,2020-06-11,164
82,2020-06-12,164
83,2020-06-13,170
84,2020-06-14,177
85,2020-06-15,177
86,2020-06-16,177
87,2020-06-17,178
88,2020-06-18,187
89,2020-06-19,187
90,2020-06-20,198
91,2020-06-21,204
92,2020-06-22,219
93,2020-06-23,231
94,2020-06-24,231
95,2020-06-25,242
96,2020-06-26,255
97,2020-06-27,256
98,2020-06-28,256
99,2020-06-29,269
100,2020-06-30,279
101,2020-07-01,293
102,2020-07-02,312
103,2020-07-03,328
104,2020-07-04,338
105,2020-07-05,358
106,2020-07-06,372
107,2020-07-07,372
108,2020-07-08,372
109,2020-07-09,372
110,2020-07-10,394
111,2020-07-11,394
112,2020-07-12,394
113,2020-07-13,417
114,2020-07-14,439
115,2020-07-15,458
116,2020-07-16,477
117,2020-07-17,496
118,2020-07-18,496
119,2020-07-19,496
120,2020-07-20,522
121,2020-07-21,540
122,2020-07-22,561
123,2020-07-23,584
124,2020-07-24,608
125,2020-07-25,627
126,2020-07-26,650
127,2020-07-27,674
128,2020-07-28,694
129,2020-07-29,717
130,2020-07-30,738
131,2020-07-31,757
132,2020-08-01,780
133,2020-08-02,809
134,2020-08-03,847
135,2020-08-04,892
136,2020-08-05,944
137,2020-08-06,999
138,2020-08-07,1060
139,2020-08-08,1125
140,2020-08-09,1188
141,2020-08-10,1255
142,2020-08-11,1327
143,2020-08-12,1327
144,2020-08-13,1432
145,2020-08-14,1515
146,2020-08-15,1593
147,2020-08-16,1677
148,2020-08-17,1764
149,2020-08-18,1844
150,2020-08-19,1927
151,2020-08-20,2008
152,2020-08-21,2073
153,2020-08-22,2143
154,2020-08-23,2217
155,2020-08-24,2293
156,2020-08-25,2365
157,2020-08-26,2440
158,2020-08-27,2504
159,2020-08-28,2563
160,2020-08-29,2628
161,2020-08-30,2703
162,2020-08-31,2765
163,2020-09-01,2830
164,2020-09-02,2898
165,2020-09-03,2973
166,2020-09-04,3041
167,2020-09-05,3104
168,2020-09-06,3171
169,2020-09-07,3229
170,2020-09-08,3289
171,2020-09-09,3351
172,2020-09-10,3416
173,2020-09-11,3476
174,2020-09-12,3506
175,2020-09-13,3540
176,2020-09-14,3576
177,2020-09-15,3614
178,2020-09-16,3654
179,2020-09-17,3691
180,2020-09-18,3731
181,2020-09-19,3765
182,2020-09-20,3800
183,2020-09-21,3833
184,2020-09-22,3877
185,2020-09-23,3924
186,2020-09-24,3966
187,2020-09-25,4001
188,2020-09-26,4038
189,2020-09-27,4072
190,2020-09-28,4102
191,2020-09-29,4148
