,Date,Cases
0,2020-01-22,1
1,2020-01-23,1
2,2020-01-24,3
3,2020-01-25,3
4,2020-01-26,4
5,2020-01-27,5
6,2020-01-28,8
7,2020-01-29,8
8,2020-01-30,9
9,2020-01-31,10
10,2020-02-01,10
11,2020-02-02,10
12,2020-02-03,10
13,2020-02-04,11
14,2020-02-05,11
15,2020-02-06,16
16,2020-02-07,16
17,2020-02-08,17
18,2020-02-09,18
19,2020-02-10,18
20,2020-02-11,18
21,2020-02-12,18
22,2020-02-13,18
23,2020-02-14,18
24,2020-02-15,18
25,2020-02-16,20
26,2020-02-17,22
27,2020-02-18,22
28,2020-02-19,23
29,2020-02-20,24
30,2020-02-21,26
31,2020-02-22,26
32,2020-02-23,28
33,2020-02-24,30
34,2020-02-25,31
35,2020-02-26,32
36,2020-02-27,32
37,2020-02-28,34
38,2020-02-29,39
39,2020-03-01,40
40,2020-03-02,41
41,2020-03-03,42
42,2020-03-04,42
43,2020-03-05,44
44,2020-03-06,45
45,2020-03-07,45
46,2020-03-08,45
47,2020-03-09,45
48,2020-03-10,47
49,2020-03-11,48
50,2020-03-12,49
51,2020-03-13,50
52,2020-03-14,53
53,2020-03-15,59
54,2020-03-16,67
55,2020-03-17,77
56,2020-03-18,100
57,2020-03-19,108
58,2020-03-20,135
59,2020-03-21,153
60,2020-03-22,169
61,2020-03-23,195
62,2020-03-24,215
63,2020-03-25,235
64,2020-03-26,252
65,2020-03-27,267
66,2020-03-28,283
67,2020-03-29,298
68,2020-03-30,306
69,2020-03-31,322
70,2020-04-01,329
71,2020-04-02,339
72,2020-04-03,348
73,2020-04-04,355
74,2020-04-05,363
75,2020-04-06,373
76,2020-04-07,376
77,2020-04-08,379
78,2020-04-09,380
79,2020-04-10,382
80,2020-04-11,385
81,2020-04-12,388
82,2020-04-13,393
83,2020-04-14,393
84,2020-04-15,395
85,2020-04-16,395
86,2020-04-17,395
87,2020-04-18,398
88,2020-04-19,420
89,2020-04-20,422
90,2020-04-21,425
91,2020-04-22,426
92,2020-04-23,427
93,2020-04-24,428
94,2020-04-25,429
95,2020-04-26,429
96,2020-04-27,429
97,2020-04-28,429
98,2020-04-29,429
99,2020-04-30,429
100,2020-05-01,429
101,2020-05-02,432
102,2020-05-03,436
103,2020-05-04,438
104,2020-05-05,438
105,2020-05-06,439
106,2020-05-07,440
107,2020-05-08,440
108,2020-05-09,440
109,2020-05-10,440
110,2020-05-11,440
111,2020-05-12,440
112,2020-05-13,440
113,2020-05-14,440
114,2020-05-15,440
115,2020-05-16,440
116,2020-05-17,440
117,2020-05-18,440
118,2020-05-19,440
119,2020-05-20,440
120,2020-05-21,440
121,2020-05-22,441
122,2020-05-23,441
123,2020-05-24,441
124,2020-05-25,441
125,2020-05-26,441
126,2020-05-27,441
127,2020-05-28,441
128,2020-05-29,442
129,2020-05-30,442
130,2020-05-31,442
131,2020-06-01,443
132,2020-06-02,443
133,2020-06-03,443
134,2020-06-04,443
135,2020-06-05,443
136,2020-06-06,443
137,2020-06-07,443
138,2020-06-08,443
139,2020-06-09,443
140,2020-06-10,443
141,2020-06-11,443
142,2020-06-12,443
143,2020-06-13,443
144,2020-06-14,443
145,2020-06-15,445
146,2020-06-16,445
147,2020-06-17,445
148,2020-06-18,446
149,2020-06-19,446
150,2020-06-20,446
151,2020-06-21,446
152,2020-06-22,446
153,2020-06-23,446
154,2020-06-24,446
155,2020-06-25,447
156,2020-06-26,447
157,2020-06-27,447
158,2020-06-28,447
159,2020-06-29,447
160,2020-06-30,447
161,2020-07-01,447
162,2020-07-02,448
163,2020-07-03,449
164,2020-07-04,449
165,2020-07-05,449
166,2020-07-06,449
167,2020-07-07,449
168,2020-07-08,449
169,2020-07-09,449
170,2020-07-10,449
171,2020-07-11,451
172,2020-07-12,451
173,2020-07-13,451
174,2020-07-14,451
175,2020-07-15,451
176,2020-07-16,451
177,2020-07-17,451
178,2020-07-18,451
179,2020-07-19,451
180,2020-07-20,451
181,2020-07-21,451
182,2020-07-22,455
183,2020-07-23,455
184,2020-07-24,458
185,2020-07-25,458
186,2020-07-26,458
187,2020-07-27,462
188,2020-07-28,467
189,2020-07-29,467
190,2020-07-30,467
191,2020-07-31,467
192,2020-08-01,474
193,2020-08-02,475
194,2020-08-03,474
195,2020-08-04,476
196,2020-08-05,476
197,2020-08-06,477
198,2020-08-07,477
199,2020-08-08,479
200,2020-08-09,477
201,2020-08-10,477
202,2020-08-11,480
203,2020-08-12,481
204,2020-08-13,481
205,2020-08-14,481
206,2020-08-15,482
207,2020-08-16,484
208,2020-08-17,485
209,2020-08-18,486
210,2020-08-19,486
211,2020-08-20,486
212,2020-08-21,487
213,2020-08-22,487
214,2020-08-23,487
215,2020-08-24,487
216,2020-08-25,487
217,2020-08-26,487
218,2020-08-27,487
219,2020-08-28,487
220,2020-08-29,488
221,2020-08-30,488
222,2020-08-31,488
223,2020-09-01,488
224,2020-09-02,489
225,2020-09-03,489
226,2020-09-04,490
227,2020-09-05,492
228,2020-09-06,493
229,2020-09-07,494
230,2020-09-08,495
231,2020-09-09,495
232,2020-09-10,496
233,2020-09-11,498
234,2020-09-12,498
235,2020-09-13,498
236,2020-09-14,499
237,2020-09-15,499
