,Date,Cases
0,2020-03-16,1
1,2020-03-17,1
2,2020-03-18,3
3,2020-03-19,6
4,2020-03-20,6
5,2020-03-21,6
6,2020-03-22,12
7,2020-03-23,12
8,2020-03-24,12
9,2020-03-25,12
10,2020-03-26,13
11,2020-03-27,13
12,2020-03-28,14
13,2020-03-29,14
14,2020-03-30,19
15,2020-03-31,19
16,2020-04-01,20
17,2020-04-02,20
18,2020-04-03,20
19,2020-04-04,20
20,2020-04-05,22
21,2020-04-06,24
22,2020-04-07,24
23,2020-04-08,25
24,2020-04-09,25
25,2020-04-10,32
26,2020-04-11,32
27,2020-04-12,32
28,2020-04-13,49
29,2020-04-14,53
30,2020-04-15,88
31,2020-04-16,94
32,2020-04-17,147
33,2020-04-18,147
34,2020-04-19,170
35,2020-04-20,254
36,2020-04-21,254
37,2020-04-22,284
38,2020-04-23,284
39,2020-04-24,299
40,2020-04-25,299
41,2020-04-26,299
42,2020-04-27,299
43,2020-04-28,299
44,2020-04-29,480
45,2020-04-30,480
46,2020-05-01,480
47,2020-05-02,480
48,2020-05-03,480
49,2020-05-04,480
50,2020-05-05,480
51,2020-05-06,480
52,2020-05-07,480
53,2020-05-08,509
54,2020-05-09,509
55,2020-05-10,509
56,2020-05-11,509
57,2020-05-12,509
58,2020-05-13,509
59,2020-05-14,509
60,2020-05-15,509
61,2020-05-16,509
62,2020-05-17,509
63,2020-05-18,509
64,2020-05-19,509
65,2020-05-20,509
66,2020-05-21,509
67,2020-05-22,509
68,2020-05-23,509
69,2020-05-24,509
70,2020-05-25,509
71,2020-05-26,509
72,2020-05-27,509
73,2020-05-28,509
74,2020-05-29,509
75,2020-05-30,509
76,2020-05-31,509
77,2020-06-01,509
78,2020-06-02,509
79,2020-06-03,509
80,2020-06-04,509
81,2020-06-05,509
82,2020-06-06,509
83,2020-06-07,509
84,2020-06-08,509
85,2020-06-09,509
86,2020-06-10,509
87,2020-06-11,509
88,2020-06-12,509
89,2020-06-13,509
90,2020-06-14,509
91,2020-06-15,509
92,2020-06-16,509
93,2020-06-17,509
94,2020-06-18,509
95,2020-06-19,509
96,2020-06-20,509
97,2020-06-21,509
98,2020-06-22,509
99,2020-06-23,509
100,2020-06-24,509
101,2020-06-25,509
102,2020-06-26,509
103,2020-06-27,509
104,2020-06-28,509
105,2020-06-29,509
106,2020-06-30,509
107,2020-07-01,509
108,2020-07-02,509
109,2020-07-03,509
110,2020-07-04,509
111,2020-07-05,509
112,2020-07-06,509
113,2020-07-07,509
114,2020-07-08,509
115,2020-07-09,509
116,2020-07-10,509
117,2020-07-11,509
118,2020-07-12,509
119,2020-07-13,509
120,2020-07-14,509
121,2020-07-15,509
122,2020-07-16,509
123,2020-07-17,509
124,2020-07-18,509
125,2020-07-19,509
126,2020-07-20,509
127,2020-07-21,509
128,2020-07-22,509
129,2020-07-23,509
130,2020-07-24,509
131,2020-07-25,509
132,2020-07-26,509
133,2020-07-27,509
134,2020-07-28,509
135,2020-07-29,509
136,2020-07-30,509
137,2020-07-31,509
138,2020-08-01,509
139,2020-08-02,509
140,2020-08-03,509
141,2020-08-04,509
142,2020-08-05,509
143,2020-08-06,509
144,2020-08-07,509
145,2020-08-08,509
146,2020-08-09,509
147,2020-08-10,509
148,2020-08-11,509
149,2020-08-12,509
150,2020-08-13,509
151,2020-08-14,509
152,2020-08-15,509
153,2020-08-16,509
154,2020-08-17,509
155,2020-08-18,509
156,2020-08-19,509
157,2020-08-20,509
158,2020-08-21,509
159,2020-08-22,509
160,2020-08-23,509
161,2020-08-24,509
162,2020-08-25,509
163,2020-08-26,509
164,2020-08-27,509
165,2020-08-28,509
166,2020-08-29,509
167,2020-08-30,509
168,2020-08-31,509
169,2020-09-01,509
170,2020-09-02,509
171,2020-09-03,509
172,2020-09-04,509
173,2020-09-05,509
174,2020-09-06,509
175,2020-09-07,509
176,2020-09-08,509
177,2020-09-09,509
178,2020-09-10,509
179,2020-09-11,509
180,2020-09-12,509
181,2020-09-13,509
182,2020-09-14,509
183,2020-09-15,509
184,2020-09-16,509
185,2020-09-17,509
186,2020-09-18,509
187,2020-09-19,509
188,2020-09-20,509
189,2020-09-21,509
190,2020-09-22,509
191,2020-09-23,509
192,2020-09-24,509
193,2020-09-25,509
194,2020-09-26,509
195,2020-09-27,509
196,2020-09-28,509
197,2020-09-29,509
198,2020-09-30,509
199,2020-10-01,509
200,2020-10-02,509
201,2020-10-03,509
202,2020-10-04,509
203,2020-10-05,509
204,2020-10-06,509
205,2020-10-07,509
206,2020-10-08,509
207,2020-10-09,509
208,2020-10-10,509
209,2020-10-11,509
210,2020-10-12,509
211,2020-10-13,509
212,2020-10-14,509
213,2020-10-15,509
214,2020-10-16,509
215,2020-10-17,509
216,2020-10-18,509
217,2020-10-19,509
218,2020-10-20,509
219,2020-10-21,509
220,2020-10-22,509
221,2020-10-23,509
222,2020-10-24,509
223,2020-10-25,509
224,2020-10-26,509
225,2020-10-27,509
226,2020-10-28,509
227,2020-10-29,509
