,Date,Cases
0,2020-01-22,4
1,2020-01-23,4
2,2020-01-24,5
3,2020-01-25,6
4,2020-01-26,8
5,2020-01-27,8
6,2020-01-28,14
7,2020-01-29,14
8,2020-01-30,14
9,2020-01-31,19
10,2020-02-01,19
11,2020-02-02,19
12,2020-02-03,19
13,2020-02-04,25
14,2020-02-05,25
15,2020-02-06,25
16,2020-02-07,25
17,2020-02-08,32
18,2020-02-09,32
19,2020-02-10,32
20,2020-02-11,33
21,2020-02-12,33
22,2020-02-13,33
23,2020-02-14,33
24,2020-02-15,34
25,2020-02-16,34
26,2020-02-17,35
27,2020-02-18,35
28,2020-02-19,35
29,2020-02-20,35
30,2020-02-21,35
31,2020-02-22,35
32,2020-02-23,35
33,2020-02-24,35
34,2020-02-25,37
35,2020-02-26,40
36,2020-02-27,40
37,2020-02-28,41
38,2020-02-29,42
39,2020-03-01,42
40,2020-03-02,43
41,2020-03-03,43
42,2020-03-04,43
43,2020-03-05,47
44,2020-03-06,48
45,2020-03-07,50
46,2020-03-08,50
47,2020-03-09,50
48,2020-03-10,53
49,2020-03-11,59
50,2020-03-12,70
51,2020-03-13,75
52,2020-03-14,82
53,2020-03-15,114
54,2020-03-16,147
55,2020-03-17,177
56,2020-03-18,212
57,2020-03-19,272
58,2020-03-20,322
59,2020-03-21,411
60,2020-03-22,599
61,2020-03-23,721
62,2020-03-24,827
63,2020-03-25,934
64,2020-03-26,1045
65,2020-03-27,1136
66,2020-03-28,1245
67,2020-03-29,1388
68,2020-03-30,1524
69,2020-03-31,1651
70,2020-04-01,1771
71,2020-04-02,1875
72,2020-04-03,1978
73,2020-04-04,2067
74,2020-04-05,2169
75,2020-04-06,2220
76,2020-04-07,2258
77,2020-04-08,2369
78,2020-04-09,2423
79,2020-04-10,2473
80,2020-04-11,2518
81,2020-04-12,2551
82,2020-04-13,2579
83,2020-04-14,2613
84,2020-04-15,2643
85,2020-04-16,2672
86,2020-04-17,2700
87,2020-04-18,2733
88,2020-04-19,2765
89,2020-04-20,2792
90,2020-04-21,2811
91,2020-04-22,2826
92,2020-04-23,2839
93,2020-04-24,2854
94,2020-04-25,2907
95,2020-04-26,2922
96,2020-04-27,2931
97,2020-04-28,2938
98,2020-04-29,2947
99,2020-04-30,2954
100,2020-05-01,2960
101,2020-05-02,2966
102,2020-05-03,2969
103,2020-05-04,2987
104,2020-05-05,2988
105,2020-05-06,2989
106,2020-05-07,2992
107,2020-05-08,3000
108,2020-05-09,3004
109,2020-05-10,3009
110,2020-05-11,3015
111,2020-05-12,3017
112,2020-05-13,3017
113,2020-05-14,3018
114,2020-05-15,3025
115,2020-05-16,3025
116,2020-05-17,3028
117,2020-05-18,3031
118,2020-05-19,3033
119,2020-05-20,3034
120,2020-05-21,3037
121,2020-05-22,3037
122,2020-05-23,3040
123,2020-05-24,3040
124,2020-05-25,3042
125,2020-05-26,3045
126,2020-05-27,3054
127,2020-05-28,3065
128,2020-05-29,3076
129,2020-05-30,3077
130,2020-05-31,3081
131,2020-06-01,3082
132,2020-06-02,3083
133,2020-06-03,3084
134,2020-06-04,3101
135,2020-06-05,3102
136,2020-06-06,3104
137,2020-06-07,3112
138,2020-06-08,3119
139,2020-06-09,3121
140,2020-06-10,3125
141,2020-06-11,3125
142,2020-06-12,3129
143,2020-06-13,3134
144,2020-06-14,3135
145,2020-06-15,3135
146,2020-06-16,3135
147,2020-06-17,3135
148,2020-06-18,3141
149,2020-06-19,3146
150,2020-06-20,3147
151,2020-06-21,3148
152,2020-06-22,3151
153,2020-06-23,3156
154,2020-06-24,3157
155,2020-06-25,3158
156,2020-06-26,3162
157,2020-06-27,3162
158,2020-06-28,3162
159,2020-06-29,3169
160,2020-06-30,3171
161,2020-07-01,3173
162,2020-07-02,3179
163,2020-07-03,3180
164,2020-07-04,3185
165,2020-07-05,3190
166,2020-07-06,3195
167,2020-07-07,3195
168,2020-07-08,3197
169,2020-07-09,3202
170,2020-07-10,3202
171,2020-07-11,3216
172,2020-07-12,3217
173,2020-07-13,3220
174,2020-07-14,3227
175,2020-07-15,3232
176,2020-07-16,3236
177,2020-07-17,3239
178,2020-07-18,3246
179,2020-07-19,3249
180,2020-07-20,3250
181,2020-07-21,3255
182,2020-07-22,3253
183,2020-07-23,3269
184,2020-07-24,3279
185,2020-07-25,3282
186,2020-07-26,3291
187,2020-07-27,3295
188,2020-07-28,3297
189,2020-07-29,3298
190,2020-07-30,3304
191,2020-07-31,3310
192,2020-08-01,3312
193,2020-08-02,3317
194,2020-08-03,3320
195,2020-08-04,3321
196,2020-08-05,3328
197,2020-08-06,3330
198,2020-08-07,3345
199,2020-08-08,3348
200,2020-08-09,3351
201,2020-08-10,3351
202,2020-08-11,3351
203,2020-08-12,3356
204,2020-08-13,3359
205,2020-08-14,3376
206,2020-08-15,3376
207,2020-08-16,3377
208,2020-08-17,3378
209,2020-08-18,3381
210,2020-08-19,3382
211,2020-08-20,3389
212,2020-08-21,3390
213,2020-08-22,3390
214,2020-08-23,3395
215,2020-08-24,3397
216,2020-08-25,3402
217,2020-08-26,3403
218,2020-08-27,3404
219,2020-08-28,3410
220,2020-08-29,3411
221,2020-08-30,3411
222,2020-08-31,3412
223,2020-09-01,3417
224,2020-09-02,3425
225,2020-09-03,3427
226,2020-09-04,3431
227,2020-09-05,3438
228,2020-09-06,3444
229,2020-09-07,3445
230,2020-09-08,3446
231,2020-09-09,3447
232,2020-09-10,3454
233,2020-09-11,3461
234,2020-09-12,3466
235,2020-09-13,3473
236,2020-09-14,3475
237,2020-09-15,3480
238,2020-09-16,3490
239,2020-09-17,3490
240,2020-09-18,3497
241,2020-09-19,3500
242,2020-09-20,3506
243,2020-09-21,3511
244,2020-09-22,3514
245,2020-09-23,3516
246,2020-09-24,3519
247,2020-09-25,3522
248,2020-09-26,3523
249,2020-09-27,3545
250,2020-09-28,3559
251,2020-09-29,3564
252,2020-09-30,3569
253,2020-10-01,3575
254,2020-10-02,3583
255,2020-10-03,3585
256,2020-10-04,3590
257,2020-10-05,3600
258,2020-10-06,3615
259,2020-10-07,3622
260,2020-10-08,3628
261,2020-10-09,3634
262,2020-10-10,3636
263,2020-10-11,3641
264,2020-10-12,3643
265,2020-10-13,3652
266,2020-10-14,3665
267,2020-10-15,3675
268,2020-10-16,3686
269,2020-10-17,3679
270,2020-10-18,3691
271,2020-10-19,3700
272,2020-10-20,3709
273,2020-10-21,3719
274,2020-10-22,3727
275,2020-10-23,3731
276,2020-10-24,3736
277,2020-10-25,3743
278,2020-10-26,3746
279,2020-10-27,3759
280,2020-10-28,3763
281,2020-10-29,3775
282,2020-10-30,3780
283,2020-10-31,3784
284,2020-11-01,3787
285,2020-11-02,3797
286,2020-11-03,3804
287,2020-11-04,3810
288,2020-11-05,3818
289,2020-11-06,3830
290,2020-11-07,3837
291,2020-11-08,3840
292,2020-11-09,3844
293,2020-11-10,3847
294,2020-11-11,3852
295,2020-11-12,3861
296,2020-11-13,3866
297,2020-11-14,3874
298,2020-11-15,3875
299,2020-11-16,3878
300,2020-11-17,3880
301,2020-11-18,3888
302,2020-11-19,3892
303,2020-11-20,3899
304,2020-11-21,3922
305,2020-11-22,3920
306,2020-11-23,3910
307,2020-11-24,3926
308,2020-11-25,3942
309,2020-11-26,3961
310,2020-11-27,3966
311,2020-11-28,3977
312,2020-11-29,3998
313,2020-11-30,4008
314,2020-12-01,4026
315,2020-12-02,4039
316,2020-12-03,4053
317,2020-12-04,4072
318,2020-12-05,4086
319,2020-12-06,4107
320,2020-12-07,4126
321,2020-12-08,4151
322,2020-12-09,4169
323,2020-12-10,4180
324,2020-12-11,4192
325,2020-12-12,4209
326,2020-12-13,4237
327,2020-12-14,4246
328,2020-12-15,4261
329,2020-12-16,4281
330,2020-12-17,4297
331,2020-12-18,4331
332,2020-12-19,4907
333,2020-12-20,5289
334,2020-12-21,5716
335,2020-12-22,5762
336,2020-12-23,5829
337,2020-12-24,5910
338,2020-12-25,6020
339,2020-12-26,6141
340,2020-12-27,6285
341,2020-12-28,6440
342,2020-12-29,6690
343,2020-12-30,6884
344,2020-12-31,7163
345,2021-01-01,7379
346,2021-01-02,7694
347,2021-01-03,8439
348,2021-01-04,8966
349,2021-01-05,9331
350,2021-01-06,9636
351,2021-01-07,9841
352,2021-01-08,10053
353,2021-01-09,10298
354,2021-01-10,10547
355,2021-01-11,10834
356,2021-01-12,10991
357,2021-01-13,10991
358,2021-01-14,11450
359,2021-01-15,11680
360,2021-01-16,12054
361,2021-01-17,12423
362,2021-01-18,12594
363,2021-01-19,12653
364,2021-01-20,12795
365,2021-01-21,12795
366,2021-01-22,13104
367,2021-01-23,13302
368,2021-01-24,13500
369,2021-01-25,14646
370,2021-01-26,14646
371,2021-01-27,15465
372,2021-01-28,16221
