,Date,Cases
0,2020-03-22,1
1,2020-03-23,1
2,2020-03-24,1
3,2020-03-25,1
4,2020-03-26,1
5,2020-03-27,1
6,2020-03-28,1
7,2020-03-29,1
8,2020-03-30,1
9,2020-03-31,1
10,2020-04-01,1
11,2020-04-02,1
12,2020-04-03,1
13,2020-04-04,1
14,2020-04-05,1
15,2020-04-06,1
16,2020-04-07,1
17,2020-04-08,1
18,2020-04-09,1
19,2020-04-10,2
20,2020-04-11,2
21,2020-04-12,2
22,2020-04-13,4
23,2020-04-14,6
24,2020-04-15,8
25,2020-04-16,18
26,2020-04-17,18
27,2020-04-18,18
28,2020-04-19,19
29,2020-04-20,22
30,2020-04-21,23
31,2020-04-22,23
32,2020-04-23,23
33,2020-04-24,24
34,2020-04-25,24
35,2020-04-26,24
36,2020-04-27,24
37,2020-04-28,24
38,2020-04-29,24
39,2020-04-30,24
40,2020-05-01,24
41,2020-05-02,24
42,2020-05-03,24
43,2020-05-04,24
44,2020-05-05,24
45,2020-05-06,24
46,2020-05-07,24
47,2020-05-08,24
48,2020-05-09,24
49,2020-05-10,24
50,2020-05-11,24
51,2020-05-12,24
52,2020-05-13,24
53,2020-05-14,24
54,2020-05-15,24
55,2020-05-16,24
56,2020-05-17,24
57,2020-05-18,24
58,2020-05-19,24
59,2020-05-20,24
60,2020-05-21,24
61,2020-05-22,24
62,2020-05-23,24
63,2020-05-24,24
64,2020-05-25,24
65,2020-05-26,24
66,2020-05-27,24
67,2020-05-28,24
68,2020-05-29,24
69,2020-05-30,24
70,2020-05-31,24
71,2020-06-01,24
72,2020-06-02,24
73,2020-06-03,24
74,2020-06-04,24
75,2020-06-05,24
76,2020-06-06,24
77,2020-06-07,24
78,2020-06-08,24
79,2020-06-09,24
80,2020-06-10,24
81,2020-06-11,24
82,2020-06-12,24
83,2020-06-13,24
84,2020-06-14,24
85,2020-06-15,24
86,2020-06-16,24
87,2020-06-17,24
88,2020-06-18,24
89,2020-06-19,24
90,2020-06-20,24
91,2020-06-21,24
92,2020-06-22,24
93,2020-06-23,24
94,2020-06-24,24
95,2020-06-25,24
96,2020-06-26,24
97,2020-06-27,24
98,2020-06-28,24
99,2020-06-29,24
100,2020-06-30,24
101,2020-07-01,24
102,2020-07-02,24
103,2020-07-03,24
104,2020-07-04,24
105,2020-07-05,24
106,2020-07-06,24
107,2020-07-07,24
108,2020-07-08,24
109,2020-07-09,24
110,2020-07-10,24
111,2020-07-11,24
112,2020-07-12,24
113,2020-07-13,24
114,2020-07-14,24
115,2020-07-15,24
116,2020-07-16,24
117,2020-07-17,24
118,2020-07-18,24
119,2020-07-19,24
120,2020-07-20,24
121,2020-07-21,24
122,2020-07-22,24
123,2020-07-23,24
124,2020-07-24,24
125,2020-07-25,24
126,2020-07-26,24
127,2020-07-27,24
128,2020-07-28,24
129,2020-07-29,24
130,2020-07-30,24
131,2020-07-31,24
132,2020-08-01,24
133,2020-08-02,24
134,2020-08-03,24
135,2020-08-04,25
136,2020-08-05,25
137,2020-08-06,25
138,2020-08-07,25
139,2020-08-08,25
140,2020-08-09,25
141,2020-08-10,25
142,2020-08-11,25
143,2020-08-12,25
144,2020-08-13,25
145,2020-08-14,25
146,2020-08-15,25
147,2020-08-16,25
148,2020-08-17,25
149,2020-08-18,25
150,2020-08-19,25
151,2020-08-20,25
152,2020-08-21,25
153,2020-08-22,26
154,2020-08-23,26
155,2020-08-24,26
156,2020-08-25,26
157,2020-08-26,26
158,2020-08-27,27
159,2020-08-28,27
160,2020-08-29,27
161,2020-08-30,27
162,2020-08-31,27
163,2020-09-01,27
164,2020-09-02,27
165,2020-09-03,27
166,2020-09-04,27
167,2020-09-05,27
168,2020-09-06,27
169,2020-09-07,27
170,2020-09-08,27
171,2020-09-09,27
172,2020-09-10,27
173,2020-09-11,27
174,2020-09-12,27
175,2020-09-13,27
176,2020-09-14,27
177,2020-09-15,27
178,2020-09-16,27
179,2020-09-17,27
180,2020-09-18,27
181,2020-09-19,27
182,2020-09-20,27
183,2020-09-21,27
184,2020-09-22,27
185,2020-09-23,27
186,2020-09-24,27
187,2020-09-25,27
188,2020-09-26,27
189,2020-09-27,27
190,2020-09-28,27
191,2020-09-29,28
192,2020-09-30,28
193,2020-10-01,28
194,2020-10-02,28
195,2020-10-03,28
196,2020-10-04,28
