,Date,Cases
0,2020-03-14,2
1,2020-03-15,2
2,2020-03-16,4
3,2020-03-17,5
4,2020-03-18,7
5,2020-03-19,9
6,2020-03-20,9
7,2020-03-21,49
8,2020-03-22,50
9,2020-03-23,51
10,2020-03-24,57
11,2020-03-25,60
12,2020-03-26,65
13,2020-03-27,66
14,2020-03-28,74
15,2020-03-29,78
16,2020-03-30,82
17,2020-03-31,87
18,2020-04-01,90
19,2020-04-02,94
20,2020-04-03,98
21,2020-04-04,103
22,2020-04-05,104
23,2020-04-06,105
24,2020-04-07,107
25,2020-04-08,107
26,2020-04-09,109
27,2020-04-10,109
28,2020-04-11,112
29,2020-04-12,113
30,2020-04-13,113
31,2020-04-14,113
32,2020-04-15,114
33,2020-04-16,114
34,2020-04-17,114
35,2020-04-18,114
36,2020-04-19,114
37,2020-04-20,114
38,2020-04-21,115
39,2020-04-22,115
40,2020-04-23,115
41,2020-04-24,115
42,2020-04-25,115
43,2020-04-26,115
44,2020-04-27,116
45,2020-04-28,116
46,2020-04-29,116
47,2020-04-30,116
48,2020-05-01,116
49,2020-05-02,116
50,2020-05-03,116
51,2020-05-04,116
52,2020-05-05,116
53,2020-05-06,116
54,2020-05-07,116
55,2020-05-08,116
56,2020-05-09,116
57,2020-05-10,116
58,2020-05-11,116
59,2020-05-12,116
60,2020-05-13,116
61,2020-05-14,116
62,2020-05-15,116
63,2020-05-16,116
64,2020-05-17,116
65,2020-05-18,116
66,2020-05-19,116
67,2020-05-20,116
68,2020-05-21,116
69,2020-05-22,116
70,2020-05-23,116
71,2020-05-24,116
72,2020-05-25,116
73,2020-05-26,116
74,2020-05-27,116
75,2020-05-28,116
76,2020-05-29,116
77,2020-05-30,117
78,2020-05-31,117
79,2020-06-01,117
80,2020-06-02,117
81,2020-06-03,117
82,2020-06-04,117
83,2020-06-05,117
84,2020-06-06,117
85,2020-06-07,117
86,2020-06-08,117
87,2020-06-09,117
88,2020-06-10,117
89,2020-06-11,117
90,2020-06-12,117
91,2020-06-13,117
92,2020-06-14,123
93,2020-06-15,123
94,2020-06-16,123
95,2020-06-17,123
96,2020-06-18,123
97,2020-06-19,123
98,2020-06-20,123
99,2020-06-21,123
100,2020-06-22,123
101,2020-06-23,123
102,2020-06-24,123
103,2020-06-25,123
104,2020-06-26,124
105,2020-06-27,126
106,2020-06-28,126
107,2020-06-29,126
108,2020-06-30,130
109,2020-07-01,130
110,2020-07-02,130
111,2020-07-03,130
112,2020-07-04,130
113,2020-07-05,133
114,2020-07-06,133
115,2020-07-07,133
116,2020-07-08,133
117,2020-07-09,133
118,2020-07-10,133
119,2020-07-11,133
120,2020-07-12,133
121,2020-07-13,133
122,2020-07-14,133
123,2020-07-15,133
124,2020-07-16,133
125,2020-07-17,136
126,2020-07-18,137
127,2020-07-19,137
128,2020-07-20,137
129,2020-07-21,139
130,2020-07-22,141
131,2020-07-23,141
132,2020-07-24,142
133,2020-07-25,147
134,2020-07-26,147
135,2020-07-27,148
136,2020-07-28,153
137,2020-07-29,156
138,2020-07-30,164
139,2020-07-31,169
140,2020-08-01,173
141,2020-08-02,182
142,2020-08-03,182
143,2020-08-04,194
144,2020-08-05,199
145,2020-08-06,210
146,2020-08-07,225
147,2020-08-08,275
148,2020-08-09,279
149,2020-08-10,281
150,2020-08-11,300
151,2020-08-12,326
152,2020-08-13,404
153,2020-08-14,426
154,2020-08-15,497
155,2020-08-16,552
156,2020-08-17,588
157,2020-08-18,629
158,2020-08-19,686
159,2020-08-20,767
160,2020-08-21,864
161,2020-08-22,930
162,2020-08-23,1007
163,2020-08-24,1099
164,2020-08-25,1252
165,2020-08-26,1411
166,2020-08-27,1429
167,2020-08-28,1554
168,2020-08-29,1645
169,2020-08-30,1683
170,2020-08-31,1759
171,2020-09-01,1797
172,2020-09-02,1920
173,2020-09-03,1984
174,2020-09-04,2040
175,2020-09-05,2230
176,2020-09-06,2250
177,2020-09-07,2277
178,2020-09-08,2391
179,2020-09-09,2588
180,2020-09-10,2698
181,2020-09-11,2825
182,2020-09-12,2993
183,2020-09-13,3042
184,2020-09-14,3141
185,2020-09-15,3223
186,2020-09-16,3327
187,2020-09-17,3434
188,2020-09-18,3651
189,2020-09-19,3853
190,2020-09-20,3901
191,2020-09-21,3945
192,2020-09-22,4026
193,2020-09-23,4136
194,2020-09-24,4235
195,2020-09-25,4277
196,2020-09-26,4312
197,2020-09-27,4362
198,2020-09-28,4386
199,2020-09-29,4463
200,2020-09-30,4531
201,2020-10-01,4570
202,2020-10-02,4629
203,2020-10-03,4715
204,2020-10-04,4763
205,2020-10-05,4767
206,2020-10-06,4846
207,2020-10-07,4887
208,2020-10-08,4963
209,2020-10-09,5021
210,2020-10-10,5043
211,2020-10-11,5043
212,2020-10-12,5116
213,2020-10-13,5127
214,2020-10-14,5154
215,2020-10-15,5194
216,2020-10-16,5241
217,2020-10-17,5281
218,2020-10-18,5297
219,2020-10-19,5298
220,2020-10-20,5333
221,2020-10-21,5392
222,2020-10-22,5446
223,2020-10-23,5487
224,2020-10-24,5503
225,2020-10-25,5511
226,2020-10-26,5535
227,2020-10-27,5568
228,2020-10-28,5594
229,2020-10-29,5636
230,2020-10-30,5668
231,2020-10-31,5692
232,2020-11-01,5704
233,2020-11-02,5704
234,2020-11-03,5754
235,2020-11-04,5764
236,2020-11-05,5774
237,2020-11-06,5798
238,2020-11-07,5838
239,2020-11-08,5849
240,2020-11-09,5849
241,2020-11-10,5880
242,2020-11-11,5904
243,2020-11-12,5930
244,2020-11-13,5980
245,2020-11-14,6077
246,2020-11-15,6080
247,2020-11-16,6096
248,2020-11-17,6135
249,2020-11-18,6180
250,2020-11-19,6233
251,2020-11-20,6261
252,2020-11-21,6324
253,2020-11-22,6450
254,2020-11-23,6475
255,2020-11-24,6488
256,2020-11-25,6503
257,2020-11-26,6570
258,2020-11-27,6586
259,2020-11-28,6630
260,2020-11-29,6660
261,2020-11-30,6669
262,2020-12-01,6685
263,2020-12-02,6704
264,2020-12-03,6725
265,2020-12-04,6735
266,2020-12-05,6751
267,2020-12-06,6767
268,2020-12-07,6775
269,2020-12-08,6782
270,2020-12-09,6808
271,2020-12-10,6833
272,2020-12-11,6852
273,2020-12-12,6864
274,2020-12-13,6879
275,2020-12-14,6885
276,2020-12-15,6900
277,2020-12-16,6917
278,2020-12-17,6940
279,2020-12-18,6955
280,2020-12-19,6974
281,2020-12-20,7000
282,2020-12-21,7012
283,2020-12-22,7024
284,2020-12-23,7071
285,2020-12-24,7089
286,2020-12-25,7097
287,2020-12-26,7104
288,2020-12-27,7112
289,2020-12-28,7115
290,2020-12-29,7127
291,2020-12-30,7132
292,2020-12-31,7150
293,2021-01-01,7158
294,2021-01-02,7162
295,2021-01-03,7168
296,2021-01-04,7178
297,2021-01-05,7186
298,2021-01-06,7196
299,2021-01-07,7210
300,2021-01-08,7219
301,2021-01-09,7244
302,2021-01-10,7265
303,2021-01-11,7273
304,2021-01-12,7286
305,2021-01-13,7305
306,2021-01-14,7320
307,2021-01-15,7343
308,2021-01-16,7370
309,2021-01-17,7393
310,2021-01-18,7399
311,2021-01-19,7415
312,2021-01-20,7430
313,2021-01-21,7450
314,2021-01-22,7456
315,2021-01-23,7462
316,2021-01-24,7473
317,2021-01-25,7490
318,2021-01-26,7496
319,2021-01-27,7509
320,2021-01-28,7520
