,Date,Cases
0,2020-03-04,1
1,2020-03-05,1
2,2020-03-06,1
3,2020-03-07,1
4,2020-03-08,2
5,2020-03-09,2
6,2020-03-10,5
7,2020-03-11,7
8,2020-03-12,7
9,2020-03-13,16
10,2020-03-14,18
11,2020-03-15,18
12,2020-03-16,20
13,2020-03-17,24
14,2020-03-18,29
15,2020-03-19,39
16,2020-03-20,54
17,2020-03-21,60
18,2020-03-22,75
19,2020-03-23,89
20,2020-03-24,114
21,2020-03-25,173
22,2020-03-26,197
23,2020-03-27,227
24,2020-03-28,278
25,2020-03-29,312
26,2020-03-30,312
27,2020-03-31,394
28,2020-04-01,423
29,2020-04-02,455
30,2020-04-03,495
31,2020-04-04,553
32,2020-04-05,574
33,2020-04-06,596
34,2020-04-07,623
35,2020-04-08,628
36,2020-04-09,643
37,2020-04-10,671
38,2020-04-11,685
39,2020-04-12,707
40,2020-04-13,726
41,2020-04-14,747
42,2020-04-15,780
43,2020-04-16,822
44,2020-04-17,864
45,2020-04-18,864
46,2020-04-19,879
47,2020-04-20,884
48,2020-04-21,884
49,2020-04-22,909
50,2020-04-23,918
51,2020-04-24,922
52,2020-04-25,939
53,2020-04-26,949
54,2020-04-27,967
55,2020-04-28,975
56,2020-04-29,980
57,2020-04-30,994
58,2020-05-01,998
59,2020-05-02,1009
60,2020-05-03,1013
61,2020-05-04,1018
62,2020-05-05,1022
63,2020-05-06,1025
64,2020-05-07,1026
65,2020-05-08,1030
66,2020-05-09,1032
67,2020-05-10,1032
68,2020-05-11,1032
69,2020-05-12,1032
70,2020-05-13,1032
71,2020-05-14,1032
72,2020-05-15,1035
73,2020-05-16,1037
74,2020-05-17,1037
75,2020-05-18,1043
76,2020-05-19,1044
77,2020-05-20,1045
78,2020-05-21,1046
79,2020-05-22,1048
80,2020-05-23,1048
81,2020-05-24,1051
82,2020-05-25,1051
83,2020-05-26,1051
84,2020-05-27,1051
85,2020-05-28,1068
86,2020-05-29,1071
87,2020-05-30,1076
88,2020-05-31,1077
89,2020-06-01,1084
90,2020-06-02,1086
91,2020-06-03,1087
92,2020-06-04,1087
93,2020-06-05,1087
94,2020-06-06,1087
95,2020-06-07,1087
96,2020-06-08,1087
97,2020-06-09,1087
98,2020-06-10,1087
99,2020-06-11,1087
100,2020-06-12,1093
101,2020-06-13,1094
102,2020-06-14,1096
103,2020-06-15,1110
104,2020-06-16,1125
105,2020-06-17,1128
106,2020-06-18,1132
107,2020-06-19,1146
108,2020-06-20,1156
109,2020-06-21,1157
110,2020-06-22,1159
111,2020-06-23,1159
112,2020-06-24,1160
113,2020-06-25,1162
114,2020-06-26,1164
115,2020-06-27,1168
116,2020-06-28,1169
117,2020-06-29,1172
118,2020-06-30,1174
119,2020-07-01,1175
120,2020-07-02,1178
121,2020-07-03,1181
122,2020-07-04,1186
123,2020-07-05,1188
124,2020-07-06,1199
125,2020-07-07,1205
126,2020-07-08,1221
127,2020-07-09,1231
128,2020-07-10,1240
129,2020-07-11,1245
130,2020-07-12,1263
131,2020-07-13,1302
132,2020-07-14,1306
133,2020-07-15,1319
134,2020-07-16,1327
135,2020-07-17,1336
136,2020-07-18,1348
137,2020-07-19,1374
138,2020-07-20,1381
139,2020-07-21,1389
140,2020-07-22,1394
141,2020-07-23,1406
142,2020-07-24,1425
143,2020-07-25,1443
144,2020-07-26,1452
145,2020-07-27,1455
146,2020-07-28,1468
147,2020-07-29,1488
148,2020-07-30,1514
149,2020-07-31,1535
150,2020-08-01,1552
151,2020-08-02,1561
152,2020-08-03,1565
153,2020-08-04,1584
154,2020-08-05,1601
155,2020-08-06,1642
156,2020-08-07,1656
157,2020-08-08,1678
158,2020-08-09,1697
159,2020-08-10,1717
160,2020-08-11,1738
161,2020-08-12,1780
162,2020-08-13,1847
163,2020-08-14,1903
164,2020-08-15,2023
165,2020-08-16,2107
166,2020-08-17,2185
167,2020-08-18,2314
168,2020-08-19,2427
169,2020-08-20,2543
170,2020-08-21,2607
171,2020-08-22,2738
172,2020-08-23,2818
173,2020-08-24,2893
174,2020-08-25,3069
175,2020-08-26,3206
176,2020-08-27,3323
177,2020-08-28,3461
178,2020-08-29,3572
179,2020-08-30,3685
180,2020-08-31,3803
181,2020-09-01,3963
182,2020-09-02,4196
183,2020-09-03,4394
184,2020-09-04,4542
185,2020-09-05,4776
186,2020-09-06,5041
187,2020-09-07,5124
188,2020-09-08,5417
189,2020-09-09,5417
190,2020-09-10,5882
191,2020-09-11,6259
192,2020-09-12,6635
193,2020-09-13,6635
194,2020-09-14,7382
195,2020-09-15,7623
196,2020-09-16,8100
197,2020-09-17,8570
198,2020-09-18,8570
199,2020-09-19,9110
200,2020-09-20,10732
201,2020-09-21,11260
202,2020-09-22,11260
203,2020-09-23,12479
204,2020-09-24,13305
205,2020-09-25,14392
206,2020-09-26,14392
207,2020-09-27,16114
208,2020-09-28,16114
209,2020-09-29,17405
210,2020-09-30,18413
211,2020-10-01,18413
212,2020-10-02,19721
213,2020-10-03,20944
214,2020-10-04,22230
215,2020-10-05,22230
216,2020-10-06,22230
217,2020-10-07,24542
218,2020-10-08,26899
219,2020-10-09,26899
220,2020-10-10,31259
221,2020-10-11,32556
222,2020-10-12,32556
223,2020-10-13,32556
224,2020-10-14,34790
225,2020-10-15,34790
226,2020-10-16,34790
227,2020-10-17,40542
228,2020-10-18,40542
229,2020-10-19,42727
230,2020-10-20,44450
231,2020-10-21,45892
232,2020-10-22,45892
233,2020-10-23,47214
234,2020-10-24,48799
235,2020-10-25,48799
236,2020-10-26,52399
237,2020-10-27,52399
238,2020-10-28,54278
239,2020-10-29,54278
240,2020-10-30,58029
241,2020-10-31,59813
242,2020-11-01,61115
243,2020-11-02,61906
244,2020-11-03,63126
245,2020-11-04,64363
246,2020-11-05,66334
247,2020-11-06,66334
248,2020-11-07,69543
249,2020-11-08,71119
250,2020-11-09,71569
251,2020-11-10,72993
252,2020-11-11,74522
253,2020-11-12,76106
254,2020-11-13,77668
255,2020-11-14,79339
256,2020-11-15,80404
257,2020-11-16,81003
258,2020-11-17,81723
259,2020-11-18,83772
260,2020-11-19,83772
261,2020-11-20,86265
262,2020-11-21,87471
263,2020-11-22,88711
264,2020-11-23,89196
265,2020-11-24,90213
266,2020-11-25,91307
267,2020-11-26,92475
268,2020-11-27,93770
269,2020-11-28,94980
270,2020-11-29,96251
271,2020-11-30,96769
272,2020-12-01,96769
273,2020-12-02,99280
274,2020-12-03,99280
275,2020-12-04,101900
276,2020-12-05,102991
277,2020-12-06,104002
278,2020-12-07,104329
