,Date,Cases
0,2020-03-11,1
1,2020-03-12,1
2,2020-03-13,5
3,2020-03-14,5
4,2020-03-15,6
5,2020-03-16,18
6,2020-03-17,47
7,2020-03-18,98
8,2020-03-19,192
9,2020-03-20,359
10,2020-03-21,670
11,2020-03-22,1236
12,2020-03-23,1529
13,2020-03-24,1872
14,2020-03-25,2433
15,2020-03-26,3629
16,2020-03-27,5698
17,2020-03-28,7402
18,2020-03-29,9217
19,2020-03-30,10827
20,2020-03-31,13531
21,2020-04-01,15679
22,2020-04-02,18135
23,2020-04-03,20921
24,2020-04-04,23934
25,2020-04-05,27069
26,2020-04-06,30217
27,2020-04-07,34109
28,2020-04-08,38226
29,2020-04-09,42282
30,2020-04-10,47029
31,2020-04-11,52167
32,2020-04-12,56956
33,2020-04-13,61049
34,2020-04-14,65111
35,2020-04-15,69392
36,2020-04-16,74193
37,2020-04-17,78546
38,2020-04-18,82329
39,2020-04-19,86306
40,2020-04-20,90980
41,2020-04-21,95591
42,2020-04-22,98674
43,2020-04-23,101790
44,2020-04-24,104912
45,2020-04-25,107773
46,2020-04-26,110130
47,2020-04-27,112261
48,2020-04-28,114653
49,2020-04-29,117589
50,2020-04-30,120204
51,2020-05-01,122392
52,2020-05-02,124375
53,2020-05-03,126045
54,2020-05-04,127659
55,2020-05-05,129491
56,2020-05-06,131744
57,2020-05-07,133721
58,2020-05-08,135569
59,2020-05-09,137115
60,2020-05-10,138657
61,2020-05-11,139771
62,2020-05-12,141475
63,2020-05-13,143114
64,2020-05-14,144749
65,2020-05-15,146457
66,2020-05-16,148067
67,2020-05-17,149435
68,2020-05-18,150593
69,2020-05-19,151615
70,2020-05-20,152587
71,2020-05-21,153548
72,2020-05-22,154500
73,2020-05-23,155686
74,2020-05-24,156827
75,2020-05-25,157814
76,2020-05-26,158762
77,2020-05-27,159797
78,2020-05-28,160979
79,2020-05-29,162120
80,2020-05-30,163103
81,2020-05-31,163942
82,2020-06-01,164769
83,2020-06-02,165555
84,2020-06-03,166422
85,2020-06-04,167410
86,2020-06-05,168340
87,2020-06-06,169218
88,2020-06-07,170132
89,2020-06-08,171121
90,2020-06-09,172114
91,2020-06-10,173036
92,2020-06-11,174023
93,2020-06-12,175218
94,2020-06-13,176677
95,2020-06-14,178239
96,2020-06-15,179831
97,2020-06-16,181298
98,2020-06-17,182727
99,2020-06-18,184031
100,2020-06-19,185245
101,2020-06-20,186493
102,2020-06-21,187685
103,2020-06-22,188897
104,2020-06-23,190165
105,2020-06-24,191657
106,2020-06-25,193115
107,2020-06-26,194511
108,2020-06-27,195883
109,2020-06-28,197239
110,2020-06-29,198613
111,2020-06-30,199906
112,2020-07-01,201098
113,2020-07-02,202284
114,2020-07-03,203456
115,2020-07-04,204610
116,2020-07-05,205758
117,2020-07-06,206844
118,2020-07-07,207897
119,2020-07-08,208938
120,2020-07-09,209962
121,2020-07-10,210965
122,2020-07-11,211981
123,2020-07-12,212993
124,2020-07-13,214001
125,2020-07-14,214993
126,2020-07-15,215940
127,2020-07-16,216873
128,2020-07-17,217799
129,2020-07-18,218717
130,2020-07-19,219641
131,2020-07-20,220572
132,2020-07-21,221500
133,2020-07-22,222402
134,2020-07-23,223315
135,2020-07-24,224252
136,2020-07-25,225173
137,2020-07-26,226100
138,2020-07-27,227019
139,2020-07-28,227982
140,2020-07-29,228924
141,2020-07-30,229891
142,2020-07-31,230873
143,2020-08-01,231869
144,2020-08-02,232856
145,2020-08-03,233851
146,2020-08-04,234934
147,2020-08-05,236112
148,2020-08-06,237265
149,2020-08-07,238450
150,2020-08-08,239622
151,2020-08-09,240804
152,2020-08-10,241997
153,2020-08-11,243180
154,2020-08-12,244392
155,2020-08-13,245635
156,2020-08-14,246861
157,2020-08-15,248117
158,2020-08-16,249309
159,2020-08-17,250542
160,2020-08-18,251805
161,2020-08-19,253108
162,2020-08-20,254520
163,2020-08-21,255723
164,2020-08-22,257032
165,2020-08-23,258249
166,2020-08-24,259692
167,2020-08-25,261194
168,2020-08-26,262507
169,2020-08-27,263998
170,2020-08-28,265515
171,2020-08-29,267064
172,2020-08-30,268546
173,2020-08-31,270133
174,2020-09-01,271705
175,2020-09-02,273301
176,2020-09-03,274943
177,2020-09-04,276555
178,2020-09-05,278228
179,2020-09-06,279806
180,2020-09-07,281509
181,2020-09-08,283270
182,2020-09-09,284943
183,2020-09-10,286455
184,2020-09-11,288126
185,2020-09-12,289635
186,2020-09-13,291162
187,2020-09-14,292878
188,2020-09-15,294620
189,2020-09-16,296391
190,2020-09-17,298039
