,Date,Cases
0,2020-03-21,1
1,2020-03-22,1
2,2020-03-23,9
3,2020-03-24,9
4,2020-03-25,14
5,2020-03-26,14
6,2020-03-27,23
7,2020-03-28,30
8,2020-03-29,33
9,2020-03-30,33
10,2020-03-31,44
11,2020-04-01,44
12,2020-04-02,45
13,2020-04-03,48
14,2020-04-04,48
15,2020-04-05,52
16,2020-04-06,52
17,2020-04-07,52
18,2020-04-08,53
19,2020-04-09,53
20,2020-04-10,53
21,2020-04-11,53
22,2020-04-12,54
23,2020-04-13,54
24,2020-04-14,55
25,2020-04-15,55
26,2020-04-16,55
27,2020-04-17,56
28,2020-04-18,55
29,2020-04-19,55
30,2020-04-20,56
31,2020-04-21,61
32,2020-04-22,63
33,2020-04-23,74
34,2020-04-24,75
35,2020-04-25,75
36,2020-04-26,79
37,2020-04-27,79
38,2020-04-28,79
39,2020-04-29,81
40,2020-04-30,83
41,2020-05-01,85
42,2020-05-02,88
43,2020-05-03,89
44,2020-05-04,97
45,2020-05-05,98
46,2020-05-06,100
47,2020-05-07,101
48,2020-05-08,101
49,2020-05-09,116
50,2020-05-10,121
51,2020-05-11,121
52,2020-05-12,129
53,2020-05-13,139
54,2020-05-14,160
55,2020-05-15,203
56,2020-05-16,227
57,2020-05-17,227
58,2020-05-18,248
59,2020-05-19,260
60,2020-05-20,264
61,2020-05-21,160
62,2020-05-22,175
63,2020-05-23,198
64,2020-05-24,198
65,2020-05-25,222
66,2020-05-26,253
67,2020-05-27,281
68,2020-05-28,317
69,2020-05-29,329
70,2020-05-30,413
71,2020-05-31,417
72,2020-06-01,457
73,2020-06-02,489
74,2020-06-03,507
75,2020-06-04,522
76,2020-06-05,557
77,2020-06-06,593
78,2020-06-07,616
79,2020-06-08,646
80,2020-06-09,657
81,2020-06-10,665
82,2020-06-11,679
83,2020-06-12,686
84,2020-06-13,694
85,2020-06-14,696
86,2020-06-15,705
87,2020-06-16,724
88,2020-06-17,732
89,2020-06-18,741
90,2020-06-19,755
91,2020-06-20,763
92,2020-06-21,770
93,2020-06-22,774
94,2020-06-23,797
95,2020-06-24,805
96,2020-06-25,821
97,2020-06-26,833
98,2020-06-27,848
99,2020-06-28,859
100,2020-06-29,870
101,2020-06-30,889
102,2020-07-01,893
103,2020-07-02,902
104,2020-07-03,911
105,2020-07-04,927
106,2020-07-05,939
107,2020-07-06,953
108,2020-07-07,971
109,2020-07-08,977
110,2020-07-09,1000
111,2020-07-10,1006
112,2020-07-11,1013
113,2020-07-12,1025
114,2020-07-13,1029
115,2020-07-14,1040
116,2020-07-15,1043
117,2020-07-16,1051
118,2020-07-17,1056
119,2020-07-18,1062
120,2020-07-19,1065
121,2020-07-20,1069
