,Date,Cases
0,2020-03-03,1
1,2020-03-04,1
2,2020-03-05,1
3,2020-03-06,1
4,2020-03-07,1
5,2020-03-08,1
6,2020-03-09,1
7,2020-03-10,1
8,2020-03-11,1
9,2020-03-12,1
10,2020-03-13,3
11,2020-03-14,3
12,2020-03-15,3
13,2020-03-16,7
14,2020-03-17,14
15,2020-03-18,14
16,2020-03-19,16
17,2020-03-20,29
18,2020-03-21,47
19,2020-03-22,73
20,2020-03-23,73
21,2020-03-24,97
22,2020-03-25,145
23,2020-03-26,196
24,2020-03-27,310
25,2020-03-28,356
26,2020-03-29,475
27,2020-03-30,548
28,2020-03-31,645
29,2020-04-01,794
30,2020-04-02,897
31,2020-04-03,1072
32,2020-04-04,1225
33,2020-04-05,1308
34,2020-04-06,1319
35,2020-04-07,1462
36,2020-04-08,1668
37,2020-04-09,1892
38,2020-04-10,2203
39,2020-04-11,2511
40,2020-04-12,2777
41,2020-04-13,3102
42,2020-04-14,3372
43,2020-04-15,3764
44,2020-04-16,4161
45,2020-04-17,4662
46,2020-04-18,5106
47,2020-04-19,5449
48,2020-04-20,5710
49,2020-04-21,6125
50,2020-04-22,6592
51,2020-04-23,7170
52,2020-04-24,7647
53,2020-04-25,8125
54,2020-04-26,8617
55,2020-04-27,9009
56,2020-04-28,9410
57,2020-04-29,9866
58,2020-04-30,10406
59,2020-05-01,10861
60,2020-05-02,11411
61,2020-05-03,11913
62,2020-05-04,12331
63,2020-05-05,12697
64,2020-05-06,13184
65,2020-05-07,13691
66,2020-05-08,14195
67,2020-05-09,14710
68,2020-05-10,15232
69,2020-05-11,15648
70,2020-05-12,16023
71,2020-05-13,16425
72,2020-05-14,16847
73,2020-05-15,17330
74,2020-05-16,17858
75,2020-05-17,18291
76,2020-05-18,18616
77,2020-05-19,18876
78,2020-05-20,19230
79,2020-05-21,19706
80,2020-05-22,20148
81,2020-05-23,20580
82,2020-05-24,20986
83,2020-05-25,21245
84,2020-05-26,21584
85,2020-05-27,21905
86,2020-05-28,22382
87,2020-05-29,22811
88,2020-05-30,23204
89,2020-05-31,23672
90,2020-06-01,24562
91,2020-06-02,24895
92,2020-06-03,25385
93,2020-06-04,25981
94,2020-06-05,26542
95,2020-06-06,27101
96,2020-06-07,27599
97,2020-06-08,28077
98,2020-06-09,28479
99,2020-06-10,29015
100,2020-06-11,29706
101,2020-06-12,30415
102,2020-06-13,31177
103,2020-06-14,31851
104,2020-06-15,32536
105,2020-06-16,33209
106,2020-06-17,33986
107,2020-06-18,34833
108,2020-06-19,35755
109,2020-06-20,36615
110,2020-06-21,37361
111,2020-06-22,38056
112,2020-06-23,38901
113,2020-06-24,39852
114,2020-06-25,40854
115,2020-06-26,41975
116,2020-06-27,42932
117,2020-06-28,43856
118,2020-06-29,44538
119,2020-06-30,45254
120,2020-07-01,45924
121,2020-07-02,46821
122,2020-07-03,47705
123,2020-07-04,48628
124,2020-07-05,49468
125,2020-07-06,50053
126,2020-07-07,50622
127,2020-07-08,51457
128,2020-07-09,52285
129,2020-07-10,53116
130,2020-07-11,53941
131,2020-07-12,54647
132,2020-07-13,55285
133,2020-07-14,55931
134,2020-07-15,56779
135,2020-07-16,57640
136,2020-07-17,58466
137,2020-07-18,59333
138,2020-07-19,60077
139,2020-07-20,60767
140,2020-07-21,61454
141,2020-07-22,62295
142,2020-07-23,63169
143,2020-07-24,64173
144,2020-07-25,65317
145,2020-07-26,66261
146,2020-07-27,67096
147,2020-07-28,68030
148,2020-07-29,69078
149,2020-07-30,70300
150,2020-07-31,71404
151,2020-08-01,72609
152,2020-08-02,73761
153,2020-08-03,74781
154,2020-08-04,75880
155,2020-08-05,77169
156,2020-08-06,78515
157,2020-08-07,80018
158,2020-08-08,81534
159,2020-08-09,82767
160,2020-08-10,83812
161,2020-08-11,85023
162,2020-08-12,86504
163,2020-08-13,88136
164,2020-08-14,89917
165,2020-08-15,91795
166,2020-08-16,93490
167,2020-08-17,95007
168,2020-08-18,96653
169,2020-08-19,98658
170,2020-08-20,100810
171,2020-08-21,102948
172,2020-08-22,105337
173,2020-08-23,107379
174,2020-08-24,109234
175,2020-08-25,110949
176,2020-08-26,112653
177,2020-08-27,114663
178,2020-08-28,117172
179,2020-08-29,119751
180,2020-08-30,121930
181,2020-08-31,124132
182,2020-09-01,126279
183,2020-09-02,128833
184,2020-09-03,131300
185,2020-09-04,134069
186,2020-09-05,136966
187,2020-09-06,139171
188,2020-09-07,141424
189,2020-09-08,143914
190,2020-09-09,146511
191,2020-09-10,149146
192,2020-09-11,152373
193,2020-09-12,155558
194,2020-09-13,158122
195,2020-09-14,160679
196,2020-09-15,163678
197,2020-09-16,166694
198,2020-09-17,170373
199,2020-09-18,173703
200,2020-09-19,177048
201,2020-09-20,180119
202,2020-09-21,182900
203,2020-09-22,185890
204,2020-09-23,189488
205,2020-09-24,192966
206,2020-09-25,196631
207,2020-09-26,200566
208,2020-09-27,203799
209,2020-09-28,206579
210,2020-09-29,210309
211,2020-09-30,214446
212,2020-10-01,218625
213,2020-10-02,223376
214,2020-10-03,228161
215,2020-10-04,232424
216,2020-10-05,236329
217,2020-10-06,240811
218,2020-10-07,245698
219,2020-10-08,251243
220,2020-10-09,257204
221,2020-10-10,263105
222,2020-10-11,268065
223,2020-10-12,272671
224,2020-10-13,277982
225,2020-10-14,283762
226,2020-10-15,289022
227,2020-10-16,295227
228,2020-10-17,301856
229,2020-10-18,307301
230,2020-10-19,312287
231,2020-10-20,317967
232,2020-10-21,324942
233,2020-10-22,332262
234,2020-10-23,340042
235,2020-10-24,347317
236,2020-10-25,353723
237,2020-10-26,359348
238,2020-10-27,366233
239,2020-10-28,374023
240,2020-10-29,381664
241,2020-10-30,390272
242,2020-10-31,399330
243,2020-11-01,407573
244,2020-11-02,414567
245,2020-11-03,423683
246,2020-11-04,433492
247,2020-11-05,443630
248,2020-11-06,453565
249,2020-11-07,464598
250,2020-11-08,474245
251,2020-11-09,483153
252,2020-11-10,493544
253,2020-11-11,504423
254,2020-11-12,515755
255,2020-11-13,527808
256,2020-11-14,540593
257,2020-11-15,551533
258,2020-11-16,561581
259,2020-11-17,573758
260,2020-11-18,586522
261,2020-11-19,600152
262,2020-11-20,614986
263,2020-11-21,629850
264,2020-11-22,642215
265,2020-11-23,653442
266,2020-11-24,665968
267,2020-11-25,680132
268,2020-11-26,695755
269,2020-11-27,712249
270,2020-11-28,728834
271,2020-11-29,742105
272,2020-11-30,752343
273,2020-12-01,765117
274,2020-12-02,778560
275,2020-12-03,793372
276,2020-12-04,808828
277,2020-12-05,822985
278,2020-12-06,834913
279,2020-12-07,843898
280,2020-12-08,855054
281,2020-12-09,867991
282,2020-12-10,881727
283,2020-12-11,895620
284,2020-12-12,908839
285,2020-12-13,918444
286,2020-12-14,925321
287,2020-12-15,934161
288,2020-12-16,945218
289,2020-12-17,957692
290,2020-12-18,970758
291,2020-12-19,982937
292,2020-12-20,991700
293,2020-12-21,998678
294,2020-12-22,1007627
295,2020-12-23,1018199
296,2020-12-24,1030125
297,2020-12-25,1041583
298,2020-12-26,1049717
299,2020-12-27,1056265
300,2020-12-28,1061074
301,2020-12-29,1068476
302,2020-12-30,1076880
303,2020-12-31,1086997
304,2021-01-01,1096855
305,2021-01-02,1102256
306,2021-01-03,1107137
307,2021-01-04,1111631
308,2021-01-05,1117256
309,2021-01-06,1124482
310,2021-01-07,1133802
311,2021-01-08,1139800
312,2021-01-09,1144943
313,2021-01-10,1150265
314,2021-01-11,1154850
315,2021-01-12,1160243
316,2021-01-13,1166958
317,2021-01-14,1175343
318,2021-01-15,1183963
319,2021-01-16,1192114
320,2021-01-17,1198512
321,2021-01-18,1201894
322,2021-01-19,1206125
323,2021-01-20,1210854
324,2021-01-21,1216780
325,2021-01-22,1222459
326,2021-01-23,1227723
327,2021-01-24,1231965
328,2021-01-25,1234772
329,2021-01-26,1237810
330,2021-01-27,1241863
331,2021-01-28,1247674
