,Date,Cases
0,2020-01-29,4
1,2020-01-30,4
2,2020-01-31,4
3,2020-02-01,4
4,2020-02-02,5
5,2020-02-03,5
6,2020-02-04,5
7,2020-02-05,5
8,2020-02-06,5
9,2020-02-07,5
10,2020-02-08,7
11,2020-02-09,7
12,2020-02-10,8
13,2020-02-11,8
14,2020-02-12,8
15,2020-02-13,8
16,2020-02-14,8
17,2020-02-15,8
18,2020-02-16,9
19,2020-02-17,9
20,2020-02-18,9
21,2020-02-19,9
22,2020-02-20,9
23,2020-02-21,9
24,2020-02-22,13
25,2020-02-23,13
26,2020-02-24,13
27,2020-02-25,13
28,2020-02-26,13
29,2020-02-27,13
30,2020-02-28,19
31,2020-02-29,21
32,2020-03-01,21
33,2020-03-02,21
34,2020-03-03,27
35,2020-03-04,27
36,2020-03-05,29
37,2020-03-06,29
38,2020-03-07,45
39,2020-03-08,45
40,2020-03-09,45
41,2020-03-10,74
42,2020-03-11,74
43,2020-03-12,85
44,2020-03-13,85
45,2020-03-14,85
46,2020-03-15,98
47,2020-03-16,98
48,2020-03-17,98
49,2020-03-18,113
50,2020-03-19,140
51,2020-03-20,140
52,2020-03-21,153
53,2020-03-22,153
54,2020-03-23,198
55,2020-03-24,248
56,2020-03-25,333
57,2020-03-26,333
58,2020-03-27,405
59,2020-03-28,468
60,2020-03-29,570
61,2020-03-30,611
62,2020-03-31,664
63,2020-04-01,814
64,2020-04-02,1024
65,2020-04-03,1264
66,2020-04-04,1505
67,2020-04-05,1799
68,2020-04-06,2076
69,2020-04-07,2359
70,2020-04-08,2659
71,2020-04-09,2990
72,2020-04-10,3360
73,2020-04-11,3736
74,2020-04-12,4123
75,2020-04-13,4521
76,2020-04-14,4933
77,2020-04-15,5365
78,2020-04-16,5825
79,2020-04-17,6302
80,2020-04-18,6302
81,2020-04-19,6781
82,2020-04-20,7265
83,2020-04-21,7755
84,2020-04-22,8238
85,2020-04-23,8756
86,2020-04-24,9281
87,2020-04-25,9813
88,2020-04-26,10349
89,2020-04-27,10839
90,2020-04-28,11380
91,2020-04-29,11929
92,2020-04-30,12481
