,Date,Cases
0,2020-01-31,2
1,2020-02-01,2
2,2020-02-02,2
3,2020-02-03,8
4,2020-02-04,8
5,2020-02-05,9
6,2020-02-06,9
7,2020-02-07,9
8,2020-02-08,13
9,2020-02-09,14
10,2020-02-10,14
11,2020-02-11,15
12,2020-02-12,16
13,2020-02-13,17
14,2020-02-14,18
15,2020-02-15,18
16,2020-02-16,18
17,2020-02-17,19
18,2020-02-18,19
19,2020-02-19,20
20,2020-02-20,22
21,2020-02-21,23
22,2020-02-22,23
23,2020-02-23,28
24,2020-02-24,30
25,2020-02-25,34
26,2020-02-26,37
27,2020-02-27,44
28,2020-02-28,56
29,2020-02-29,61
30,2020-03-01,94
31,2020-03-02,134
32,2020-03-03,189
33,2020-03-04,246
34,2020-03-05,295
35,2020-03-06,374
36,2020-03-07,429
37,2020-03-08,483
38,2020-03-09,630
39,2020-03-10,889
40,2020-03-11,1301
41,2020-03-12,1790
42,2020-03-13,2270
43,2020-03-14,2634
44,2020-03-15,3077
45,2020-03-16,3692
46,2020-03-17,4462
47,2020-03-18,5467
48,2020-03-19,6533
49,2020-03-20,7791
50,2020-03-21,9006
51,2020-03-22,10395
52,2020-03-23,12744
53,2020-03-24,15126
54,2020-03-25,17843
55,2020-03-26,20970
56,2020-03-27,24219
57,2020-03-28,27062
58,2020-03-29,29954
59,2020-03-30,34281
60,2020-03-31,38815
61,2020-04-01,43789
62,2020-04-02,48718
63,2020-04-03,53699
64,2020-04-04,57772
65,2020-04-05,61422
66,2020-04-06,66738
67,2020-04-07,72224
68,2020-04-08,77387
69,2020-04-09,82293
70,2020-04-10,86660
71,2020-04-11,90273
72,2020-04-12,93812
73,2020-04-13,98017
74,2020-04-14,102365
75,2020-04-15,107465
76,2020-04-16,112808
77,2020-04-17,117798
78,2020-04-18,122534
79,2020-04-19,126394
80,2020-04-20,131260
81,2020-04-21,136035
82,2020-04-22,141540
83,2020-04-23,146708
84,2020-04-24,151689
85,2020-04-25,155453
86,2020-04-26,158926
87,2020-04-27,163630
88,2020-04-28,168357
89,2020-04-29,173807
90,2020-04-30,178771
91,2020-05-01,183501
92,2020-05-02,186731
93,2020-05-03,189708
94,2020-05-04,193091
95,2020-05-05,196780
96,2020-05-06,200616
97,2020-05-07,204387
98,2020-05-08,207439
99,2020-05-09,209589
100,2020-05-10,211911
101,2020-05-11,215500
102,2020-05-12,218895
103,2020-05-13,222195
104,2020-05-14,224813
105,2020-05-15,227334
106,2020-05-16,229406
107,2020-05-17,231232
108,2020-05-18,233809
109,2020-05-19,236867
110,2020-05-20,239579
111,2020-05-21,242133
112,2020-05-22,244174
113,2020-05-23,245682
114,2020-05-24,247037
115,2020-05-25,248650
116,2020-05-26,250309
117,2020-05-27,252118
118,2020-05-28,253854
119,2020-05-29,255362
120,2020-05-30,256469
121,2020-05-31,257539
122,2020-06-01,258983
123,2020-06-02,260453
124,2020-06-03,261802
125,2020-06-04,263040
126,2020-06-05,264150
127,2020-06-06,264944
128,2020-06-07,265662
129,2020-06-08,266756
130,2020-06-09,267915
131,2020-06-10,269101
132,2020-06-11,270108
133,2020-06-12,271162
134,2020-06-13,272050
135,2020-06-14,272857
136,2020-06-15,273888
137,2020-06-16,274971
138,2020-06-17,275970
139,2020-06-18,276990
140,2020-06-19,277974
141,2020-06-20,278640
142,2020-06-21,279264
143,2020-06-22,280156
144,2020-06-23,281038
145,2020-06-24,281815
146,2020-06-25,282512
147,2020-06-26,283151
148,2020-06-27,283785
149,2020-06-28,284192
150,2020-06-29,284812
151,2020-06-30,285216
152,2020-07-01,285279
153,2020-07-02,285285
154,2020-07-03,285787
155,2020-07-04,286412
156,2020-07-05,286931
157,2020-07-06,287290
158,2020-07-07,287874
159,2020-07-08,288511
160,2020-07-09,289154
161,2020-07-10,289678
162,2020-07-11,290504
163,2020-07-12,291154
164,2020-07-13,291691
165,2020-07-14,292931
166,2020-07-15,293469
167,2020-07-16,294116
168,2020-07-17,294803
169,2020-07-18,295632
170,2020-07-19,296358
171,2020-07-20,296944
172,2020-07-21,297389
173,2020-07-22,297952
174,2020-07-23,298731
175,2020-07-24,299500
176,2020-07-25,300270
177,2020-07-26,301020
178,2020-07-27,301708
179,2020-07-28,302261
180,2020-07-29,303063
181,2020-07-30,303910
182,2020-07-31,304793
183,2020-08-01,305562
184,2020-08-02,306309
185,2020-08-03,307251
186,2020-08-04,307926
187,2020-08-05,308832
188,2020-08-06,309796
189,2020-08-07,310696
190,2020-08-08,311461
191,2020-08-09,312574
192,2020-08-10,313392
193,2020-08-11,314542
194,2020-08-12,315581
195,2020-08-13,316729
196,2020-08-14,318190
