,Date,Cases
0,2020-03-13,4
1,2020-03-14,6
2,2020-03-15,8
3,2020-03-16,29
4,2020-03-17,50
5,2020-03-18,79
6,2020-03-19,94
7,2020-03-20,110
8,2020-03-21,135
9,2020-03-22,158
10,2020-03-23,162
11,2020-03-24,189
12,2020-03-25,217
13,2020-03-26,238
14,2020-03-27,274
15,2020-03-28,303
16,2020-03-29,309
17,2020-03-30,320
18,2020-03-31,338
19,2020-04-01,350
20,2020-04-02,369
21,2020-04-03,386
22,2020-04-04,400
23,2020-04-05,406
24,2020-04-06,415
25,2020-04-07,424
26,2020-04-08,456
27,2020-04-09,473
28,2020-04-10,494
29,2020-04-11,501
30,2020-04-12,480
31,2020-04-13,483
32,2020-04-14,492
33,2020-04-15,493
34,2020-04-16,502
35,2020-04-17,508
36,2020-04-18,517
37,2020-04-19,528
38,2020-04-20,535
39,2020-04-21,543
40,2020-04-22,549
41,2020-04-23,557
42,2020-04-24,563
43,2020-04-25,596
44,2020-04-26,606
45,2020-04-27,620
46,2020-04-28,625
47,2020-04-29,630
48,2020-04-30,643
49,2020-05-01,648
50,2020-05-02,652
51,2020-05-03,655
52,2020-05-04,657
53,2020-05-05,670
54,2020-05-06,673
55,2020-05-07,684
56,2020-05-08,694
57,2020-05-09,702
58,2020-05-10,707
59,2020-05-11,711
60,2020-05-12,717
61,2020-05-13,719
62,2020-05-14,724
63,2020-05-15,732
64,2020-05-16,733
65,2020-05-17,734
66,2020-05-18,737
67,2020-05-19,738
68,2020-05-20,746
69,2020-05-21,749
70,2020-05-22,753
71,2020-05-23,764
72,2020-05-24,769
73,2020-05-25,787
74,2020-05-26,789
75,2020-05-27,803
76,2020-05-28,811
77,2020-05-29,816
78,2020-05-30,821
79,2020-05-31,823
80,2020-06-01,825
81,2020-06-02,826
82,2020-06-03,828
83,2020-06-04,832
84,2020-06-05,834
85,2020-06-06,845
86,2020-06-07,845
87,2020-06-08,845
88,2020-06-09,846
89,2020-06-10,847
90,2020-06-11,847
91,2020-06-12,847
92,2020-06-13,847
93,2020-06-14,848
94,2020-06-15,848
95,2020-06-16,849
96,2020-06-17,849
97,2020-06-18,850
98,2020-06-19,853
99,2020-06-20,859
100,2020-06-21,876
101,2020-06-22,882
102,2020-06-23,885
103,2020-06-24,902
104,2020-06-25,907
105,2020-06-26,919
106,2020-06-27,924
107,2020-06-28,929
108,2020-06-29,932
109,2020-06-30,936
110,2020-07-01,943
111,2020-07-02,947
112,2020-07-03,952
113,2020-07-04,955
114,2020-07-05,956
115,2020-07-06,960
116,2020-07-07,965
117,2020-07-08,974
118,2020-07-09,977
119,2020-07-10,985
120,2020-07-11,986
121,2020-07-12,987
122,2020-07-13,989
123,2020-07-14,997
124,2020-07-15,1009
125,2020-07-16,1026
126,2020-07-17,1037
127,2020-07-18,1044
128,2020-07-19,1054
129,2020-07-20,1064
130,2020-07-21,1096
131,2020-07-22,1117
132,2020-07-23,1141
133,2020-07-24,1166
134,2020-07-25,1174
135,2020-07-26,1192
136,2020-07-27,1202
137,2020-07-28,1218
138,2020-07-29,1237
139,2020-07-30,1243
140,2020-07-31,1264
141,2020-08-01,1278
142,2020-08-02,1286
143,2020-08-03,1291
144,2020-08-04,1300
145,2020-08-05,1309
146,2020-08-06,1318
147,2020-08-07,1325
148,2020-08-08,1335
149,2020-08-09,1353
150,2020-08-10,1364
151,2020-08-11,1385
152,2020-08-12,1393
153,2020-08-13,1409
154,2020-08-14,1421
155,2020-08-15,1434
156,2020-08-16,1440
157,2020-08-17,1457
158,2020-08-18,1485
159,2020-08-19,1493
160,2020-08-20,1506
161,2020-08-21,1516
162,2020-08-22,1521
163,2020-08-23,1527
164,2020-08-24,1533
165,2020-08-25,1536
166,2020-08-26,1543
167,2020-08-27,1551
168,2020-08-28,1556
169,2020-08-29,1570
170,2020-08-30,1585
171,2020-08-31,1595
172,2020-09-01,1611
173,2020-09-02,1626
174,2020-09-03,1636
175,2020-09-04,1653
176,2020-09-05,1669
177,2020-09-06,1679
178,2020-09-07,1693
179,2020-09-08,1712
180,2020-09-09,1741
181,2020-09-10,1759
182,2020-09-11,1773
183,2020-09-12,1780
184,2020-09-13,1808
185,2020-09-14,1812
186,2020-09-15,1827
187,2020-09-16,1856
188,2020-09-17,1876
189,2020-09-18,1890
190,2020-09-19,1904
191,2020-09-20,1917
192,2020-09-21,1927
193,2020-09-22,1934
194,2020-09-23,1946
195,2020-09-24,1959
196,2020-09-25,1967
197,2020-09-26,1998
198,2020-09-27,2008
199,2020-09-28,2010
200,2020-09-29,2033
201,2020-09-30,2046
202,2020-10-01,2061
203,2020-10-02,2097
204,2020-10-03,2122
205,2020-10-04,2145
206,2020-10-05,2155
207,2020-10-06,2177
208,2020-10-07,2206
209,2020-10-08,2226
210,2020-10-09,2251
211,2020-10-10,2268
212,2020-10-11,2294
213,2020-10-12,2313
214,2020-10-13,2337
215,2020-10-14,2388
216,2020-10-15,2417
217,2020-10-16,2450
218,2020-10-17,2501
219,2020-10-18,2531
220,2020-10-19,2560
221,2020-10-20,2623
222,2020-10-21,2663
223,2020-10-22,2701
224,2020-10-23,2759
225,2020-10-24,2807
226,2020-10-25,2851
227,2020-10-26,2872
228,2020-10-27,2916
229,2020-10-28,2981
230,2020-10-29,3044
231,2020-10-30,3082
232,2020-10-31,3124
233,2020-11-01,3149
234,2020-11-02,3165
235,2020-11-03,3196
236,2020-11-04,3245
237,2020-11-05,3309
238,2020-11-06,3370
239,2020-11-07,3441
240,2020-11-08,3514
241,2020-11-09,3560
242,2020-11-10,3620
243,2020-11-11,3700
244,2020-11-12,3795
245,2020-11-13,3883
246,2020-11-14,3957
247,2020-11-15,4030
248,2020-11-16,4104
249,2020-11-17,4208
250,2020-11-18,4296
251,2020-11-19,4377
252,2020-11-20,4477
253,2020-11-21,4564
254,2020-11-22,4699
255,2020-11-23,4763
256,2020-11-24,4870
257,2020-11-25,4988
258,2020-11-26,5117
259,2020-11-27,5303
260,2020-11-28,5511
261,2020-11-29,5716
262,2020-11-30,5857
263,2020-12-01,6024
264,2020-12-02,6225
265,2020-12-03,6455
266,2020-12-04,6731
267,2020-12-05,6965
268,2020-12-06,7303
269,2020-12-07,7505
270,2020-12-08,7806
271,2020-12-09,8104
272,2020-12-10,8487
273,2020-12-11,8849
274,2020-12-12,9180
275,2020-12-13,9708
276,2020-12-14,10029
277,2020-12-15,10418
278,2020-12-16,10893
279,2020-12-17,11436
280,2020-12-18,11950
281,2020-12-19,12557
282,2020-12-20,13048
283,2020-12-21,13477
284,2020-12-22,14001
285,2020-12-23,14710
286,2020-12-24,15457
287,2020-12-25,15848
288,2020-12-26,16218
289,2020-12-27,16728
290,2020-12-28,17306
291,2020-12-29,17962
292,2020-12-30,18480
293,2020-12-31,19119
294,2021-01-01,19753
295,2021-01-02,20275
296,2021-01-03,20823
297,2021-01-04,21426
298,2021-01-05,22104
299,2021-01-06,23048
300,2021-01-07,23807
301,2021-01-08,24339
302,2021-01-09,24974
303,2021-01-10,26186
304,2021-01-11,26901
305,2021-01-12,27846
306,2021-01-13,28475
307,2021-01-14,29989
308,2021-01-15,30946
309,2021-01-16,31669
310,2021-01-17,32378
311,2021-01-18,32863
312,2021-01-19,33446
313,2021-01-20,34294
314,2021-01-21,34992
315,2021-01-22,36170
316,2021-01-23,36967
317,2021-01-24,37633
318,2021-01-25,38041
319,2021-01-26,38680
320,2021-01-27,39328
321,2021-01-28,39887
