,Date,Cases
0,2020-03-15,1
1,2020-03-16,6
2,2020-03-17,10
3,2020-03-18,15
4,2020-03-19,23
5,2020-03-20,33
6,2020-03-21,43
7,2020-03-22,43
8,2020-03-23,46
9,2020-03-24,50
10,2020-03-25,60
11,2020-03-26,75
12,2020-03-27,88
13,2020-03-28,104
14,2020-03-29,144
15,2020-03-30,149
16,2020-03-31,172
17,2020-04-01,181
18,2020-04-02,205
19,2020-04-03,227
20,2020-04-04,266
21,2020-04-05,342
22,2020-04-06,457
23,2020-04-07,520
24,2020-04-08,545
25,2020-04-09,582
26,2020-04-10,624
27,2020-04-11,767
28,2020-04-12,865
29,2020-04-13,998
30,2020-04-14,1165
31,2020-04-15,1302
32,2020-04-16,1349
33,2020-04-17,1405
34,2020-04-18,1490
35,2020-04-19,1565
36,2020-04-20,1627
37,2020-04-21,1678
38,2020-04-22,1716
39,2020-04-23,1758
40,2020-04-24,1804
41,2020-04-25,1862
42,2020-04-26,1869
43,2020-04-27,1904
44,2020-04-28,1939
45,2020-04-29,2002
46,2020-04-30,2039
47,2020-05-01,2086
48,2020-05-02,2118
49,2020-05-03,2149
50,2020-05-04,2189
51,2020-05-05,2207
52,2020-05-06,2233
53,2020-05-07,2298
54,2020-05-08,2325
55,2020-05-09,2349
56,2020-05-10,2418
57,2020-05-11,2486
58,2020-05-12,2519
59,2020-05-13,2612
60,2020-05-14,2645
61,2020-05-15,2686
62,2020-05-16,2738
63,2020-05-17,2753
64,2020-05-18,2791
65,2020-05-19,2855
66,2020-05-20,2939
67,2020-05-21,2964
68,2020-05-22,3028
69,2020-05-23,3115
70,2020-05-24,3164
71,2020-05-25,3189
72,2020-05-26,3290
73,2020-05-27,3369
74,2020-05-28,3444
75,2020-05-29,3468
76,2020-05-30,3546
77,2020-05-31,3623
78,2020-06-01,3702
79,2020-06-02,3760
80,2020-06-03,3843
81,2020-06-04,3939
82,2020-06-05,4007
83,2020-06-06,4094
84,2020-06-07,4331
85,2020-06-08,4440
86,2020-06-09,4520
87,2020-06-10,4623
88,2020-06-11,4741
89,2020-06-12,4869
90,2020-06-13,4966
91,2020-06-14,5080
92,2020-06-15,5263
93,2020-06-16,5493
94,2020-06-17,5682
95,2020-06-18,5767
96,2020-06-19,5946
97,2020-06-20,6153
98,2020-06-21,6315
99,2020-06-22,6461
100,2020-06-23,6662
101,2020-06-24,6990
102,2020-06-25,7177
103,2020-06-26,7427
104,2020-06-27,7682
105,2020-06-28,7948
106,2020-06-29,8222
107,2020-06-30,8503
108,2020-07-01,8781
109,2020-07-02,9078
110,2020-07-03,9396
111,2020-07-04,9708
112,2020-07-05,10020
113,2020-07-06,10362
114,2020-07-07,10838
115,2020-07-08,11092
116,2020-07-09,11564
117,2020-07-10,12027
118,2020-07-11,12513
119,2020-07-12,12997
120,2020-07-13,13591
121,2020-07-14,14085
122,2020-07-15,14581
123,2020-07-16,15066
124,2020-07-17,15607
125,2020-07-18,16186
126,2020-07-19,16752
127,2020-07-20,17149
128,2020-07-21,17881
129,2020-07-22,18379
130,2020-07-23,18986
131,2020-07-24,19360
132,2020-07-25,19952
133,2020-07-26,20531
134,2020-07-27,21209
135,2020-07-28,21699
136,2020-07-29,22585
137,2020-07-30,23271
138,2020-07-31,24009
139,2020-08-01,24783
140,2020-08-02,25336
141,2020-08-03,26066
142,2020-08-04,27047
143,2020-08-05,27793
144,2020-08-06,28315
145,2020-08-07,29057
146,2020-08-08,29652
147,2020-08-09,30609
148,2020-08-10,31304
149,2020-08-11,31747
150,2020-08-12,32654
151,2020-08-13,33323
152,2020-08-14,33821
153,2020-08-15,34528
154,2020-08-16,35329
155,2020-08-17,35702
156,2020-08-18,36352
157,2020-08-19,37112
158,2020-08-20,37547
159,2020-08-21,38074
160,2020-08-22,38532
161,2020-08-23,38946
162,2020-08-24,39348
163,2020-08-25,39641
164,2020-08-26,39964
165,2020-08-27,40447
166,2020-08-28,40720
167,2020-08-29,41067
168,2020-08-30,41424
169,2020-08-31,41893
170,2020-09-01,42127
171,2020-09-02,42437
172,2020-09-03,42688
173,2020-09-04,42998
174,2020-09-05,43293
175,2020-09-06,43587
176,2020-09-07,43893
177,2020-09-08,44281
178,2020-09-09,44930
179,2020-09-10,45473
180,2020-09-11,46160
181,2020-09-12,46721
182,2020-09-13,47287
183,2020-09-14,47836
184,2020-09-15,48429
185,2020-09-16,49015
186,2020-09-17,49627
187,2020-09-18,50253
188,2020-09-19,50992
189,2020-09-20,51640
190,2020-09-21,52070
191,2020-09-22,52685
192,2020-09-23,53275
193,2020-09-24,53834
194,2020-09-25,54392
195,2020-09-26,54819
196,2020-09-27,55320
197,2020-09-28,55776
198,2020-09-29,56354
199,2020-09-30,56717
200,2020-10-01,57190
201,2020-10-02,57454
202,2020-10-03,58238
203,2020-10-04,58612
204,2020-10-05,58946
205,2020-10-06,59343
206,2020-10-07,59579
207,2020-10-08,60026
208,2020-10-09,60342
209,2020-10-10,60776
210,2020-10-11,61098
211,2020-10-12,61319
212,2020-10-13,61642
213,2020-10-14,61950
214,2020-10-15,62278
215,2020-10-16,62588
216,2020-10-17,62809
217,2020-10-18,63124
218,2020-10-19,63523
219,2020-10-20,63831
220,2020-10-21,64010
221,2020-10-22,64439
222,2020-10-23,64724
223,2020-10-24,64923
224,2020-10-25,65307
225,2020-10-26,65667
226,2020-10-27,65881
227,2020-10-28,66141
228,2020-10-29,66392
229,2020-10-30,66628
230,2020-10-31,66932
231,2020-11-01,67156
232,2020-11-02,67254
233,2020-11-03,67553
234,2020-11-04,67779
235,2020-11-05,68009
236,2020-11-06,68139
237,2020-11-07,68367
238,2020-11-08,68730
239,2020-11-09,69027
240,2020-11-10,69027
241,2020-11-11,69397
242,2020-11-12,69560
243,2020-11-13,69754
244,2020-11-14,69987
245,2020-11-15,70243
246,2020-11-16,70381
247,2020-11-17,70648
248,2020-11-18,70858
249,2020-11-19,70921
250,2020-11-20,71208
251,2020-11-21,71431
252,2020-11-22,71617
253,2020-11-23,71774
254,2020-11-24,71985
255,2020-11-25,72227
256,2020-11-26,72409
257,2020-11-27,72513
258,2020-11-28,72718
259,2020-11-29,72870
260,2020-11-30,73094
261,2020-12-01,73276
262,2020-12-02,73335
263,2020-12-03,73431
264,2020-12-04,73751
265,2020-12-05,73751
266,2020-12-06,74053
267,2020-12-07,74053
268,2020-12-08,74206
269,2020-12-09,74352
270,2020-12-10,74498
271,2020-12-11,74811
272,2020-12-12,74811
273,2020-12-13,74956
274,2020-12-14,75094
275,2020-12-15,75241
276,2020-12-16,75538
277,2020-12-17,75538
278,2020-12-18,75675
279,2020-12-19,75806
280,2020-12-20,75933
281,2020-12-21,76048
282,2020-12-22,76180
283,2020-12-23,76315
284,2020-12-24,76456
285,2020-12-25,76568
286,2020-12-26,76666
287,2020-12-27,76751
288,2020-12-28,76832
289,2020-12-29,76907
290,2020-12-30,76985
291,2020-12-31,77060
292,2021-01-01,77182
293,2021-01-02,77182
294,2021-01-03,77258
295,2021-01-04,77258
296,2021-01-05,77295
297,2021-01-06,77350
298,2021-01-07,77412
299,2021-01-08,77485
300,2021-01-09,77530
301,2021-01-10,77572
302,2021-01-11,77611
303,2021-01-12,77663
304,2021-01-13,77716
305,2021-01-14,77777
306,2021-01-15,77904
307,2021-01-16,77968
308,2021-01-17,77968
309,2021-01-18,78036
310,2021-01-19,78091
311,2021-01-20,78163
312,2021-01-21,78219
313,2021-01-22,78272
314,2021-01-23,78317
315,2021-01-24,78375
316,2021-01-25,78429
317,2021-01-26,78471
318,2021-01-27,78510
319,2021-01-28,78556
