,Date,Cases
0,2020-03-14,2
1,2020-03-15,10
2,2020-03-16,17
3,2020-03-17,33
4,2020-03-18,36
5,2020-03-19,42
6,2020-03-20,42
7,2020-03-21,70
8,2020-03-22,70
9,2020-03-23,77
10,2020-03-24,84
11,2020-03-25,91
12,2020-03-26,107
13,2020-03-27,107
14,2020-03-28,119
15,2020-03-29,119
16,2020-03-30,135
17,2020-03-31,135
18,2020-04-01,143
19,2020-04-02,146
20,2020-04-03,153
21,2020-04-04,155
22,2020-04-05,159
23,2020-04-06,165
24,2020-04-07,165
25,2020-04-08,167
26,2020-04-09,171
27,2020-04-10,171
28,2020-04-11,175
29,2020-04-12,181
30,2020-04-13,189
31,2020-04-14,189
32,2020-04-15,197
33,2020-04-16,204
34,2020-04-17,204
35,2020-04-18,227
36,2020-04-19,256
37,2020-04-20,256
38,2020-04-21,285
39,2020-04-22,288
40,2020-04-23,311
41,2020-04-24,318
42,2020-04-25,323
43,2020-04-26,325
44,2020-04-27,329
45,2020-04-28,329
46,2020-04-29,331
47,2020-04-30,333
48,2020-05-01,335
49,2020-05-02,345
50,2020-05-03,357
51,2020-05-04,357
52,2020-05-05,361
53,2020-05-06,379
54,2020-05-07,381
55,2020-05-08,388
56,2020-05-09,402
57,2020-05-10,414
58,2020-05-11,422
59,2020-05-12,423
60,2020-05-13,423
61,2020-05-14,455
62,2020-05-15,459
63,2020-05-16,504
64,2020-05-17,541
65,2020-05-18,618
66,2020-05-19,749
67,2020-05-20,824
68,2020-05-21,882
69,2020-05-22,944
70,2020-05-23,1010
71,2020-05-24,1121
72,2020-05-25,1177
73,2020-05-26,1211
74,2020-05-27,1245
75,2020-05-28,1325
76,2020-05-29,1370
77,2020-05-30,1459
78,2020-05-31,1510
79,2020-06-01,1662
80,2020-06-02,1819
81,2020-06-03,1952
82,2020-06-04,2087
83,2020-06-05,2145
84,2020-06-06,2316
85,2020-06-07,2377
86,2020-06-08,2473
87,2020-06-09,2632
88,2020-06-10,2738
89,2020-06-11,2814
90,2020-06-12,2879
91,2020-06-13,2904
92,2020-06-14,2978
93,2020-06-15,3062
94,2020-06-16,3150
95,2020-06-17,3386
96,2020-06-18,3483
97,2020-06-19,3591
98,2020-06-20,3789
99,2020-06-21,3917
100,2020-06-22,4048
101,2020-06-23,4187
102,2020-06-24,4366
103,2020-06-25,4563
104,2020-06-26,4779
105,2020-06-27,5130
106,2020-06-28,5297
107,2020-06-29,5530
108,2020-06-30,5832
109,2020-07-01,6062
110,2020-07-02,6273
111,2020-07-03,6537
112,2020-07-04,6750
113,2020-07-05,7169
114,2020-07-06,7411
115,2020-07-07,7693
116,2020-07-08,8008
117,2020-07-09,8372
118,2020-07-10,8803
119,2020-07-11,9178
120,2020-07-12,9465
121,2020-07-13,9707
122,2020-07-14,10010
123,2020-07-15,10428
124,2020-07-16,10854
125,2020-07-17,11191
126,2020-07-18,11483
127,2020-07-19,11891
128,2020-07-20,12334
129,2020-07-21,12774
130,2020-07-22,13164
131,2020-07-23,13613
132,2020-07-24,14263
133,2020-07-25,14929
134,2020-07-26,15463
135,2020-07-27,15988
136,2020-07-28,16571
137,2020-07-29,17158
138,2020-07-30,17859
139,2020-07-31,18574
140,2020-08-01,19443
141,2020-08-02,20206
142,2020-08-03,20754
143,2020-08-04,21438
144,2020-08-05,22299
145,2020-08-06,23280
146,2020-08-07,24166
147,2020-08-08,24961
148,2020-08-09,25805
149,2020-08-10,26800
150,2020-08-11,27938
151,2020-08-12,29088
152,2020-08-13,30369
153,2020-08-14,31381
154,2020-08-15,32607
155,2020-08-16,33755
156,2020-08-17,34802
157,2020-08-18,35697
158,2020-08-19,36868
159,2020-08-20,37567
160,2020-08-21,38219
161,2020-08-22,38957
162,2020-08-23,39564
163,2020-08-24,40338
164,2020-08-25,41158
165,2020-08-26,41965
166,2020-08-27,42898
167,2020-08-28,43879
168,2020-08-29,44946
169,2020-08-30,45868
170,2020-08-31,46728
171,2020-09-01,47756
172,2020-09-02,48883
173,2020-09-03,49877
174,2020-09-04,50973
175,2020-09-05,52165
176,2020-09-06,53289
177,2020-09-07,54350
178,2020-09-08,55563
179,2020-09-09,56751
180,2020-09-10,57823
181,2020-09-11,58663
182,2020-09-12,59630
183,2020-09-13,60540
184,2020-09-14,61569
185,2020-09-15,62655
186,2020-09-16,63416
187,2020-09-17,64284
188,2020-09-18,65174
189,2020-09-19,65949
190,2020-09-20,66656
191,2020-09-21,67443
192,2020-09-22,68453
193,2020-09-23,69439
194,2020-09-24,70406
195,2020-09-25,71273
196,2020-09-26,71940
197,2020-09-27,72691
198,2020-09-28,73528
199,2020-09-29,74363
200,2020-09-30,75122
201,2020-10-01,76029
202,2020-10-02,76820
203,2020-10-03,77646
204,2020-10-04,78434
205,2020-10-05,79117
206,2020-10-06,79796
207,2020-10-07,80404
208,2020-10-08,81019
209,2020-10-09,81696
210,2020-10-10,82453
211,2020-10-11,83137
212,2020-10-12,83756
213,2020-10-13,84391
214,2020-10-14,85005
215,2020-10-15,85469
216,2020-10-16,85758
217,2020-10-17,86289
218,2020-10-18,86636
219,2020-10-19,86636
220,2020-10-20,87644
221,2020-10-21,88035
222,2020-10-22,88416
223,2020-10-23,88718
224,2020-10-24,89142
225,2020-10-25,89565
226,2020-10-26,90047
227,2020-10-27,90400
228,2020-10-28,90876
229,2020-10-29,91280
230,2020-10-30,91589
231,2020-10-31,92013
232,2020-11-01,92325
233,2020-11-02,92705
234,2020-11-03,93100
235,2020-11-04,93480
236,2020-11-05,93921
237,2020-11-06,94305
238,2020-11-07,94698
239,2020-11-08,94883
240,2020-11-09,95149
241,2020-11-10,95445
242,2020-11-11,95750
243,2020-11-12,96140
244,2020-11-13,96441
245,2020-11-14,96933
246,2020-11-15,97352
247,2020-11-16,97739
248,2020-11-17,98050
249,2020-11-18,98350
250,2020-11-19,98665
251,2020-11-20,99017
252,2020-11-21,99435
253,2020-11-22,99835
254,2020-11-23,100143
255,2020-11-24,100498
256,2020-11-25,100817
257,2020-11-26,101215
258,2020-11-27,101524
259,2020-11-28,101760
260,2020-11-29,102040
261,2020-11-30,102394
262,2020-12-01,102621
263,2020-12-02,103067
264,2020-12-03,103548
265,2020-12-04,103877
266,2020-12-05,104177
267,2020-12-06,104442
268,2020-12-07,104904
269,2020-12-08,105384
270,2020-12-09,105852
271,2020-12-10,106280
272,2020-12-11,106715
273,2020-12-12,107177
274,2020-12-13,107786
275,2020-12-14,108125
276,2020-12-15,108480
277,2020-12-16,108717
278,2020-12-17,109081
279,2020-12-18,109395
280,2020-12-19,109781
281,2020-12-20,110075
282,2020-12-21,110513
283,2020-12-22,110828
284,2020-12-23,111024
285,2020-12-24,111245
286,2020-12-25,111603
287,2020-12-26,111951
288,2020-12-27,112316
289,2020-12-28,112636
290,2020-12-29,112861
291,2020-12-30,113121
292,2020-12-31,113558
293,2021-01-01,113884
294,2021-01-02,114083
295,2021-01-03,114230
296,2021-01-04,114407
297,2021-01-05,114662
298,2021-01-06,114908
299,2021-01-07,115322
300,2021-01-08,115667
301,2021-01-09,116172
302,2021-01-10,116610
303,2021-01-11,116983
304,2021-01-12,117299
305,2021-01-13,117811
306,2021-01-14,118415
307,2021-01-15,118856
308,2021-01-16,119306
309,2021-01-17,119803
310,2021-01-18,120444
311,2021-01-19,121117
312,2021-01-20,121691
313,2021-01-21,122260
314,2021-01-22,122795
315,2021-01-23,123245
316,2021-01-24,123709
317,2021-01-25,124112
318,2021-01-26,124525
319,2021-01-27,124958
320,2021-01-28,124958
