,Date,Cases
0,2020-01-23,2
1,2020-01-24,2
2,2020-01-25,2
3,2020-01-26,2
4,2020-01-27,2
5,2020-01-28,2
6,2020-01-29,2
7,2020-01-30,2
8,2020-01-31,2
9,2020-02-01,6
10,2020-02-02,6
11,2020-02-03,8
12,2020-02-04,8
13,2020-02-05,8
14,2020-02-06,10
15,2020-02-07,10
16,2020-02-08,13
17,2020-02-09,13
18,2020-02-10,14
19,2020-02-11,15
20,2020-02-12,15
21,2020-02-13,16
22,2020-02-14,16
23,2020-02-15,16
24,2020-02-16,16
25,2020-02-17,16
26,2020-02-18,16
27,2020-02-19,16
28,2020-02-20,16
29,2020-02-21,16
30,2020-02-22,16
31,2020-02-23,16
32,2020-02-24,16
33,2020-02-25,16
34,2020-02-26,16
35,2020-02-27,16
36,2020-02-28,16
37,2020-02-29,16
38,2020-03-01,16
39,2020-03-02,16
40,2020-03-03,16
41,2020-03-04,16
42,2020-03-05,16
43,2020-03-06,16
44,2020-03-07,18
45,2020-03-08,30
46,2020-03-09,30
47,2020-03-10,31
48,2020-03-11,38
49,2020-03-12,39
50,2020-03-13,47
51,2020-03-14,53
52,2020-03-15,56
53,2020-03-16,61
54,2020-03-17,66
55,2020-03-18,75
56,2020-03-19,85
57,2020-03-20,91
58,2020-03-21,94
59,2020-03-22,113
60,2020-03-23,123
61,2020-03-24,134
62,2020-03-25,141
63,2020-03-26,153
64,2020-03-27,163
65,2020-03-28,174
66,2020-03-29,188
67,2020-03-30,203
68,2020-03-31,212
69,2020-04-01,218
70,2020-04-02,233
71,2020-04-03,237
72,2020-04-04,240
73,2020-04-05,241
74,2020-04-06,245
75,2020-04-07,249
76,2020-04-08,251
77,2020-04-09,255
78,2020-04-10,257
79,2020-04-11,258
80,2020-04-12,262
81,2020-04-13,265
82,2020-04-14,266
83,2020-04-15,267
84,2020-04-16,268
85,2020-04-17,268
86,2020-04-18,268
87,2020-04-19,268
88,2020-04-20,268
89,2020-04-21,268
90,2020-04-22,268
91,2020-04-23,268
92,2020-04-24,270
93,2020-04-25,270
94,2020-04-26,270
95,2020-04-27,270
96,2020-04-28,270
97,2020-04-29,270
