,Date,Cases
0,2020-04-10,1
1,2020-04-11,1
2,2020-04-12,1
3,2020-04-13,1
4,2020-04-14,1
5,2020-04-15,1
6,2020-04-16,1
7,2020-04-17,1
8,2020-04-18,1
9,2020-04-19,1
10,2020-04-20,1
11,2020-04-21,1
12,2020-04-22,1
13,2020-04-23,1
14,2020-04-24,1
15,2020-04-25,1
16,2020-04-26,1
17,2020-04-27,1
18,2020-04-28,1
19,2020-04-29,6
20,2020-04-30,6
21,2020-05-01,7
22,2020-05-02,10
23,2020-05-03,10
24,2020-05-04,12
25,2020-05-05,21
26,2020-05-06,25
27,2020-05-07,25
28,2020-05-08,34
29,2020-05-09,34
30,2020-05-10,51
31,2020-05-11,56
32,2020-05-12,65
33,2020-05-13,70
34,2020-05-14,85
35,2020-05-15,106
36,2020-05-16,122
37,2020-05-17,128
38,2020-05-18,130
39,2020-05-19,167
40,2020-05-20,180
41,2020-05-21,193
42,2020-05-22,205
43,2020-05-23,212
44,2020-05-24,222
45,2020-05-25,233
46,2020-05-26,249
47,2020-05-27,255
48,2020-05-28,278
49,2020-05-29,283
50,2020-05-30,310
51,2020-05-31,323
52,2020-06-01,354
53,2020-06-02,399
54,2020-06-03,419
55,2020-06-04,453
56,2020-06-05,469
57,2020-06-06,482
58,2020-06-07,484
59,2020-06-08,496
60,2020-06-09,524
61,2020-06-10,560
62,2020-06-11,591
63,2020-06-12,632
64,2020-06-13,705
65,2020-06-14,728
66,2020-06-15,844
67,2020-06-16,885
68,2020-06-17,902
69,2020-06-18,909
70,2020-06-19,919
71,2020-06-20,922
72,2020-06-21,941
73,2020-06-22,967
74,2020-06-23,992
75,2020-06-24,1015
76,2020-06-25,1076
77,2020-06-26,1089
78,2020-06-27,1103
79,2020-06-28,1118
80,2020-06-29,1128
81,2020-06-30,1158
82,2020-07-01,1190
83,2020-07-02,1221
84,2020-07-03,1240
85,2020-07-04,1248
86,2020-07-05,1265
87,2020-07-06,1290
88,2020-07-07,1297
89,2020-07-08,1318
90,2020-07-09,1356
91,2020-07-10,1380
92,2020-07-11,1389
93,2020-07-12,1465
94,2020-07-13,1498
95,2020-07-14,1516
96,2020-07-15,1526
97,2020-07-16,1552
98,2020-07-17,1576
99,2020-07-18,1581
100,2020-07-19,1606
101,2020-07-20,1619
102,2020-07-21,1629
103,2020-07-22,1640
104,2020-07-23,1654
105,2020-07-24,1674
106,2020-07-25,1674
107,2020-07-26,1681
108,2020-07-27,1691
109,2020-07-28,1703
110,2020-07-29,1711
111,2020-07-30,1726
112,2020-07-31,1728
113,2020-08-01,1730
114,2020-08-02,1734
115,2020-08-03,1734
116,2020-08-04,1760
117,2020-08-05,1763
