,Date,Cases
0,2020-03-18,2
1,2020-03-19,2
2,2020-03-20,2
3,2020-03-21,2
4,2020-03-22,3
5,2020-03-23,3
6,2020-03-24,3
7,2020-03-25,12
8,2020-03-26,16
9,2020-03-27,22
10,2020-03-28,28
11,2020-03-29,29
12,2020-03-30,35
13,2020-03-31,35
14,2020-04-01,36
15,2020-04-02,39
16,2020-04-03,39
17,2020-04-04,39
18,2020-04-05,39
19,2020-04-06,39
20,2020-04-07,39
21,2020-04-08,39
22,2020-04-09,39
23,2020-04-10,40
24,2020-04-11,40
25,2020-04-12,43
26,2020-04-13,45
27,2020-04-14,45
28,2020-04-15,48
29,2020-04-16,48
30,2020-04-17,52
31,2020-04-18,57
32,2020-04-19,61
33,2020-04-20,65
34,2020-04-21,70
35,2020-04-22,74
36,2020-04-23,76
37,2020-04-24,84
38,2020-04-25,84
39,2020-04-26,88
40,2020-04-27,88
41,2020-04-28,95
42,2020-04-29,97
43,2020-04-30,106
44,2020-05-01,109
45,2020-05-02,119
46,2020-05-03,124
47,2020-05-04,137
48,2020-05-05,138
49,2020-05-06,146
50,2020-05-07,153
51,2020-05-08,167
52,2020-05-09,252
53,2020-05-10,267
54,2020-05-11,267
55,2020-05-12,441
56,2020-05-13,446
57,2020-05-14,654
58,2020-05-15,654
59,2020-05-16,679
60,2020-05-17,753
61,2020-05-18,761
62,2020-05-19,772
63,2020-05-20,832
64,2020-05-21,866
65,2020-05-22,920
66,2020-05-23,920
67,2020-05-24,920
68,2020-05-25,920
69,2020-05-26,920
70,2020-05-27,1057
71,2020-05-28,1057
72,2020-05-29,1057
73,2020-05-30,1057
74,2020-05-31,1057
75,2020-06-01,1089
76,2020-06-02,1089
77,2020-06-03,1089
78,2020-06-04,1089
79,2020-06-05,1089
80,2020-06-06,1089
81,2020-06-07,1089
82,2020-06-08,1200
83,2020-06-09,1200
84,2020-06-10,1200
85,2020-06-11,1200
86,2020-06-12,1321
87,2020-06-13,1357
88,2020-06-14,1358
89,2020-06-15,1382
90,2020-06-16,1405
91,2020-06-17,1412
92,2020-06-18,1416
93,2020-06-19,1430
94,2020-06-20,1430
95,2020-06-21,1430
96,2020-06-22,1430
97,2020-06-23,1477
98,2020-06-24,1489
99,2020-06-25,1497
100,2020-06-26,1531
101,2020-06-27,1531
102,2020-06-28,1557
103,2020-06-29,1568
104,2020-06-30,1594
105,2020-07-01,1632
106,2020-07-02,1632
107,2020-07-03,1632
108,2020-07-04,1632
109,2020-07-05,1632
110,2020-07-06,1632
111,2020-07-07,1895
112,2020-07-08,1895
113,2020-07-09,1895
114,2020-07-10,1895
115,2020-07-11,1895
116,2020-07-12,1895
117,2020-07-13,1895
118,2020-07-14,1895
119,2020-07-15,1895
120,2020-07-16,1895
121,2020-07-17,2810
122,2020-07-18,2980
123,2020-07-19,2980
124,2020-07-20,3326
125,2020-07-21,3386
126,2020-07-22,3583
127,2020-07-23,3789
128,2020-07-24,3856
129,2020-07-25,4328
130,2020-07-26,4481
131,2020-07-27,4552
132,2020-07-28,5002
133,2020-07-29,5249
134,2020-07-30,5555
135,2020-07-31,5963
136,2020-08-01,6228
137,2020-08-02,6347
138,2020-08-03,6580
139,2020-08-04,6793
140,2020-08-05,7022
141,2020-08-06,7164
142,2020-08-07,7486
143,2020-08-08,7903
144,2020-08-09,8085
145,2020-08-10,8210
146,2020-08-11,8275
147,2020-08-12,8501
148,2020-08-13,8663
149,2020-08-14,9021
150,2020-08-15,9186
151,2020-08-16,9343
152,2020-08-17,9839
153,2020-08-18,9981
154,2020-08-19,10218
155,2020-08-20,10372
