,Date,Cases
0,2020-03-20,1
1,2020-03-21,3
2,2020-03-22,3
3,2020-03-23,3
4,2020-03-24,3
5,2020-03-25,3
6,2020-03-26,3
7,2020-03-27,5
8,2020-03-28,7
9,2020-03-29,7
10,2020-03-30,7
11,2020-03-31,8
12,2020-04-01,8
13,2020-04-02,9
14,2020-04-03,9
15,2020-04-04,9
16,2020-04-05,9
17,2020-04-06,10
18,2020-04-07,11
19,2020-04-08,11
20,2020-04-09,11
21,2020-04-10,13
22,2020-04-11,14
23,2020-04-12,14
24,2020-04-13,17
25,2020-04-14,17
26,2020-04-15,23
27,2020-04-16,23
28,2020-04-17,24
29,2020-04-18,25
30,2020-04-19,25
31,2020-04-20,25
32,2020-04-21,28
33,2020-04-22,28
34,2020-04-23,28
35,2020-04-24,29
36,2020-04-25,31
37,2020-04-26,31
38,2020-04-27,32
39,2020-04-28,32
40,2020-04-29,32
41,2020-04-30,40
42,2020-05-01,40
43,2020-05-02,34
44,2020-05-03,34
45,2020-05-04,34
46,2020-05-05,34
47,2020-05-06,34
48,2020-05-07,34
49,2020-05-08,34
50,2020-05-09,35
51,2020-05-10,36
52,2020-05-11,36
53,2020-05-12,36
54,2020-05-13,37
55,2020-05-14,37
56,2020-05-15,42
57,2020-05-16,42
58,2020-05-17,44
59,2020-05-18,46
60,2020-05-19,46
61,2020-05-20,48
62,2020-05-21,51
63,2020-05-22,51
64,2020-05-23,56
65,2020-05-24,56
66,2020-05-25,56
67,2020-05-26,56
68,2020-05-27,132
69,2020-05-28,149
70,2020-05-29,149
71,2020-05-30,174
72,2020-05-31,178
73,2020-06-01,203
74,2020-06-02,206
75,2020-06-03,222
76,2020-06-04,237
77,2020-06-05,265
78,2020-06-06,279
79,2020-06-07,282
80,2020-06-08,287
81,2020-06-09,314
82,2020-06-10,320
83,2020-06-11,332
84,2020-06-12,343
85,2020-06-13,356
86,2020-06-14,383
87,2020-06-15,387
88,2020-06-16,391
89,2020-06-17,401
